total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,MASSOUD Mohamed Ehsan Attia,2737,1984-01-11,M,EGY,A,133.34,+105 kg Men,0,1,150,170,175,180,180,210,217.5,222.5,222.5,402.5
2,2,2,CHOLAKOV Velichko,2093,1982-01-12,M,BUL,A,143.08,+105 kg Men,0,1,150,170,175,180,180,-215,215,222.5,222.5,402.5
3,3,3,LINNIK Alexei,2338,1982-11-27,M,RUS,A,121.64,+105 kg Men,0,1,150,-167.5,167.5,172.5,172.5,207.5,217.5,-222.5,217.5,390
4,4,4,KOZLOV Andrey,2294,1982-09-27,M,RUS,A,117.35,+105 kg Men,0,1,150,162.5,-167.5,167.5,167.5,200,-207.5,-207.5,200,367.5
5,5,6,BULAUSKAS Aurimas,2374,1983-01-01,M,LTU,A,136.43,+105 kg Men,0,1,150,152.5,157.5,162.5,162.5,192.5,-197.5,197.5,197.5,360
6,7,5,KLIANYE Aliaksandr,2775,1984-02-19,M,BLR,A,118.13,+105 kg Men,0,1,150,-150,150,155,155,200,-205,-205,200,355
7,6,7,SIMANCAS Gustavo,2148,1982-03-16,M,VEN,A,130.6,+105 kg Men,0,1,150,152.5,157.5,-162.5,157.5,190,195,-200,195,352.5
8,8,9,MOREAU Joshua,2084,1982-01-03,M,USA,A,125.36,+105 kg Men,0,1,150,-140,140,145,145,-185,-187.5,187.5,187.5,332.5
9,9,11,KELLY Damon Joseph,2687,1983-12-01,M,AUS,A,132.96,+105 kg Men,0,1,150,137.5,142.5,145,145,170,180,-187.5,180,325
10,10,10,SANTAMARIA Luis,2590,1983-08-05,M,COL,A,117.64,+105 kg Men,0,1,150,135,140,142.5,142.5,170,175,180,180,322.5
11,11,12,GARZA RAMOS Edgar,2199,1982-05-20,M,MEX,A,126.83,+105 kg Men,0,1,150,130,135,-140,135,155,-165,165,165,300
12,12,13,KUCERA Kamil,3144,1985-03-19,M,CZE,A,116.63,+105 kg Men,0,1,150,115,120,125,125,140,145,150,150,275
NA,NA,8,HEJDA Petr,2675,1983-11-13,M,CZE,A,105.16,+105 kg Men,0,1,150,-145,-145,-145,NA,185,190,-192.5,190,NA
1,1,2,HAWORTH Cheryl,2507,1983-04-19,W,USA,A,141.32,+75 kg Women,0,1,150,117.5,-122.5,122.5,122.5,145,150,152.5,152.5,275
2,3,1,TONG Lan,2627,1983-09-21,W,CHN,A,118.03,+75 kg Women,0,1,150,110,115,120,120,145,-150,152.5,152.5,272.5
3,2,3,KASAPI Vasiliki,2483,1983-03-22,W,GRE,A,112.26,+75 kg Women,0,1,150,110,115,120,120,135,-145,-145,135,255
4,4,4,DREGER Marta,2895,1984-07-31,W,POL,A,84.74,+75 kg Women,0,1,150,92.5,97.5,100,100,112.5,117.5,120,120,220
5,5,6,KUSHKOVA Tatiana,2855,1984-06-13,W,RUS,A,92.48,+75 kg Women,0,1,150,92.5,-95,-95,92.5,110,115,-117.5,115,207.5
6,7,5,KATSIDI Theano,2556,1983-06-20,W,GRE,A,97.56,+75 kg Women,0,1,150,85,90,-92.5,90,112.5,117.5,-120,117.5,207.5
7,6,7,APOSTOLOVA Yordanka,2486,1983-03-28,W,BUL,A,83.73,+75 kg Women,0,1,150,-90,90,-95,90,105,112.5,-117.5,112.5,202.5
8,8,8,MLEZIVA Veronica,2498,1983-04-10,W,ESP,A,95.36,+75 kg Women,0,1,150,72.5,77.5,-80,77.5,90,95,-100,95,172.5
9,9,9,BERNIER Bridget,3319,1985-09-20,W,CAN,A,90.06,+75 kg Women,0,1,150,-75,75,-80,75,80,85,-90,85,160
10,10,10,SILVA HEREDIA Tania Irasema,3743,1986-10-25,W,MEX,A,90.37,+75 kg Women,0,1,150,70,75,-80,75,85,-90,-90,85,160
1,1,1,DOLEGA Marcin,2238,1982-07-18,M,POL,A,103.96,105 kg Men,0,1,150,185,190,198.5,198.5,210,217.5,-225,217.5,415
2,2,2,RYZHANKOU Maksim,2780,1984-02-25,M,BLR,A,103.88,105 kg Men,0,1,150,-170,170,175,175,207.5,212.5,-220,212.5,387.5
3,3,3,STEINER Matthias,2270,1982-08-25,M,AUT,A,104.6,105 kg Men,0,1,150,-167.5,167.5,172.5,172.5,202.5,207.5,-215,207.5,380
4,4,8,LAPIKOV Dmitry,2169,1982-04-06,M,RUS,A,99.36,105 kg Men,0,1,150,162.5,167.5,170,170,195,-202.5,-205,195,365
5,5,5,MATYKIEWICZ Tomas,2344,1982-12-04,M,CZE,A,102.92,105 kg Men,0,1,150,-165,165,-170,165,-200,200,-205,200,365
6,6,7,SHPIHANOVICH Mikita,2828,1984-05-11,M,BLR,A,104.25,105 kg Men,0,1,150,-160,160,165,165,195,200,-202.5,200,365
7,9,6,HOSNY TAHA Mohamed,2234,1982-07-12,M,EGY,A,103.97,105 kg Men,0,1,150,155,-160,160,160,190,-197.5,200,200,360
8,11,4,TSIRIDIS Athanasios,2256,1982-08-05,M,GRE,A,99.84,105 kg Men,0,1,150,-157.5,157.5,-162.5,157.5,200,-205,-207.5,200,357.5
9,8,10,BURGENER Casey,2263,1982-08-15,M,USA,A,104.2,105 kg Men,0,1,150,155,160,162.5,162.5,187.5,192.5,-195,192.5,355
10,7,11,CHUNG Young-Hun,2334,1982-11-20,M,KOR,A,103.52,105 kg Men,0,1,150,150,157.5,162.5,162.5,190,-202.5,-202.5,190,352.5
11,12,9,KONSTANTINIDIS Vasilis,2347,1982-12-07,M,GRE,A,103.64,105 kg Men,0,1,150,152.5,-157.5,-157.5,152.5,190,-195,195,195,347.5
12,14,12,MORENO Jose,2449,1983-02-11,M,VEN,A,99.42,105 kg Men,0,1,150,140,145,-150,145,177.5,182.5,187.5,187.5,332.5
13,15,13,MORILLO Wilyon,2669,1983-11-08,M,VEN,A,104.82,105 kg Men,0,1,150,140,145,-152.5,145,175,182.5,-187.5,182.5,327.5
14,13,15,OCORO Edwin,2064,1982-01-01,M,COL,A,104.79,105 kg Men,0,1,150,135,145,150,150,170,175,-180,175,325
15,16,14,OVERKAMP Benn,2278,1982-09-09,M,USA,A,104.59,105 kg Men,0,1,150,135,140,-142.5,140,170,175,180,180,320
16,17,16,DIAZ Andres,2781,1984-03-01,M,ESP,A,94.82,105 kg Men,0,1,150,-107.5,107.5,-115,107.5,130,-135,-135,130,237.5
NA,10,NA,RABIEI Vahid,2336,1982-11-23,M,IRI,A,104.07,105 kg Men,0,1,150,155,160,-162.5,160,NA,NA,NA,NA,NA
1,1,1,WANG Mingjuan,3347,1985-10-11,W,CHN,A,47.39,48 kg Women,0,1,150,82.5,88,90,90,102.5,110,-114,110,200
2,2,2,TAYLAN Nurcan,2658,1983-10-29,W,TUR,A,47.63,48 kg Women,0,1,150,75,77.5,-80,77.5,90,92.5,95,95,172.5
3,3,3,PERIS Revert Gema,2508,1983-04-20,W,ESP,A,47.56,48 kg Women,0,1,150,75,-77.5,-77.5,75,-90,90,92.5,92.5,167.5
4,8,4,MOHAMED Sayed Enga,3129,1985-03-06,W,EGY,A,46.87,48 kg Women,0,1,150,-65,65,67.5,67.5,82.5,87.5,90,90,157.5
5,4,6,NEELAM SETTY Krishna Neni,2204,1982-05-25,W,IND,A,46.22,48 kg Women,0,1,150,-67.5,67.5,72.5,72.5,82.5,-87.5,-87.5,82.5,155
6,7,5,GALABAROVA Simona,3022,1984-12-14,W,BUL,A,47.85,48 kg Women,0,1,150,62.5,67.5,70,70,80,85,-87.5,85,155
7,6,8,TOCINO Maria Jose,2226,1982-06-22,W,ESP,A,47.32,48 kg Women,0,1,150,67.5,70,-72.5,70,80,-82.5,-82.5,80,150
8,10,7,D ALESSANDRO Giovanna,2243,1982-07-22,W,ITA,A,47.24,48 kg Women,0,1,150,60,-62.5,-62.5,60,75,80,-85,80,140
