total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,FOKEJOU TEFOT Frederic,1455,1979-12-03,M,CMR,A,121.25,+105 kg Men,0,1,203,-145,145,151,151,186,191,192,192,343
2,3,2,ABDULHAKEEM Tijjani,3866,1987-02-07,M,NGR,A,111.55,+105 kg Men,0,1,203,-146,146,-150,146,186,-190,191,191,337
3,2,3,MIMOUNE Abdelhamid,4329,1988-03-08,M,ALG,A,105.3,+105 kg Men,0,1,203,-140,140,146,146,170,175,186,186,332
4,4,5,SALEM Abdelatif,3604,1986-06-01,M,TUN,A,106.95,+105 kg Men,0,1,203,130,-141,-143,130,160,-175,-176,160,290
5,5,4,ABOTSI Albert Kwame Mensah,1910,1981-06-20,M,GHA,A,107.2,+105 kg Men,0,1,203,110,115,120,120,160,170,-171,170,290
6,6,6,ELJADID ELAZIBI Abdalla Salem,8653,1995-01-21,M,LBA,A,124.15,+105 kg Men,0,1,203,105,-120,-121,105,130,150,-155,150,255
1,1,1,USMAN Maryam,5640,1990-11-09,W,NGR,A,121.8,+75 kg Women,0,1,203,110,120,125,125,140,156,-160,156,281
2,2,2,JLASSI Marwa,6116,1991-09-25,W,TUN,A,113.45,+75 kg Women,0,1,203,88,-92,92,92,115,121,126,126,218
3,3,3,VALAYDON Shalinee,3541,1986-04-13,W,MRI,A,110.45,+75 kg Women,0,1,203,78,83,-85,83,101,104,-105,104,187
4,4,4,"NAMUSOKE Becky",5686,1990-12-10,W,UGA,A,92.7,+75 kg Women,0,1,203,79,-82,82,82,100,103,-105,103,185
5,5,6,MEUKEUGNI NOUMBISSI Clementine,5600,1990-10-01,W,CMR,A,83.25,+75 kg Women,0,1,203,-60,60,65,65,70,-75,75,75,140
NA,NA,5,NGUIDJOL ESSESSE Hortense,1896,1981-05-17,W,CMR,A,79,+75 kg Women,0,1,203,-70,-70,-70,NA,85,95,-100,95,NA
1,1,1,BIDANI Walid,8199,1994-06-11,M,ALG,A,103.65,105 kg Men,0,1,203,-150,150,-160,150,170,-180,183,183,333
2,2,2,IFEAYIN Ikwuagwu,2639,1983-10-06,M,NGR,A,103.75,105 kg Men,0,1,203,130,136,140,140,170,-180,182,182,322
3,5,3,BEN SAID Mohamed,4343,1988-03-17,M,LBA,A,97.7,105 kg Men,0,1,203,110,126,-136,126,154,157,161,161,287
4,3,4,NGONGANG TANTCHOU Ferdianand,911,1977-05-24,M,CMR,A,96.4,105 kg Men,0,1,203,120,130,-135,130,150,-156,156,156,286
5,4,5,MAZAMEL Khamis Eissa Koko,3780,1986-12-02,M,SUD,A,94.25,105 kg Men,0,1,203,125,127,-130,127,150,-153,153,153,280
6,6,6,LARKYNE Nii Otoo,9217,1995-11-11,M,GHA,A,100.2,105 kg Men,0,1,203,110,115,117,117,140,145,150,150,267
7,7,7,SHAW Gordon,8228,1994-06-23,M,RSA,A,97.95,105 kg Men,0,1,203,100,110,-120,110,130,135,-140,135,245
1,1,1,NWAOKOLO Augustina Nkem,6966,1992-12-12,W,NGR,A,47.25,48 kg Women,0,1,203,70,75,-77,75,90,95,-100,95,170
2,2,2,RAKOTONDRAMANANA Harinelina Nathalia,4740,1989-01-15,W,MAD,A,46.95,48 kg Women,0,1,203,50,-55,55,55,70,-75,-75,70,125
3,3,3,SIBAR Sara,9103,1995-08-28,W,MAR,A,46.9,48 kg Women,0,1,203,43,47,-50,47,53,57,-61,57,104
4,4,4,WAIRIMU Lasoi,3210,1985-05-27,W,KEN,A,46.75,48 kg Women,0,1,203,30,-35,35,35,42,-46,-46,42,77
1,1,1,FEDELIS Chineye Silver,7685,1993-10-28,W,NGR,A,52.5,53 kg Women,0,1,203,77,82,87,87,115,-122,-122,115,202
