total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,KELLY Damon Joseph,2687,1983-12-01,M,AUS,A,148.09,+105 kg Men,0,1,212,160,167,172,172,205,212,218,218,390
2,2,2,DETENAMO Itte,3710,1986-09-22,M,NRU,A,153.26,+105 kg Men,0,1,212,160,170,-175,170,200,210,-221,210,380
3,3,3,VICTOR Abilash Christopher,3654,1986-07-15,M,IND,A,105.1,+105 kg Men,0,1,212,140,-145,145,145,171,178,-182,178,323
4,4,4,NEMANI Daniel,1870,1981-04-10,M,NIU,A,141.95,+105 kg Men,0,1,212,140,-145,-145,140,170,-184,-184,170,310
5,7,5,TEOIAKI Bonteatu Thomas,5419,1990-05-08,M,KIR,A,106.35,+105 kg Men,0,1,212,105,115,117,117,150,160,166,166,283
6,5,6,NGALU Tevita,427,1973-04-30,M,NZL,A,122.7,+105 kg Men,0,1,212,123,NA,NA,123,-157,157,NA,157,280
7,6,7,LOLOHEA Maamaloa,107,1968-06-27,M,TGA,A,130.8,+105 kg Men,0,1,212,105,113,120,120,135,142,153,153,273
1,1,1,OPELOGE Ele,3251,1985-07-11,W,SAM,A,125.49,+75 kg Women,0,1,212,107,112,117,117,138,143,147,147,264
2,2,3,ACASON Deborah Esther Ainslie,2555,1983-06-20,W,AUS,A,88.74,+75 kg Women,0,1,212,95,100,103,103,115,120,-125,120,223
3,3,2,SIMANU Iuniarra,7412,1993-06-25,W,SAM,A,100.64,+75 kg Women,0,1,212,92,96,-99,96,115,121,125,125,221
4,4,4,PETERS Luisa Fatiaki Taitapu,7419,1993-06-27,W,COK,A,87.32,+75 kg Women,0,1,212,73,76,80,80,86,92,98,98,178
5,5,5,HARRY Lorraine Henao,9443,1996-02-20,W,PNG,A,79.92,+75 kg Women,0,1,212,65,70,-75,70,85,-90,-92,85,155
