total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,COSSIO Santiago Sanchez,9055,1995-08-03,M,COL,A,112.16,+105 kg Men,0,1,277,140,150,153,153,166,-175,-175,166,319
2,2,2,HERRERA MENDOZA Cesar,9045,1995-07-27,M,MEX,A,107.08,+105 kg Men,0,1,277,125,-130,-130,125,155,160,165,165,290
1,1,1,BUENO PLACENCIA Gladis Guadalupe,7959,1994-02-12,W,MEX,A,116.69,+75 kg Women,0,1,277,98,99,105,105,126,-132,132,132,237
2,2,2,KLINGSEIS Marissa Eileen,8943,1995-06-07,W,USA,A,103.15,+75 kg Women,0,1,277,95,-98,98,98,-120,120,-125,120,218
3,3,3,SILVIA Aillapan,9028,1995-07-19,W,CHI,A,93.04,+75 kg Women,0,1,277,70,-77,80,80,90,-97,-101,90,170
1,2,1,RODRIGUEZ MARTINEZ Miguel Angel,8868,1995-04-27,M,MEX,A,101.61,105 kg Men,0,1,277,125,-131,131,131,158,162,172,172,303
2,3,2,LEMUS CALANCHE Gilberto Antonio,7937,1994-02-04,M,GUA,A,96.49,105 kg Men,0,1,277,-122,122,130,130,150,158,161,161,291
3,4,3,PANTALEON THEN Hector Bienvenido,9879,1996-09-26,M,DOM,A,103.09,105 kg Men,0,1,277,115,116,-130,116,130,-146,-146,130,246
NA,1,NA,WILSON Ian Burdick,7875,1994-01-08,M,USA,A,99.87,105 kg Men,0,1,277,160,168,-173,168,-195,-195,-195,NA,NA
1,1,2,MUNOZ LOPEZ Viviana Izamar,9215,1995-11-10,W,MEX,A,47.66,48 kg Women,0,1,277,68,70,-73,70,90,-94,-94,90,160
2,2,1,GUERRA Rosa,7954,1994-02-10,W,MEX,A,47.54,48 kg Women,0,1,277,-65,65,-69,65,82,87,90,90,155
3,3,3,ROSA FIGUEIREDO Emily,11047,1998-03-18,W,BRA,A,46.43,48 kg Women,0,1,277,55,58,61,61,70,75,78,78,139
4,4,4,DE LEON VALDEZ Astrid Carolina,8756,1995-03-05,W,GUA,A,47.94,48 kg Women,0,1,277,54,57,-60,57,74,-77,-79,74,131
1,1,1,BLANCO GONZALEZ Karool Karina,8921,1995-05-24,W,COL,A,52.71,53 kg Women,0,1,277,74,76,79,79,93,-96,96,96,175
2,3,2,SILVESTRE VELGAR Yafreisy,8626,1995-01-06,W,DOM,A,52.24,53 kg Women,0,1,277,68,-71,72,72,87,90,-95,90,162
3,2,4,LAURINDO MORAES Leticia Cristina,9246,1995-11-20,W,BRA,A,51.86,53 kg Women,0,1,277,70,73,75,75,-85,85,-88,85,160
4,5,3,KERCHER Ellen Angelina,7868,1994-01-04,W,USA,A,51,53 kg Women,0,1,277,68,70,-72,70,-87,-87,87,87,157
5,4,5,KOREN Ashley Kirra,8005,1994-03-04,W,USA,A,52.24,53 kg Women,0,1,277,67,-70,71,71,84,-87,-88,84,155
6,6,6,DE SOUZA FACCIOLLA FERREIRA Aline,11950,1999-06-04,W,BRA,A,51.04,53 kg Women,0,1,277,64,68,-72,68,80,-84,-85,80,148
1,2,1,SERNA MENDOZA Jhon Jairo,8528,1994-12-03,M,COL,A,55.98,56 kg Men,0,1,277,105,109,-111,109,135,140,144,144,253
2,1,2,BARNES Darren Lamar,7902,1994-01-20,M,USA,A,55.93,56 kg Men,0,1,277,103,108,110,110,130,135,-140,135,245
