total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,LOVCHEV Aleksei,4918,1989-06-13,M,RUS,A,134.12,+105 kg Men,0,1,278,192,197,205,205,235,245,252,252,457
2,5,2,ALEKSANYAN Ruben,5316,1990-03-14,M,ARM,A,147.48,+105 kg Men,0,1,278,183,190,-192,190,235,246,-251,246,436
3,4,4,VELAGIC Almir,1950,1981-08-22,M,GER,A,143.92,+105 kg Men,0,1,278,183,188,191,191,222,227,232,232,423
4,2,6,DOLEGA Marcin,2238,1982-07-18,M,POL,A,113.14,+105 kg Men,0,1,278,-186,188,192,192,225,230,-235,230,422
5,3,5,MURATOV Gennady,3889,1987-03-02,M,RUS,A,111.8,+105 kg Men,0,1,278,183,188,191,191,225,230,-235,230,421
6,9,3,SEIM Mart,5625,1990-10-24,M,EST,A,141.14,+105 kg Men,0,1,278,175,182,-185,182,-226,226,236,236,418
7,8,7,"NAGY Peter",3454,1986-01-16,M,HUN,A,150.64,+105 kg Men,0,1,278,185,-191,-192,185,221,226,-231,226,411
NA,7,NA,PROSHAK Oleg,2664,1983-11-06,M,UKR,A,129.22,+105 kg Men,0,1,278,-185,185,-190,185,NA,NA,NA,NA,NA
8,6,9,PROCHOROW Alexej Dmitrievic,5347,1990-03-30,M,GER,B,130.48,+105 kg Men,0,1,278,177,182,187,187,208,-216,218,218,405
9,10,8,KLICKI Krzysztof,5463,1990-06-13,M,POL,B,170.88,+105 kg Men,0,1,278,-170,170,175,175,211,217,220,220,395
10,13,10,OLSHANETSKYI Igor,3488,1986-02-16,M,ISR,B,128.66,+105 kg Men,0,1,278,-160,160,166,166,200,210,214,214,380
11,11,11,HAKOBYAN Hayk,5465,1990-06-14,M,ARM,B,131.08,+105 kg Men,0,1,278,173,-180,-180,173,207,-219,NA,207,380
12,14,12,TAGIROV Sergiy,4716,1989-01-02,M,UKR,B,106.78,+105 kg Men,0,1,278,-165,165,-172,165,195,200,-210,200,365
13,12,16,TATARCIK Radoslav,6449,1992-03-08,M,SVK,B,108.16,+105 kg Men,0,1,278,164,170,-173,170,185,190,-195,190,360
14,17,13,OJA Eero Veikko Mikael,5884,1991-04-10,M,FIN,B,123.68,+105 kg Men,0,1,278,147,151,-153,151,193,200,NA,200,351
15,16,15,TOLLEFSEN Kim Eirik,5155,1989-12-24,M,NOR,B,111.06,+105 kg Men,0,1,278,148,152,-154,152,188,-193,193,193,345
16,15,17,LITVINOV David,7601,1993-09-23,M,ISR,B,119.28,+105 kg Men,0,1,278,150,155,-160,155,-175,175,-184,175,330
NA,NA,14,ROININEN Teemu Tapio,3648,1986-07-10,M,FIN,B,134.92,+105 kg Men,0,1,278,-147,-147,-147,NA,-196,200,-206,200,NA
1,1,1,KASHIRINA Tatiana,5783,1991-01-24,W,RUS,A,102.62,+75 kg Women,0,1,278,138,143,-148,143,172,180,NA,180,323
2,2,2,KONOVALOVA Yulia,5668,1990-12-01,W,RUS,A,87.72,+75 kg Women,0,1,278,115,-120,-120,115,140,150,NA,150,265
3,3,3,AANEI Andreea,7734,1993-11-18,W,ROU,A,106.74,+75 kg Women,0,1,278,106,111,-114,111,131,134,138,138,249
4,6,4,BAGINSKA Sabina Hanna,3352,1985-10-19,W,POL,A,105,+75 kg Women,0,1,278,-95,95,100,100,125,130,133,133,233
5,5,5,PASKO Magdalena,5959,1991-06-03,W,POL,A,94.8,+75 kg Women,0,1,278,95,100,103,103,123,129,-131,129,232
6,4,6,ANANIADOU Eftychia,4038,1987-07-10,W,GRE,A,85.12,+75 kg Women,0,1,278,105,-110,-110,105,125,-130,-130,125,230
NA,NA,NA,KHURSHUDYAN Hripsime,4061,1987-07-27,W,ARM,A,87.3,+75 kg Women,1,1,278,95,100,102,NA,118,124,130,NA,NA
7,7,7,JURIC Olivera,2944,1984-09-26,W,BIH,B,77.04,+75 kg Women,0,1,278,85,-88,90,90,110,-113,113,113,203
8,8,8,BUTTIGLIERI Roberta,7456,1993-07-13,W,ITA,B,98.9,+75 kg Women,0,1,278,88,90,-92,90,108,110,112,112,202
9,9,9,PODERSOO Triin,5626,1990-10-24,W,EST,B,80.74,+75 kg Women,0,1,278,84,88,-90,88,106,-111,-112,106,194
1,2,2,DEMANOV Andrey,3255,1985-07-15,M,RUS,A,104.98,105 kg Men,0,1,278,177,-182,183,183,214,-221,222,222,405
2,3,1,"NANIEV Timur",8399,1994-09-20,M,RUS,A,104.96,105 kg Men,0,1,278,177,182,-184,182,212,216,222,222,404
3,1,6,ARAMNAU Andrei,4375,1988-04-17,M,BLR,A,104.76,105 kg Men,0,1,278,177,182,184,184,-212,212,-220,212,396
4,8,3,PLESNIEKS Arturs,6352,1992-01-21,M,LAT,A,103.62,105 kg Men,0,1,278,172,-177,-177,172,212,218,-224,218,390
5,7,4,MICHALSKI Arkadiusz,5220,1990-01-07,M,POL,A,104.92,105 kg Men,0,1,278,167,-172,173,173,211,215,-225,215,388
6,5,5,ZAITSEV Roman,3906,1987-03-13,M,UKR,A,102.72,105 kg Men,0,1,278,165,170,173,173,205,-212,212,212,385
7,10,7,SPIESS Jurgen Christian,2800,1984-03-26,M,GER,A,104.54,105 kg Men,0,1,278,165,170,-174,170,204,211,-216,211,381
9,6,10,GYURKOVICS Ferenc,1412,1979-09-03,M,HUN,A,103.62,105 kg Men,0,1,278,-170,-171,173,173,192,201,-205,201,374
NA,9,NA,KLEPATSKYI Serhii,4532,1988-08-28,M,UKR,A,104.44,105 kg Men,0,1,278,165,170,-174,170,-210,-212,-212,NA,NA
