total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,AYOVI CABEZAS Lisseth Betzaida,11355,1998-08-07,W,ECU,A,117.63,+69 kg Women,0,1,284,98,101,103,103,118,123,127,127,230
2,2,2,SALAZAR ARCE Tamara Yajaira,10575,1997-08-09,W,ECU,A,73.28,+69 kg Women,0,1,284,83,86,87,87,105,110,115,115,202
3,3,4,ROJAS CASTILLO Lenka Yanara,10243,1997-03-13,W,CHI,A,75.09,+69 kg Women,0,1,284,73,-77,78,78,88,91,-94,91,169
4,4,3,O.F. MUNIZ Jessica V.,11513,1998-10-29,W,BRA,A,71.07,+69 kg Women,0,1,284,65,70,-73,70,82,90,93,93,163
5,5,6,SANTILLAN PASTRANA Carla Soledad,12429,2000-02-21,W,ARG,A,79.21,+69 kg Women,0,1,284,58,60,62,62,70,73,75,75,137
6,6,5,MELVILLE Sheriah Lloydecia,11738,1999-02-14,W,GUY,A,74.24,+69 kg Women,0,1,284,57,-60,NA,57,68,72,76,76,133
7,7,7,DAHN Ruth,10909,1998-01-15,W,ARG,A,75.02,+69 kg Women,0,1,284,38,41,45,45,45,50,-55,50,95
1,1,1,FAREZ PICO Juan Jose,10906,1998-01-15,M,ECU,A,117.08,+94 kg Men,0,1,284,90,-95,95,95,115,123,127,127,222
2,2,2,BAEZA CARCAMO Melinton Fernando,11952,1999-06-05,M,CHI,A,98.41,+94 kg Men,0,1,284,65,70,-78,70,80,83,88,88,158
3,3,3,GERARDO Yamir Contreras Sampi,11819,1999-03-26,M,PER,A,96.5,+94 kg Men,0,1,284,60,63,66,66,78,82,87,87,153
1,1,1,JUNKAR ACERO Kely Valentina,13571,2001-11-14,W,COL,A,43.41,44 kg Women,0,1,284,50,-53,53,53,60,63,65,65,118
2,2,2,LAHUANAMPA CASTILLO Melina Alicia,12303,1999-12-18,W,PER,A,42.59,44 kg Women,0,1,284,42,44,-46,44,52,55,57,57,101
3,3,3,DE CANDIDO Abril,13369,2001-07-13,W,ARG,A,41.67,44 kg Women,0,1,284,38,40,42,42,46,48,50,50,92
1,2,1,JIMENEZ PALECHOR Julieth Alexandra,11816,1999-03-25,W,COL,A,47.97,48 kg Women,0,1,284,59,61,-63,61,79,82,85,85,146
2,1,2,ROSA FIGUEIREDO Emily,11047,1998-03-18,W,BRA,A,47.12,48 kg Women,0,1,284,57,60,62,62,75,78,-80,78,140
3,3,3,CUEVA URIBE Fiorella Francesca,10954,1998-02-04,W,PER,A,47.67,48 kg Women,0,1,284,47,50,52,52,67,70,72,72,124
4,4,4,SILVA Guadalupe,11315,1998-07-20,W,ARG,A,46.91,48 kg Women,0,1,284,45,-48,48,48,60,62,64,64,112
1,1,1,CASQUETE BURGOS Bryan Alexander,10509,1997-07-10,M,ECU,A,49.63,50 kg Men,0,1,284,77,-80,80,80,102,105,-106,105,185
2,2,3,MONTES LOPEZ Santiago Esteban,11435,1998-09-19,M,COL,A,49.75,50 kg Men,0,1,284,75,78,80,80,96,-101,-101,96,176
3,3,2,IPIALES YEPEZ Juan Carlos,11475,1998-10-13,M,ECU,A,49.99,50 kg Men,0,1,284,72,76,-79,76,94,98,-103,98,174
4,4,4,B. NEVES Robert,11236,1998-06-15,M,BRA,A,48.97,50 kg Men,0,1,284,55,60,-65,60,-70,70,75,75,135
1,3,1,TAPUY GREFA Monica Joahana,11552,1998-11-14,W,ECU,A,52.3,53 kg Women,0,1,284,62,-65,-65,62,85,88,-91,88,150
2,2,2,CARRIEL CAJAPE Stefani Jamileth,10188,1997-02-22,W,ECU,A,51.26,53 kg Women,0,1,284,61,64,-66,64,78,82,85,85,149
3,1,3,DE SOUZA FACCIOLLA FERREIRA Aline,11950,1999-06-04,W,BRA,A,51.28,53 kg Women,0,1,284,64,68,-71,68,80,-84,-85,80,148
4,5,4,SORIANO PALOMINO Liliana Cielo,12469,2000-03-11,W,PER,A,50.3,53 kg Women,0,1,284,50,53,56,56,67,71,74,74,130
5,4,5,S. RIBEIRO Mariana,12574,2000-05-07,W,BRA,A,49.86,53 kg Women,0,1,284,50,54,56,56,65,70,73,73,129
6,6,6,PEREIRA Javiera,10996,1998-02-25,W,CHI,A,52.84,53 kg Women,0,1,284,45,50,-52,50,53,57,-60,57,107
1,1,2,GARRIDO BUENAIRE Victor Jesus,11198,1998-05-27,M,ECU,A,55.3,56 kg Men,0,1,284,96,101,-105,101,118,122,-125,122,223
2,2,1,LOPEZ CARRANZA Brandy,11477,1998-10-15,M,PER,A,55.27,56 kg Men,0,1,284,85,89,92,92,115,119,123,123,215
3,3,3,DELGADO TUESTA Jhordan Neri,10767,1997-11-11,M,PER,A,55.83,56 kg Men,0,1,284,78,82,-85,82,105,109,112,112,194
4,4,4,DE SENA FERNANDES Renan,11729,1999-02-10,M,BRA,A,55.43,56 kg Men,0,1,284,67,74,-80,74,85,94,-97,94,168
5,5,5,F. SOARES Erick W.,11376,1998-08-16,M,BRA,A,55.63,56 kg Men,0,1,284,67,72,-75,72,85,90,-94,90,162
1,1,1,LLAMOSA MOSQUERA Nathalia,10459,1997-06-14,W,COL,A,56.62,58 kg Women,0,1,284,80,83,86,86,100,103,-105,103,189
2,3,2,NIEVAS Sasha Belen Beatriz,11220,1998-06-04,W,ARG,A,55.83,58 kg Women,0,1,284,65,66,-72,66,83,86,90,90,156
3,2,3,RUIZ Silvia,10298,1997-04-03,W,ECU,A,57.93,58 kg Women,0,1,284,67,71,-73,71,83,-85,85,85,156
4,4,4,MEGO CONTRERAS Shoely Mabel,12085,1999-08-12,W,PER,A,55.45,58 kg Women,0,1,284,57,60,62,62,75,78,-80,78,140
5,5,5,RIOS RODRIGUES Vitoria Lucia,11993,1999-06-25,W,BRA,A,57.5,58 kg Women,0,1,284,50,54,-56,54,-70,70,-75,70,124
