total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,MOREAU Joshua,2084,1982-01-03,M,USA,A,123.83,+105 kg Men,0,1,321,140,-147,147,147,180,190,200,200,347
2,2,2,KORISTA Milan,3004,1984-12-03,M,SVK,A,112.78,+105 kg Men,0,1,321,125,132,-136,132,145,-155,-155,145,277
1,1,1,LIN Yanping,1963,1981-09-11,W,CHN,A,90.41,+75 kg Women,0,1,321,-110,110,-115,110,-140,140,-148,140,250
2,2,2,KATSIDI Theano,2556,1983-06-20,W,GRE,A,99.06,+75 kg Women,0,1,321,92,96,100,100,120,125,-130,125,225
3,4,3,HEARN Rachel,1753,1980-12-15,W,USA,A,117.62,+75 kg Women,0,1,321,90,95,-99,95,115,120,125,125,220
4,3,4,VARGAS Emmy,980,1977-12-03,W,USA,A,96.84,+75 kg Women,0,1,321,90,95,-99,95,115,120,-125,120,215
5,5,5,DE LEON FERNANDEZ Rosita Ofelia,2456,1983-02-20,W,GUA,A,82.38,+75 kg Women,0,1,321,-82,-82,82,82,100,-106,106,106,188
1,1,1,TASHBULATOV Marsel,2128,1982-02-26,M,RUS,A,100.66,105 kg Men,0,1,321,170,-180,-180,170,205,-211,-211,205,375
2,2,2,BAYAM Talat,1890,1981-05-10,M,TUR,A,96.78,105 kg Men,0,1,321,165,-172,-175,165,190,200,-210,200,365
3,3,3,KATEV Savko,2841,1984-05-25,M,BUL,A,99.1,105 kg Men,0,1,321,145,150,-152,150,175,177,181,181,331
4,5,4,CEGAR Sasa,1760,1980-12-23,M,CRO,A,103.95,105 kg Men,0,1,321,145,148,-151,148,175,177,-181,177,325
5,4,5,DIEMER Carsten,1088,1978-04-05,M,GER,A,104.76,105 kg Men,0,1,321,145,149,-151,149,173,-178,-181,173,322
6,6,6,ALONSO GARROTE Ismael,1574,1980-03-15,M,ESP,A,97.76,105 kg Men,0,1,321,134,140,143,143,167,-172,172,172,315
1,1,1,CHEN Han-Tung,1745,1980-12-05,W,TPE,A,47.51,48 kg Women,0,1,321,70,-73,73,73,90,93,97,97,170
2,3,2,KLESZCZYNSKA Marta,1305,1979-02-13,W,POL,A,47.63,48 kg Women,0,1,321,57,63,65,65,80,83,85,85,150
3,2,3,VALLE Susanna,1606,1980-04-24,W,GUA,A,47.14,48 kg Women,0,1,321,62,65,-67,65,-73,73,-76,73,138
1,1,1,TAYLAN Nurcan,2658,1983-10-29,W,TUR,A,50.98,53 kg Women,0,1,321,80,85,NA,85,95,100,NA,100,185
2,2,2,KARADEMIR Emine,3126,1985-03-01,W,TUR,A,52.56,53 kg Women,0,1,321,-72,73,75,75,88,91,-93,91,166
3,3,3,DAVIS Amber,3624,1986-06-17,W,USA,A,52.76,53 kg Women,0,1,321,-70,70,72,72,84,87,90,90,162
4,4,5,PENUNURI VERDUGO Francia Natalie,2940,1984-09-19,W,MEX,A,52.95,53 kg Women,0,1,321,-67,67,70,70,87,-90,-95,87,157
5,5,4,DOZOIS-PREVOST Marilou,3580,1986-05-11,W,CAN,A,52.44,53 kg Women,0,1,321,67,-71,-71,67,-87,87,-95,87,154
6,6,6,De COSTER Sarah,3449,1986-01-09,W,BEL,A,52.6,53 kg Women,0,1,321,53,57,-60,57,68,72,75,75,132
NA,NA,7,DRAGO Sylvie,2328,1982-11-10,W,FRA,A,51,53 kg Women,0,1,321,-61,-61,-61,NA,-72,72,-76,72,NA
1,1,1,WU Meijin,1608,1980-04-25,M,CHN,A,55.92,56 kg Men,0,1,321,120,-125,-125,120,150,155,NA,155,275
2,2,2,OKUYAMA Masakazu,2640,1983-10-09,M,JPN,A,55.28,56 kg Men,0,1,321,99,-102,-102,99,118,120,122,122,221
3,3,3,AKMYRADOV Dovran,3109,1985-02-18,M,TKM,A,56,56 kg Men,0,1,321,85,92,-95,92,105,112,-119,112,204
1,2,1,KLEJNOWSKA-KRZYWANSKA Aleksandra Jadwiga,2356,1982-12-17,W,POL,A,57.68,58 kg Women,0,1,321,87,-90,-90,87,114,-118,-118,114,201
