total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,BENITEZ RIVERA Ashamarie,12615,2000-06-02,W,PUR,A,120,+69 kg Women,0,1,371,91,96,100,100,112,116,118,118,218
2,2,2,CHAVERRA Angie,11642,1999-01-02,W,COL,A,92.7,+69 kg Women,0,1,371,90,95,97,97,112,-116,117,117,214
3,3,3,ANANGONO PADILLA Emily Yajaira,12971,2000-12-24,W,ECU,A,92.45,+69 kg Women,0,1,371,86,90,-93,90,110,-115,-118,110,200
4,4,6,JARRETT Kaitlyn Nicole,12280,1999-12-04,W,USA,A,98.35,+69 kg Women,0,1,371,-82,-82,82,82,97,-103,104,104,186
5,5,4,SANTILLAN PASTRANA Carla Soledad,12429,2000-02-21,W,ARG,A,91.35,+69 kg Women,0,1,371,74,-78,78,78,100,-105,105,105,183
6,6,5,CARLOCK Shay Mckenzie,12458,2000-03-07,W,USA,A,96.25,+69 kg Women,0,1,371,78,-82,-82,78,97,-103,104,104,182
7,7,7,UCELO MARROQUIN Scarleth Vanessa,12518,2000-04-07,W,GUA,A,93.35,+69 kg Women,0,1,371,65,70,73,73,90,96,-100,96,169
8,8,8,OLANO FASANANDO Diana Del Pilar,12473,2000-03-16,W,PER,A,82.05,+69 kg Women,0,1,371,62,66,68,68,77,82,85,85,153
9,9,9,UBIDIA VALDIVIA Hilda Karla,13401,2001-07-30,W,PER,A,89.05,+69 kg Women,0,1,371,60,64,67,67,75,80,84,84,151
1,1,1,UROVISH David,12256,1999-11-22,M,USA,A,99.1,+94 kg Men,0,1,371,-111,115,120,120,140,145,-160,145,265
2,3,2,RIVERA Carlos,11843,1999-04-11,M,ECU,A,110.15,+94 kg Men,0,1,371,105,111,-115,111,-141,-141,141,141,252
3,2,3,ESCUDERO NAJERA Carlos Emilio,13574,2001-11-16,M,ECU,A,120.45,+94 kg Men,0,1,371,112,116,-121,116,130,-140,-140,130,246
4,4,4,CONTRERAS SAMPI Gerardo Yamir,11818,1999-03-26,M,PER,A,96.25,+94 kg Men,0,1,371,95,-99,99,99,-124,124,127,127,226
5,5,5,SENI UMPIERREZ Emanuel Matias,11678,1999-01-18,M,URU,A,132.55,+94 kg Men,0,1,371,90,-95,97,97,117,-125,125,125,222
6,6,6,GOMEZ ORTIZ Geiner Johany,12873,2000-10-17,M,CRC,A,96.95,+94 kg Men,0,1,371,70,75,-78,75,85,90,95,95,170
1,1,1,BERRIO ZULUAGA Manuela Andrea,12645,2000-06-18,W,COL,A,43.45,44 kg Women,0,1,371,62,65,67,67,82,86,-90,86,153
2,2,2,CHARDON Olivia Marie,14073,2002-09-25,W,USA,A,42.95,44 kg Women,0,1,371,-52,52,55,55,66,68,71,71,126
3,4,3,NYE Emma Elizabeth,13974,2002-07-11,W,USA,A,43.69,44 kg Women,0,1,371,-51,-51,51,51,64,-67,68,68,119
4,3,4,GONZALEZ MAIRENA Jessica Massiel,12381,2000-01-25,W,NCA,A,43.9,44 kg Women,0,1,371,-52,52,-56,52,61,65,67,67,119
5,5,5,BATZ Nancy,13984,2002-07-17,W,GUA,A,41.15,44 kg Women,0,1,371,38,41,44,44,52,57,59,59,103
1,2,1,GAONA PARDO Keylin Veronica,12305,1999-12-19,W,ECU,A,46.85,48 kg Women,0,1,371,60,-65,-65,60,76,-80,-80,76,136
2,3,2,SORIANO PALOMINO Liliana Cielo,12469,2000-03-11,W,PER,A,48,48 kg Women,0,1,371,52,55,-57,55,68,72,75,75,130
3,4,3,GONZALEZ CONTRERAS Andrea Mishell,13370,2001-07-15,W,GUA,A,47.3,48 kg Women,0,1,371,47,51,-53,51,55,60,-62,60,111
4,5,4,RAMOS RAMIREZ Mahli Merari,13678,2002-01-25,W,GUA,A,47.6,48 kg Women,0,1,371,-47,47,-50,47,55,60,-65,60,107
NA,1,NA,JUNKAR ACERO Kely Valentina,13571,2001-11-14,W,COL,A,48,48 kg Women,0,1,371,60,62,65,65,-80,-80,-80,NA,NA
1,1,1,GARCIA PEREZ Jairo Luis,12733,2000-08-02,M,COL,A,49.8,50 kg Men,0,1,371,85,89,-92,89,108,112,115,115,204
2,2,2,SUAREZ MESA Miguel Angel,12143,1999-09-17,M,COL,A,49.4,50 kg Men,0,1,371,83,86,-88,86,110,-115,-115,110,196
3,3,3,BALLENA VIDAURRE James Paul,12913,2000-11-11,M,PER,A,49.3,50 kg Men,0,1,371,82,85,-87,85,106,-111,-111,106,191
4,4,5,ZAMBRANO Andy,12109,1999-09-01,M,ECU,A,50,50 kg Men,0,1,371,77,81,-87,81,95,100,-107,100,181
5,5,4,TAFUR ALVA Fredy,13341,2001-06-22,M,PER,A,48.7,50 kg Men,0,1,371,70,73,75,75,96,101,104,104,179
6,6,6,CANAS CORDONERO Carlos Manuel,12082,1999-08-12,M,CRC,A,49.9,50 kg Men,0,1,371,65,69,72,72,85,90,-93,90,162
7,7,7,CORONADO QUEJ Ardavin Jose,12758,2000-08-17,M,GUA,A,49.7,50 kg Men,0,1,371,60,65,-68,65,75,-80,80,80,145
8,8,8,ESQUIVEL Elison,12039,1999-07-20,M,GUA,A,49.9,50 kg Men,0,1,371,60,65,-68,65,-75,-75,75,75,140
1,1,1,SINISTERRA TORRES Yenny,12570,2000-05-04,W,COL,A,52,53 kg Women,0,1,371,72,76,80,80,92,96,-101,96,176
2,3,2,JIMENEZ PALECHOR Julieth Alexandra,11816,1999-03-25,W,COL,A,52.25,53 kg Women,0,1,371,65,-69,69,69,90,-95,95,95,164
3,2,3,STEPHANO Kaela Ashton,12793,2000-09-02,W,USA,A,52.35,53 kg Women,0,1,371,68,-71,71,71,84,-90,91,91,162
4,5,4,SILVA RAMIREZ Stefania Nicole,12750,2000-08-10,W,PER,A,52.35,53 kg Women,0,1,371,63,-66,66,66,77,-81,81,81,147
5,4,6,CARVO Genesis,11983,1999-06-18,W,ECU,A,52.3,53 kg Women,0,1,371,67,-70,-70,67,75,-79,79,79,146
6,6,5,DE CANDIDO Abril,13369,2001-07-13,W,ARG,A,52.55,53 kg Women,0,1,371,-62,62,65,65,76,-80,80,80,145
7,7,8,PAVON MONTIEL Javiana Del Socorro,12128,1999-09-09,W,NCA,A,51.55,53 kg Women,0,1,371,58,62,-64,62,68,72,74,74,136
8,8,7,ROSS Aleah Rajean,12966,2000-12-22,W,USA,A,52.65,53 kg Women,0,1,371,-57,57,59,59,73,77,-79,77,136
9,9,10,RUIZ PEREZ Jennifer Jenyra,13020,2001-01-09,W,PUR,A,52.05,53 kg Women,0,1,371,52,57,-60,57,63,68,-73,68,125
10,10,9,CANO Josselin,12025,1999-07-13,W,GUA,A,51.6,53 kg Women,0,1,371,43,47,50,50,64,68,-70,68,118
1,1,1,RIVERA BARROS Julian Javier,12056,1999-07-28,M,ECU,A,55.4,56 kg Men,0,1,371,98,104,106,106,124,130,NA,130,236
2,5,2,ESQUIVEL MORALES Henry Eduardo,12370,2000-01-21,M,GUA,A,55.5,56 kg Men,0,1,371,82,89,-92,89,110,115,120,120,209
3,2,3,ICAL SALAZAR Jose Fernando,11919,1999-05-16,M,GUA,A,54.55,56 kg Men,0,1,371,85,90,93,93,110,115,-118,115,208
4,3,4,VELA VALDEZ William Jhuniors,13279,2001-05-08,M,PER,A,55.45,56 kg Men,0,1,371,85,89,92,92,105,110,-112,110,202
5,4,5,GALEANO LOPEZ Juan Jose,12059,1999-07-29,M,COL,A,55.85,56 kg Men,0,1,371,85,90,92,92,105,-110,-110,105,197
1,1,1,PAREDES VASQUEZ Eldi Jhasmin,12740,2000-08-04,W,PER,A,57.6,58 kg Women,0,1,371,-72,-72,72,72,92,96,-100,96,168
2,2,2,NEAL Shelby Anne,12602,2000-05-27,W,USA,A,57.35,58 kg Women,0,1,371,68,71,-73,71,91,-94,-95,91,162
3,3,3,RODRIGUEZ ARAYA Maria Virginia,12529,2000-04-14,W,CRC,A,57.4,58 kg Women,0,1,371,58,61,69,69,-81,82,83,83,152
4,4,4,JIMENEZ BLANCO Susan Nallely,13294,2001-05-24,W,GUA,A,57.05,58 kg Women,0,1,371,-58,-58,58,58,78,81,-83,81,139
5,5,5,MORALES HERNANDEZ Gennesis Nicole,12864,2000-10-11,W,PUR,A,57.25,58 kg Women,0,1,371,55,-58,-58,55,-67,-67,67,67,122
1,2,1,GARCIA Hector Armando,11976,1999-06-17,M,COL,A,61.6,62 kg Men,0,1,371,107,113,117,117,135,-140,140,140,257
2,1,2,LAGAREJO MOSQUERA Edwin Andres,11835,1999-04-06,M,COL,A,61.8,62 kg Men,0,1,371,110,114,118,118,137,-143,-143,137,255
3,3,3,LLERENA GRIJALVA Mathias Isaac,12787,2000-09-01,M,ECU,A,60.85,62 kg Men,0,1,371,97,101,104,104,123,126,-129,126,230
4,4,5,MENDEZ YE Henry Geovany,11795,1999-03-15,M,GUA,A,61.75,62 kg Men,0,1,371,97,102,-105,102,-125,125,-130,125,227
