total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,RIAZANOVA Daria,12773,2000-08-24,W,RUS,A,88.41,+75 kg Women,0,1,378,93,96,98,98,121,125,NA,125,223
2,1,2,FISCHER Sarah,12908,2000-11-09,W,AUT,A,82.57,+75 kg Women,0,1,378,93,96,99,99,-115,115,119,119,218
3,3,5,MANUMUA Kuinini Juanita Mechteld,12956,2000-12-12,W,USA,A,97.79,+75 kg Women,0,1,378,88,91,93,93,109,-116,117,117,210
4,4,4,VLASENKO Anastasiia,13268,2001-05-02,W,UKR,A,91.64,+75 kg Women,0,1,378,85,89,92,92,110,-115,117,117,209
5,6,3,KHAMHAENG Supatchanin,13230,2001-04-14,W,THA,A,98.48,+75 kg Women,0,1,378,87,90,-93,90,110,115,118,118,208
6,5,8,ANANGONO PADILLA Emily Yajaira,12971,2000-12-24,W,ECU,A,93.15,+75 kg Women,0,1,378,88,-91,92,92,-115,115,-119,115,207
7,7,6,DAVRONOVA Dolera,13554,2001-11-03,W,UZB,A,80.58,+75 kg Women,0,1,378,80,84,89,89,103,111,116,116,205
8,8,7,KUMARBEKOVA Gulzhan,12727,2000-07-29,W,KAZ,A,101.44,+75 kg Women,0,1,378,78,83,87,87,110,115,-119,115,202
9,10,9,CARLOCK Shay Mckenzie,12458,2000-03-07,W,USA,A,87.68,+75 kg Women,0,1,378,80,-83,83,83,103,107,-110,107,190
10,9,11,PAKOZDI Eva,12382,2000-01-25,W,HUN,B,133.13,+75 kg Women,0,1,378,78,-84,84,84,97,101,-105,101,185
11,12,10,DANIS Rabia,12616,2000-06-02,W,TUR,B,97.14,+75 kg Women,0,1,378,-80,80,-84,80,96,-100,102,102,182
12,11,13,BLANCO TARELA Irene,13656,2002-01-12,W,ESP,B,84.13,+75 kg Women,0,1,378,75,78,82,82,90,94,-97,94,176
13,13,12,BOROS Viktoria,13386,2001-07-22,W,HUN,B,86,+75 kg Women,0,1,378,68,73,76,76,90,-95,95,95,171
14,14,14,BAHTYYAROVA Sangiza,13389,2001-07-23,W,TKM,B,80.1,+75 kg Women,0,1,378,60,64,-67,64,75,80,-85,80,144
1,1,3,KUROUSKI Kanstantsin,12737,2000-08-04,M,BLR,A,102.21,+94 kg Men,0,1,378,155,161,165,165,185,191,195,195,360
2,3,2,GOGICHAEV Dmitrii,12765,2000-08-20,M,RUS,A,122.53,+94 kg Men,0,1,378,150,155,-160,155,190,197,-206,197,352
3,2,4,ROSHANI Mohammadreza,12392,2000-02-03,M,IRI,A,156.08,+94 kg Men,0,1,378,146,152,156,156,191,-205,-205,191,347
4,7,1,SHAHABANDAZ Mohammad,13561,2001-11-08,M,IRI,A,157.15,+94 kg Men,0,1,378,133,139,142,142,181,198,205,205,347
5,4,5,LIN Sheng-Lun,12375,2000-01-22,M,TPE,A,110.36,+94 kg Men,0,1,378,145,151,155,155,185,191,-198,191,346
6,5,7,KAPLAN Yildiray,12536,2000-04-19,M,TUR,A,107.99,+94 kg Men,0,1,378,140,-147,147,147,-163,163,168,168,315
7,6,6,TABATADZE Tornike,13104,2001-02-10,M,GEO,A,131.11,+94 kg Men,0,1,378,137,-143,143,143,-161,161,168,168,311
