total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,MOHAMMADPOUR Ghasemali,11696,1999-01-27,M,IRI,A,151.76,+105 kg Men,0,1,388,155,160,162,162,194,200,-210,200,362
2,2,2,ZHANG Yuxuan,11693,1999-01-26,M,CHN,A,128.74,+105 kg Men,0,1,388,155,161,-163,161,190,196,-202,196,357
3,3,3,IMANI JAT GHAYEH Mohsen,11320,1998-07-23,M,IRI,A,163.5,+105 kg Men,0,1,388,151,-158,158,158,182,186,-194,186,344
4,4,4,HSIEH Yun-Ting,12072,1999-08-08,M,TPE,A,115.3,+105 kg Men,0,1,388,142,-152,156,156,172,185,-189,185,341
5,5,5,TURKMAN Fazal Karim,11208,1998-06-01,M,AFG,A,139.94,+105 kg Men,0,1,388,110,-120,120,120,140,145,150,150,270
1,1,1,CHAIDEE Duangaksorn,10580,1997-08-11,W,THA,A,112.9,+90 kg Women,0,1,388,106,111,114,114,137,145,-151,145,259
2,2,2,MUPTILDA Aizada,11127,1998-04-23,W,KAZ,A,115,+90 kg Women,0,1,388,98,103,105,105,126,133,136,136,241
3,3,3,LU Zhuofan,13155,2001-03-12,W,CHN,A,102.87,+90 kg Women,0,1,388,90,-95,97,97,125,132,-135,132,229
4,4,5,AWANO Chikako,10694,1997-09-30,W,JPN,A,91.52,+90 kg Women,0,1,388,90,94,96,96,108,114,-119,114,210
5,5,4,KUMARBEKOVA Gulzhan,12727,2000-07-29,W,KAZ,B,100.93,+90 kg Women,0,1,388,80,85,87,87,110,117,119,119,206
1,2,1,OURAMEH Rahman,11517,1998-11-01,M,IRI,A,94.47,105 kg Men,0,1,388,147,-152,152,152,186,201,208,208,360
2,1,2,ZHU Xuanhong,12092,1999-08-17,M,CHN,A,103.44,105 kg Men,0,1,388,150,153,156,156,170,175,181,181,337
3,3,3,LOVEPREET Singh,10642,1997-09-06,M,IND,A,103.92,105 kg Men,0,1,388,138,146,151,151,165,175,180,180,331
4,4,4,BHANDARI Sagar,13560,2001-11-07,M,NEP,A,103.3,105 kg Men,0,1,388,85,-90,-90,85,110,117,122,122,207
1,1,1,SUKCHAROEN Thunya,10340,1997-04-21,W,THA,A,47.82,48 kg Women,0,1,388,76,78,81,81,96,99,-101,99,180
2,3,2,"NANTHAWONG Chiraphan",12093,1999-08-17,W,THA,A,47.53,48 kg Women,0,1,388,-72,72,74,74,92,96,98,98,172
3,2,3,NGO Thi Quyen,10709,1997-10-10,W,VIE,A,47.17,48 kg Women,0,1,388,-74,74,-77,74,91,95,-97,95,169
4,4,4,ZIN May Oo,11739,1999-02-15,W,MYA,A,47.1,48 kg Women,0,1,388,65,69,72,72,85,90,-93,90,162
5,5,5,DALABEHERA Jhilli,11717,1999-02-03,W,IND,A,47.72,48 kg Women,0,1,388,65,69,-71,69,81,85,89,89,158
6,6,6,FAN Taolian,11709,1999-01-30,W,CHN,A,40.9,48 kg Women,0,1,388,62,66,69,69,-83,83,85,85,154
NA,NA,8,KHONG My Phuong,12010,1999-07-05,W,VIE,A,46.82,48 kg Women,0,1,388,-73,-73,-73,NA,75,-82,-82,75,NA
