total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,MARTIROSYAN Simon,10176,1997-02-17,M,ARM,A,111.1,+105 kg Men,0,1,401,186,192,197,197,230,-236,236,236,433
2,2,2,CHKHEIDZE Giorgi,10752,1997-10-30,M,GEO,A,131,+105 kg Men,0,1,401,175,181,185,185,215,223,231,231,416
3,4,3,KAJDOCI Tamas,10337,1997-04-21,M,SRB,A,144.7,+105 kg Men,0,1,401,168,174,-181,174,-211,211,217,217,391
4,3,5,ZIAZIULIN Eduard,11510,1998-10-29,M,BLR,A,132.8,+105 kg Men,0,1,401,173,180,-185,180,200,210,-215,210,390
5,5,4,AKHMEDIANOV Iurii,10231,1997-03-09,M,RUS,A,137.1,+105 kg Men,0,1,401,162,168,173,173,200,-210,214,214,387
6,7,6,LEBEDZEU Illia,10550,1997-07-28,M,BLR,A,134,+105 kg Men,0,1,401,151,158,161,161,191,197,202,202,363
7,6,8,WEGRZYN Jakub,12057,1999-07-28,M,POL,A,139.7,+105 kg Men,0,1,401,157,162,167,167,190,195,-200,195,362
8,8,7,GOGICHAEV Dmitrii,12765,2000-08-20,M,RUS,A,121,+105 kg Men,0,1,401,150,157,160,160,190,196,-201,196,356
9,11,9,VINCI Alessandro,11754,1999-02-21,M,ITA,B,113.4,+105 kg Men,0,1,401,141,-148,148,148,180,186,-191,186,334
10,10,10,JUCIUS Deivydas,11607,1998-12-17,M,LTU,B,131.3,+105 kg Men,0,1,401,145,150,-155,150,176,183,-186,183,333
11,9,11,KAPLAN Yildiray,12536,2000-04-19,M,TUR,B,110.9,+105 kg Men,0,1,401,142,148,152,152,175,180,-183,180,332
1,1,1,DALALYAN Arpine,11750,1999-02-18,W,ARM,A,112,+90 kg Women,0,1,401,90,95,97,97,120,125,131,131,228
2,2,2,KAROLAK Magdalena,11945,1999-06-01,W,POL,A,126.1,+90 kg Women,0,1,401,87,91,96,96,115,122,130,130,226
3,3,3,GUNAL Melike,11091,1998-04-05,W,TUR,A,107,+90 kg Women,0,1,401,82,-85,86,86,104,107,110,110,196
4,4,5,UZIAK Elzbieta,12266,1999-11-27,W,POL,A,95.5,+90 kg Women,0,1,401,80,83,85,85,100,-106,-106,100,185
5,5,4,GYURUS Barbara,11368,1998-08-12,W,HUN,A,128.3,+90 kg Women,0,1,401,-78,78,-85,78,100,-105,105,105,183
1,1,3,KHETSURIANI Dato,10439,1997-06-05,M,GEO,A,104.7,105 kg Men,0,1,401,167,173,-176,173,197,204,-208,204,377
2,2,1,GASPARYAN Samvel,10802,1997-11-24,M,ARM,A,102.7,105 kg Men,0,1,401,-162,162,167,167,202,207,-211,207,374
3,5,2,CHKHEIDZE Irakli,11648,1999-01-05,M,GEO,A,100.9,105 kg Men,0,1,401,157,161,164,164,194,200,206,206,370
4,4,4,HRISTOV Hristo Dimitrov,13254,2001-04-27,M,BUL,A,104.6,105 kg Men,0,1,401,155,160,165,165,190,198,204,204,369
5,3,5,KUROUSKI Kanstantsin,12737,2000-08-04,M,BLR,A,104.9,105 kg Men,0,1,401,161,166,-169,166,190,-198,-199,190,356
6,6,6,IZDEBSKI Marcin,11781,1999-03-06,M,POL,A,104.8,105 kg Men,0,1,401,150,155,158,158,180,-185,-185,180,338
7,7,7,ROZANSKI Dariusz,10842,1997-12-19,M,POL,A,104.6,105 kg Men,0,1,401,142,146,150,150,168,172,176,176,326
NA,NA,NA,PANAYOTIDI Nikolay,11634,1999-01-01,M,RUS,A,105,105 kg Men,1,1,401,160,165,168,NA,180,-188,NA,NA,NA
8,8,10,ZEMRUKIS Edgars,11829,1999-03-31,M,LAT,B,103.7,105 kg Men,0,1,401,140,145,-150,145,160,165,170,170,315
9,9,8,SAKKAS Jordan,11880,1999-04-25,M,GBR,B,104,105 kg Men,0,1,401,133,137,140,140,167,172,-176,172,312
10,10,9,MIFSUD Kieran,11995,1999-06-26,M,MLT,B,104.2,105 kg Men,0,1,401,126,131,-135,131,165,171,-175,171,302
11,12,11,ANDRIJAUSKAS Karolis,11527,1998-11-04,M,LTU,B,96.8,105 kg Men,0,1,401,-118,118,-123,118,150,160,163,163,281
12,11,12,GJATA Denald,12653,2000-06-23,M,ALB,B,104.9,105 kg Men,0,1,401,110,118,-123,118,132,139,-145,139,257
1,1,1,PAGLIARO Alessandra,10526,1997-07-16,W,ITA,A,46.3,48 kg Women,0,1,401,-70,70,72,72,84,-88,88,88,160
2,3,2,KARAKOL Gamze,11603,1998-12-15,W,TUR,A,47.8,48 kg Women,0,1,401,-68,68,-71,68,87,-93,-93,87,155
3,2,7,DOGAN Ayse,12409,2000-02-12,W,TUR,A,47.6,48 kg Women,0,1,401,66,68,71,71,79,-81,81,81,152
4,5,4,KOZINA Kseniia,11506,1998-10-27,W,RUS,A,48,48 kg Women,0,1,401,64,67,-69,67,79,-82,82,82,149
