total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SIMANU Iuniarra,7412,1993-06-25,W,SAM,A,94.9,+69 kg Women,0,1,85,75,80,83,83,96,-101,105,105,188
2,2,2,PETERS Luisa Fatiaki Taitapu,7419,1993-06-27,W,COK,A,87,+69 kg Women,0,1,85,57,60,64,64,77,-80,80,80,144
3,3,4,SLEEMAN Bonnie Leigh,7797,1993-12-23,W,AUS,A,73.9,+69 kg Women,0,1,85,61,-65,-65,61,68,-75,-80,68,129
4,4,3,MAUTAMA Tamyrah,8738,1995-03-01,W,NIU,A,72.2,+69 kg Women,0,1,85,47,54,-57,54,62,67,72,72,126
5,5,5,HOLMES Jordan,8662,1995-01-25,W,NZL,A,82.8,+69 kg Women,0,1,85,45,48,51,51,60,-62,-66,60,111
6,6,6,MACDOUGALL Ashleigh Louise,8494,1994-11-15,W,NZL,A,85.5,+69 kg Women,0,1,85,41,44,-48,44,50,54,58,58,102
1,2,1,JOHNSTON Robert,7374,1993-06-04,M,AUS,A,110.6,+94 kg Men,0,1,85,80,85,90,90,100,106,113,113,203
2,1,2,LAGIKULA Petelo Sanele Ireneo,8942,1995-06-07,M,NCL,A,97.3,+94 kg Men,0,1,85,85,90,95,95,105,107,-110,107,202
3,3,3,SMITH Trent,7895,1994-01-17,M,NZL,A,123.9,+94 kg Men,0,1,85,73,77,83,83,85,-92,94,94,177
1,1,1,CHISHOLM Courtenay,8985,1995-06-27,W,AUS,A,46.5,48 kg Women,0,1,85,31,35,38,38,45,48,50,50,88
2,2,2,STUART Kara,8539,1994-12-09,W,AUS,A,47.4,48 kg Women,0,1,85,-32,32,35,35,45,-50,-54,45,80
3,3,3,RASARI Iowana,7624,1993-10-01,W,FIJ,A,47.8,48 kg Women,0,1,85,25,30,-35,30,30,35,-40,35,65
1,1,1,QALIBAU Samisoni,10076,1997-01-03,M,FIJ,A,48.7,50 kg Men,0,1,85,40,46,51,51,53,58,65,65,116
2,2,2,OALA Fred Karoho,9859,1996-09-12,M,PNG,A,47.8,50 kg Men,0,1,85,45,50,-52,50,55,60,63,63,113
3,3,3,BUCKNELL William,9219,1995-11-12,M,FIJ,A,47.6,50 kg Men,0,1,85,40,45,-50,45,53,60,-65,60,105
4,5,4,MOSS Cameron,10329,1997-04-17,M,NZL,A,41.4,50 kg Men,0,1,85,31,34,-38,34,40,45,47,47,81
5,4,5,KARI Andrew,10056,1997-01-01,M,PNG,A,40.8,50 kg Men,0,1,85,30,35,-38,35,35,40,45,45,80
