rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,kilic gokhan,tur,"born: jan 06, 1988",b.weight: 55.82,group: a,1: 113,2: 116,3: 118,total: 118,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 2,chadovich stanislau,blr,"born: aug 24, 1992",b.weight: 55.91,group: a,1: 112,2: 116,3: 118,total: 118,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 3,dudoglo ghenadie,mda,"born: jun 27, 1986",b.weight: 55.62,group: a,1: 110,2: 115,3: -117,total: 115,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 4,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 55.82,group: a,1: 115,2: -119,3: -119,total: 115,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 5,dzerbianiou vitali,blr,"born: aug 05, 1976",b.weight: 55.88,group: a,1: 110,2: 115,3: -119,total: 115,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 6,goegebuer tom richard,bel,"born: mar 27, 1975",b.weight: 55.81,group: a,1: -111,2: 111,3: 114,total: 114,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 7,artuc sedat,tur,"born: jun 09, 1976",b.weight: 55.17,group: a,1: 113,2: -116,3: -116,total: 113,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 8,sirghi oleg,mda,"born: jul 09, 1987",b.weight: 55.89,group: a,1: -108,2: 108,3: 112,total: 112,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 9,guirado garcia francisco javier,esp,"born: nov 24, 1985",b.weight: 55.55,group: b,1: 105,2: -110,3: 110,total: 110,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 10,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.70,group: a,1: 105,2: -110,3: -110,total: 105,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 11,przepiorkiewicz maciej,pol,"born: nov 14, 1987",b.weight: 55.95,group: b,1: 102,2: -105,3: 105,total: 105,56kgmen,snatch,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 1,sirghi oleg,mda,"born: jul 09, 1987",b.weight: 55.89,group: a,1: 141,2: 145,3: 150,total: 150,56kgmen,cleanjerk,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 2,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 55.82,group: a,1: 133,2: 138,3: 141,total: 141,56kgmen,cleanjerk,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 3,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.70,group: a,1: 140,2: -151,3: -151,total: 140,56kgmen,cleanjerk,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 4,goegebuer tom richard,bel,"born: mar 27, 1975",b.weight: 55.81,group: a,1: 134,2: 138,3: 140,total: 140,56kgmen,cleanjerk,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 5,kilic gokhan,tur,"born: jan 06, 1988",b.weight: 55.82,group: a,1: 133,2: -137,3: 138,total: 138,56kgmen,cleanjerk,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
rank: 6,dudoglo ghenadie,mda,"born: jun 27, 1986",b.weight: 55.62,group: a,1: 130,2: 135,3: -138,total: 135,56kgmen,cleanjerk,90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS
