rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,lopez aquino marvin,esa,"born: sep 14, 1980",b.weight: 55.84,group: a,1: 105,2: 109,3: -111,total: 109,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 2,salamanca pineda julio cesar,esa,"born: jul 15, 1989",b.weight: 55.96,group: a,1: 95,2: 100,3: 104,total: 104,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 3,hernandez cardenas alex francisco,gua,"born: jan 25, 1986",b.weight: 55.19,group: a,1: 92,2: - 97,3: 97,total: 97,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 4,soto diego,chi,"born: jan 28, 1988",b.weight: 55.49,group: a,1: - 92,2: 92,3: 97,total: 97,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 5,santana luis eduardo,bra,"born: feb 15, 1985",b.weight: 55.00,group: a,1: 80,2: 87,3: 90,total: 90,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 6,fautario david,arg,"born: feb 22, 1987",b.weight: 55.53,group: a,1: 75,2: 81,3: 88,total: 88,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: ---,castellano victor,ven,"born: mar 23, 1976",b.weight: 55.99,group: a,1: -110,2: -110,3: -110,total: ---,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: ---,pec tunche wellinton,gua,"born: dec 01, 1987",b.weight: 55.69,group: a,1: - 95,2: - 95,3: - 95,total: ---,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: dsq,de la rosa bibene efrain antonio,dom,"born: jun 09, 1986",b.weight: 55.66,group: a,1: 100,2: 105,3: -107,total: ---,56kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 1,lopez aquino marvin,esa,"born: sep 14, 1980",b.weight: 55.84,group: a,1: -132,2: 132,3: ---,total: 132,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 2,salamanca pineda julio cesar,esa,"born: jul 15, 1989",b.weight: 55.96,group: a,1: 125,2: -130,3: -130,total: 125,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 3,soto diego,chi,"born: jan 28, 1988",b.weight: 55.49,group: a,1: 117,2: 122,3: -128,total: 122,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 4,hernandez cardenas alex francisco,gua,"born: jan 25, 1986",b.weight: 55.19,group: a,1: -110,2: 110,3: 115,total: 115,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 5,santana luis eduardo,bra,"born: feb 15, 1985",b.weight: 55.00,group: a,1: 102,2: -107,3: -107,total: 102,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 6,fautario david,arg,"born: feb 22, 1987",b.weight: 55.53,group: a,1: 95,2: 100,3: -105,total: 100,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: ---,castellano victor,ven,"born: mar 23, 1976",b.weight: 55.99,group: a,1: ---,2: ---,3: ---,total: ---,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: ---,pec tunche wellinton,gua,"born: dec 01, 1987",b.weight: 55.69,group: a,1: -130,2: -130,3: -130,total: ---,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: dsq,de la rosa bibene efrain antonio,dom,"born: jun 09, 1986",b.weight: 55.66,group: a,1: -120,2: 120,3: -126,total: ---,56kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 1,lopez aquino marvin,esa,"born: sep 14, 1980",b.weight: 55.84,group: a,snatch: 109,ci&jerk: 132,total: 241,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 2,salamanca pineda julio cesar,esa,"born: jul 15, 1989",b.weight: 55.96,group: a,snatch: 104,ci&jerk: 125,total: 229,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 3,soto diego,chi,"born: jan 28, 1988",b.weight: 55.49,group: a,snatch: 97,ci&jerk: 122,total: 219,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 4,hernandez cardenas alex francisco,gua,"born: jan 25, 1986",b.weight: 55.19,group: a,snatch: 97,ci&jerk: 115,total: 212,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 5,santana luis eduardo,bra,"born: feb 15, 1985",b.weight: 55.00,group: a,snatch: 90,ci&jerk: 102,total: 192,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 6,fautario david,arg,"born: feb 22, 1987",b.weight: 55.53,group: a,snatch: 88,ci&jerk: 100,total: 188,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: ---,castellano victor,ven,"born: mar 23, 1976",b.weight: 55.99,group: a,snatch: ---,ci&jerk: ---,total: ---,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: ---,pec tunche wellinton,gua,"born: dec 01, 1987",b.weight: 55.69,group: a,snatch: ---,ci&jerk: ---,total: ---,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: dsq,de la rosa bibene efrain antonio,dom,"born: jun 09, 1986",b.weight: 55.66,group: a,snatch: ---,ci&jerk: ---,total: ---,,56kgmen,total,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 1,salazar quintero diego fernando,col,"born: oct 03, 1980",b.weight: 61.86,group: a,1: 130,2: 135,3: 137,total: 137,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 2,figueroa mosquera oscar albeiro,col,"born: apr 27, 1983",b.weight: 61.86,group: a,1: 132,2: -137,3: 137,total: 137,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 3,sanchez rivero junior antonio,ven,"born: jun 01, 1989",b.weight: 61.77,group: a,1: 124,2: -127,3: 127,total: 127,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 4,lazaro maykel ruiz gasso,cub,"born: oct 12, 1984",b.weight: 60.77,group: a,1: 115,2: 120,3: 124,total: 124,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 5,lopez sanchez jesus antonio,ven,"born: dec 17, 1984",b.weight: 62.00,group: a,1: -122,2: 122,3: -126,total: 122,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 6,alvarez boulet sergio,cub,"born: oct 11, 1979",b.weight: 59.58,group: a,1: 115,2: 120,3: -124,total: 120,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 7,valencia iturralde enrique clemente,ecu,"born: sep 18, 1988",b.weight: 61.47,group: a,1: 112,2: 117,3: -125,total: 117,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 8,mendez wellington dias,bra,"born: oct 24, 1982",b.weight: 61.73,group: a,1: 105,2: 112,3: 115,total: 115,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 9,reyna lomas edison gabriel,ecu,"born: jan 25, 1986",b.weight: 61.94,group: b,1: 106,2: 110,3: 113,total: 113,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 10,singh jasvir,can,"born: apr 13, 1977",b.weight: 61.62,group: a,1: 112,2: -116,3: -116,total: 112,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 11,almanzar francisco,dom,"born: sep 19, 1989",b.weight: 61.42,group: b,1: 107,2: 111,3: -113,total: 111,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 12,ascencio quezada albert enrique,esa,"born: feb 10, 1988",b.weight: 61.96,group: a,1: 105,2: 110,3: -115,total: 110,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 13,johnson derrick rshone,usa,"born: jan 06, 1985",b.weight: 61.62,group: b,1: 107,2: -112,3: -112,total: 107,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 14,bustamante yetzari,chi,"born: dec 03, 1987",b.weight: 61.64,group: b,1: 100,2: 103,3: 106,total: 106,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 15,mendoza garcia david aurelio,hon,"born: jun 21, 1986",b.weight: 61.63,group: b,1: 100,2: 105,3: -106,total: 105,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 16,ortiz luis,pur,"born: mar 13, 1987",b.weight: 61.29,group: b,1: -100,2: 100,3: -105,total: 100,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 17,valenzuela rodrigo,arg,"born: oct 26, 1984",b.weight: 61.80,group: b,1: 97,2: -100,3: -100,total: 97,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 18,najera lopez carlos ricardo,gua,"born: oct 28, 1987",b.weight: 59.84,group: b,1: 85,2: 90,3: 92,total: 92,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 19,freddy meneses ramos,per,"born: oct 17, 1986",b.weight: 61.99,group: b,1: 87,2: 90,3: - 92,total: 90,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 20,gonzalez perez carlos roberto,gua,"born: nov 10, 1983",b.weight: 61.77,group: b,1: 80,2: - 85,3: 85,total: 85,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: ---,iturra jaime iturra,chi,"born: mar 29, 1982",b.weight: 61.79,group: b,1: -110,2: -110,3: -110,total: ---,62kgmen,snatch,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 1,figueroa mosquera oscar albeiro,col,"born: apr 27, 1983",b.weight: 61.86,group: a,1: 160,2: 165,3: 167,total: 167,62kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 2,salazar quintero diego fernando,col,"born: oct 03, 1980",b.weight: 61.86,group: a,1: 160,2: 165,3: -168,total: 165,62kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 3,lazaro maykel ruiz gasso,cub,"born: oct 12, 1984",b.weight: 60.77,group: a,1: 147,2: 154,3: 160,total: 160,62kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 4,lopez sanchez jesus antonio,ven,"born: dec 17, 1984",b.weight: 62.00,group: a,1: 153,2: -156,3: 156,total: 156,62kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
rank: 5,alvarez boulet sergio,cub,"born: oct 11, 1979",b.weight: 59.58,group: a,1: 145,2: 150,3: 155,total: 155,62kgmen,cleanjerk,2008 PAN-AMERICAN CHAMPIONSHIPS
