rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,wijesurya c.s.s.p.,sri,"born: feb 01, 1984",b.weight: 55.92,group: a,1: -100,2: 100,3: 103,total: 103,56kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 2,bandara w. g. k.,sri,"born: oct 04, 1985",b.weight: 55.82,group: a,1: 95,2: - 98,3: 98,total: 98,56kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 3,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.50,group: a,1: 93,2: 97,3: - 99,total: 97,56kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 4,phillips anrich morico,rsa,"born: oct 17, 1992",b.weight: 54.32,group: a,1: - 95,2: 95,3: - 98,total: 95,56kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 5,adonis monree,rsa,"born: dec 03, 1988",b.weight: 55.78,group: a,1: - 94,2: - 94,3: 94,total: 94,56kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 1,wijesurya c.s.s.p.,sri,"born: feb 01, 1984",b.weight: 55.92,group: a,1: -130,2: 130,3: 133,total: 133,56kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 2,bandara w. g. k.,sri,"born: oct 04, 1985",b.weight: 55.82,group: a,1: 129,2: -135,3: -137,total: 129,56kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 3,adonis monree,rsa,"born: dec 03, 1988",b.weight: 55.78,group: a,1: 117,2: 122,3: -125,total: 122,56kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 4,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.50,group: a,1: 115,2: 121,3: -126,total: 121,56kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 5,phillips anrich morico,rsa,"born: oct 17, 1992",b.weight: 54.32,group: a,1: -115,2: -115,3: 115,total: 115,56kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 1,wijesurya c.s.s.p.,sri,"born: feb 01, 1984",b.weight: 55.92,group: a,snatch: 103,ci&jerk: 133,total: 236,,56kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 2,bandara w. g. k.,sri,"born: oct 04, 1985",b.weight: 55.82,group: a,snatch: 98,ci&jerk: 129,total: 227,,56kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 3,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.50,group: a,snatch: 97,ci&jerk: 121,total: 218,,56kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 4,adonis monree,rsa,"born: dec 03, 1988",b.weight: 55.78,group: a,snatch: 94,ci&jerk: 122,total: 216,,56kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 5,phillips anrich morico,rsa,"born: oct 17, 1992",b.weight: 54.32,group: a,snatch: 95,ci&jerk: 115,total: 210,,56kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 1,sarang rustam,ind,"born: dec 12, 1988",b.weight: 61.80,group: a,1: -115,2: 115,3: 120,total: 120,62kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 2,dissanayake mudiyanselage indika c. d.,sri,"born: aug 06, 1989",b.weight: 61.96,group: a,1: 114,2: 118,3: 120,total: 120,62kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 3,yukar sibi,ind,"born: may 07, 1992",b.weight: 61.54,group: a,1: 108,2: 113,3: 116,total: 116,62kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 4,phillips luwellyne andrew,rsa,"born: aug 21, 1989",b.weight: 59.18,group: a,1: 100,2: -105,3: -105,total: 100,62kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 5,haumili ioane,tuv,"born: nov 23, 1988",b.weight: 61.44,group: a,1: 94,2: 98,3: -101,total: 98,62kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 1,yukar sibi,ind,"born: may 07, 1992",b.weight: 61.54,group: a,1: 140,2: 148,3: -152,total: 148,62kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 2,sarang rustam,ind,"born: dec 12, 1988",b.weight: 61.80,group: a,1: -144,2: 144,3: 148,total: 148,62kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 3,haumili ioane,tuv,"born: nov 23, 1988",b.weight: 61.44,group: a,1: 123,2: 128,3: -132,total: 128,62kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 4,phillips luwellyne andrew,rsa,"born: aug 21, 1989",b.weight: 59.18,group: a,1: 120,2: -125,3: -125,total: 120,62kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: ---,dissanayake mudiyanselage indika c. d.,sri,"born: aug 06, 1989",b.weight: 61.96,group: a,1: -140,2: -140,3: -140,total: ---,62kgmen,cleanjerk,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 1,sarang rustam,ind,"born: dec 12, 1988",b.weight: 61.80,group: a,snatch: 120,ci&jerk: 148,total: 268,,62kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 2,yukar sibi,ind,"born: may 07, 1992",b.weight: 61.54,group: a,snatch: 116,ci&jerk: 148,total: 264,,62kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 3,haumili ioane,tuv,"born: nov 23, 1988",b.weight: 61.44,group: a,snatch: 98,ci&jerk: 128,total: 226,,62kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 4,phillips luwellyne andrew,rsa,"born: aug 21, 1989",b.weight: 59.18,group: a,snatch: 100,ci&jerk: 120,total: 220,,62kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: ---,dissanayake mudiyanselage indika c. d.,sri,"born: aug 06, 1989",b.weight: 61.96,group: a,snatch: 120,ci&jerk: ---,total: ---,,62kgmen,total,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 1,kurukulasooriyage anton sudesh peiris,sri,"born: feb 03, 1985",b.weight: 69.00,group: a,1: 120,2: -125,3: 125,total: 125,69kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 2,evans gareth irfon,wal,"born: apr 18, 1986",b.weight: 67.56,group: a,1: 115,2: -121,3: 121,total: 121,69kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 3,deiranauw bronco,nru,"born: mar 04, 1991",b.weight: 68.14,group: a,1: 115,2: 120,3: -122,total: 120,69kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 4,toromon takenibeia,kir,"born: jan 29, 1992",b.weight: 68.18,group: a,1: 115,2: 120,3: -123,total: 120,69kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 5,rambabu pasam,ind,"born: jun 08, 1983",b.weight: 68.78,group: a,1: 120,2: -124,3: -124,total: 120,69kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 6,du plooy lyle william henry,rsa,"born: aug 02, 1988",b.weight: 68.82,group: a,1: 112,2: -116,3: -116,total: 112,69kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 7,ngwele mninikhaya,rsa,"born: oct 12, 1992",b.weight: 67.48,group: a,1: 110,2: -115,3: -115,total: 110,69kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
rank: 8,rose ian nigel,sey,"born: sep 21, 1981",b.weight: 67.64,group: b,1: 100,2: -105,3: 105,total: 105,69kgmen,snatch,2011 COMMONWEALTH CHAMPIONSHIPS
