rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,lariki elhabib,alg,"born: nov 03, 1987",b.weight: 55.60,group: a,1: 96,2: 100,3: -103,total: 100,56kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 2,giwa taju,ngr,"born: dec 09, 1992",b.weight: 55.20,group: a,1: 96,2: -100,3: -102,total: 96,56kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 3,ouertani marouan,tun,"born: apr 28, 1995",b.weight: 55.35,group: a,1: 85,2: 91,3: 96,total: 96,56kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 4,chigar abdeghani,mar,"born: feb 20, 1989",b.weight: 55.85,group: a,1: 87,2: 90,3: 93,total: 93,56kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 5,adonis monree,rsa,"born: dec 03, 1988",b.weight: 55.40,group: a,1: 90,2: - 95,3: - 95,total: 90,56kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 6,kyambadde faluku figo,uga,"born: aug 28, 1996",b.weight: 56.00,group: a,1: 55,2: 61,3: - 67,total: 61,56kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 7,ndungu james,ken,"born: dec 25, 1993",b.weight: 55.52,group: a,1: 55,2: 60,3: - 65,total: 60,56kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 1,lariki elhabib,alg,"born: nov 03, 1987",b.weight: 55.60,group: a,1: 117,2: 120,3: 125,total: 125,56kgmen,cleanjerk,AFRICAN CHAMPIONSHIPS
rank: 2,giwa taju,ngr,"born: dec 09, 1992",b.weight: 55.20,group: a,1: 120,2: -125,3: -125,total: 120,56kgmen,cleanjerk,AFRICAN CHAMPIONSHIPS
rank: 3,ouertani marouan,tun,"born: apr 28, 1995",b.weight: 55.35,group: a,1: 115,2: -119,3: 119,total: 119,56kgmen,cleanjerk,AFRICAN CHAMPIONSHIPS
rank: 4,adonis monree,rsa,"born: dec 03, 1988",b.weight: 55.40,group: a,1: -118,2: -118,3: 118,total: 118,56kgmen,cleanjerk,AFRICAN CHAMPIONSHIPS
rank: 5,chigar abdeghani,mar,"born: feb 20, 1989",b.weight: 55.85,group: a,1: 107,2: 115,3: -120,total: 115,56kgmen,cleanjerk,AFRICAN CHAMPIONSHIPS
rank: 6,kyambadde faluku figo,uga,"born: aug 28, 1996",b.weight: 56.00,group: a,1: 80,2: 85,3: 87,total: 87,56kgmen,cleanjerk,AFRICAN CHAMPIONSHIPS
rank: 7,ndungu james,ken,"born: dec 25, 1993",b.weight: 55.52,group: a,1: 70,2: 77,3: - 81,total: 77,56kgmen,cleanjerk,AFRICAN CHAMPIONSHIPS
rank: 1,lariki elhabib,alg,"born: nov 03, 1987",b.weight: 55.60,group: a,snatch: 100,ci&jerk: 125,total: 225,,56kgmen,total,AFRICAN CHAMPIONSHIPS
rank: 2,giwa taju,ngr,"born: dec 09, 1992",b.weight: 55.20,group: a,snatch: 96,ci&jerk: 120,total: 216,,56kgmen,total,AFRICAN CHAMPIONSHIPS
rank: 3,ouertani marouan,tun,"born: apr 28, 1995",b.weight: 55.35,group: a,snatch: 96,ci&jerk: 119,total: 215,,56kgmen,total,AFRICAN CHAMPIONSHIPS
rank: 4,adonis monree,rsa,"born: dec 03, 1988",b.weight: 55.40,group: a,snatch: 90,ci&jerk: 118,total: 208,,56kgmen,total,AFRICAN CHAMPIONSHIPS
rank: 5,chigar abdeghani,mar,"born: feb 20, 1989",b.weight: 55.85,group: a,snatch: 93,ci&jerk: 115,total: 208,,56kgmen,total,AFRICAN CHAMPIONSHIPS
rank: 6,kyambadde faluku figo,uga,"born: aug 28, 1996",b.weight: 56.00,group: a,snatch: 61,ci&jerk: 87,total: 148,,56kgmen,total,AFRICAN CHAMPIONSHIPS
rank: 7,ndungu james,ken,"born: dec 25, 1993",b.weight: 55.52,group: a,snatch: 60,ci&jerk: 77,total: 137,,56kgmen,total,AFRICAN CHAMPIONSHIPS
rank: 1,ben issa nafaa,tun,"born: jun 01, 1989",b.weight: 61.65,group: a,1: 109,2: -113,3: 113,total: 113,62kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 2,mballa nke cestin olivier,cmr,"born: mar 12, 1993",b.weight: 61.25,group: a,1: 105,2: 110,3: -112,total: 110,62kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 3,fadodun sola dele,ngr,"born: feb 25, 1992",b.weight: 61.25,group: a,1: 108,2: -110,3: 110,total: 110,62kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 4,moussa abdella khalifa mohamed,lba,"born: jan 12, 1992",b.weight: 61.90,group: a,1: 106,2: -111,3: -111,total: 106,62kgmen,snatch,AFRICAN CHAMPIONSHIPS
rank: 5,ssekyaaya charles,uga,"born: apr 11, 1994",b.weight: 61.55,group: a,1: 105,2: -110,3: -110,total: 105,62kgmen,snatch,AFRICAN CHAMPIONSHIPS
