rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.47,group: a,1: 97,2: -102,3: -102,total: 97,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 2,dau isikeli,fij,"born: may 03, 1995",b.weight: 54.90,group: b,1: - 75,2: 75,3: 80,total: 80,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 3,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.31,group: b,1: - 75,2: 75,3: 80,total: 80,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 4,shiro amon,mhl,"born: sep 25, 1993",b.weight: 54.90,group: b,1: 68,2: - 70,3: 72,total: 72,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 5,norman james sahutta,aus,"born: jun 29, 1996",b.weight: 55.60,group: b,1: 64,2: 68,3: 72,total: 72,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 6,mctaggart cameron david,nzl,"born: sep 30, 1997",b.weight: 49.47,group: a,1: 64,2: 67,3: 70,total: 70,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 7,pourtoossi martin,nzl,"born: may 24, 1995",b.weight: 54.45,group: b,1: 70,2: - 74,3: - 74,total: 70,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 8,wu joshua luke james vain kyang,aus,"born: nov 14, 1996",b.weight: 55.57,group: b,1: 63,2: 67,3: 70,total: 70,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 9,enoch peter,mhl,"born: sep 10, 1997",b.weight: 54.40,group: b,1: 65,2: 66,3: - 67,total: 66,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 10,morea ignatius,png,"born: aug 27, 1995",b.weight: 55.77,group: b,1: 65,2: - 70,3: - 70,total: 65,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 11,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 49.86,group: a,1: 45,2: - 55,3: 55,total: 55,56kgmen,snatch,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 1,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.47,group: a,1: 120,2: -125,3: -125,total: 120,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 2,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.31,group: b,1: 102,2: 107,3: 108,total: 108,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 3,dau isikeli,fij,"born: may 03, 1995",b.weight: 54.90,group: b,1: 95,2: 102,3: 107,total: 107,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 4,shiro amon,mhl,"born: sep 25, 1993",b.weight: 54.90,group: b,1: 95,2: -100,3: 100,total: 100,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 5,norman james sahutta,aus,"born: jun 29, 1996",b.weight: 55.60,group: b,1: 90,2: 95,3: 100,total: 100,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 6,pourtoossi martin,nzl,"born: may 24, 1995",b.weight: 54.45,group: b,1: 88,2: - 92,3: 92,total: 92,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 7,enoch peter,mhl,"born: sep 10, 1997",b.weight: 54.40,group: b,1: 89,2: - 90,3: 90,total: 90,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 8,wu joshua luke james vain kyang,aus,"born: nov 14, 1996",b.weight: 55.57,group: b,1: 85,2: - 90,3: 90,total: 90,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 9,morea ignatius,png,"born: aug 27, 1995",b.weight: 55.77,group: b,1: 80,2: - 85,3: 85,total: 85,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 10,mctaggart cameron david,nzl,"born: sep 30, 1997",b.weight: 49.47,group: a,1: 75,2: 78,3: 81,total: 81,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 11,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 49.86,group: a,1: 65,2: - 71,3: - 71,total: 65,56kgmen,cleanjerk,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 1,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.47,group: a,snatch: 97,ci&jerk: 120,total: 217,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 2,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.31,group: b,snatch: 80,ci&jerk: 108,total: 188,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 3,dau isikeli,fij,"born: may 03, 1995",b.weight: 54.90,group: b,snatch: 80,ci&jerk: 107,total: 187,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 4,shiro amon,mhl,"born: sep 25, 1993",b.weight: 54.90,group: b,snatch: 72,ci&jerk: 100,total: 172,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 5,norman james sahutta,aus,"born: jun 29, 1996",b.weight: 55.60,group: b,snatch: 72,ci&jerk: 100,total: 172,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 6,pourtoossi martin,nzl,"born: may 24, 1995",b.weight: 54.45,group: b,snatch: 70,ci&jerk: 92,total: 162,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 7,wu joshua luke james vain kyang,aus,"born: nov 14, 1996",b.weight: 55.57,group: b,snatch: 70,ci&jerk: 90,total: 160,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 8,enoch peter,mhl,"born: sep 10, 1997",b.weight: 54.40,group: b,snatch: 66,ci&jerk: 90,total: 156,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
rank: 9,mctaggart cameron david,nzl,"born: sep 30, 1997",b.weight: 49.47,group: a,snatch: 70,ci&jerk: 81,total: 151,,56kgmen,total,JUNIOR OCEANIA CHAMPIONSHIPS
