rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,chang kang-ming,tpe,"born: aug 23, 1992",b.weight: 55.33,group: a,1: 102,2: -105,3: 105,total: 105,56kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,tan chi chung,tpe,"born: feb 24, 1990",b.weight: 55.44,group: a,1: 100,2: 105,3: -107,total: 105,56kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.53,group: a,1: 95,2: 100,3: -105,total: 100,56kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,yoshida masahiro,jpn,"born: aug 22, 1990",b.weight: 55.69,group: a,1: 90,2: 93,3: 95,total: 95,56kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 5,taras stetsiak,ukr,"born: jul 16, 1992",b.weight: 54.81,group: a,1: 85,2: - 90,3: 90,total: 90,56kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: dsq,bour igor,mda,"born: dec 18, 1984",b.weight: 55.23,group: a,1: 110,2: 117,3: -123,total: ---,56kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 1,tan chi chung,tpe,"born: feb 24, 1990",b.weight: 55.44,group: a,1: 130,2: 133,3: 135,total: 135,56kgmen,cleanjerk,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.53,group: a,1: 131,2: -137,3: ---,total: 131,56kgmen,cleanjerk,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,yoshida masahiro,jpn,"born: aug 22, 1990",b.weight: 55.69,group: a,1: 121,2: 126,3: -132,total: 126,56kgmen,cleanjerk,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,chang kang-ming,tpe,"born: aug 23, 1992",b.weight: 55.33,group: a,1: 123,2: -128,3: -128,total: 123,56kgmen,cleanjerk,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 5,taras stetsiak,ukr,"born: jul 16, 1992",b.weight: 54.81,group: a,1: -100,2: 100,3: -110,total: 100,56kgmen,cleanjerk,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: dsq,bour igor,mda,"born: dec 18, 1984",b.weight: 55.23,group: a,1: 141,2: -150,3: -150,total: ---,56kgmen,cleanjerk,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 1,tan chi chung,tpe,"born: feb 24, 1990",b.weight: 55.44,group: a,snatch: 105,ci&jerk: 135,total: 240,,56kgmen,total,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.53,group: a,snatch: 100,ci&jerk: 131,total: 231,,56kgmen,total,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,chang kang-ming,tpe,"born: aug 23, 1992",b.weight: 55.33,group: a,snatch: 105,ci&jerk: 123,total: 228,,56kgmen,total,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,yoshida masahiro,jpn,"born: aug 22, 1990",b.weight: 55.69,group: a,snatch: 95,ci&jerk: 126,total: 221,,56kgmen,total,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 5,taras stetsiak,ukr,"born: jul 16, 1992",b.weight: 54.81,group: a,snatch: 90,ci&jerk: 100,total: 190,,56kgmen,total,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: dsq,bour igor,mda,"born: dec 18, 1984",b.weight: 55.23,group: a,snatch: ---,ci&jerk: ---,total: ---,,56kgmen,total,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 1,itokazu yoichi,jpn,"born: may 24, 1991",b.weight: 61.75,group: a,1: 122,2: 126,3: 128,total: 128,62kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,dudoglo ghenadie,mda,"born: jun 27, 1986",b.weight: 61.67,group: a,1: 120,2: 125,3: 127,total: 127,62kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,tamayose tomohiro,jpn,"born: jun 18, 1992",b.weight: 61.50,group: a,1: 112,2: 115,3: -118,total: 115,62kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,korganov dowran,tkm,"born: mar 30, 1991",b.weight: 61.24,group: a,1: 100,2: 105,3: 109,total: 109,62kgmen,snatch,3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS
