rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,beris escalona eduar jose,ven,"born: may 29, 1993",b.weight: 55.80,group: a,1: 91,2: -94,3: 94,total: 94,56kgmen,snatch,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 2,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 55.45,group: a,1: 88,2: 91,3: -93,total: 91,56kgmen,snatch,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 3,poveda brayan,bol,"born: oct 27, 1993",b.weight: 54.50,group: a,1: 70,2: -73,3: -76,total: 70,56kgmen,snatch,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 1,beris escalona eduar jose,ven,"born: may 29, 1993",b.weight: 55.80,group: a,1: 116,2: 120,3: -124,total: 120,56kgmen,cleanjerk,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 2,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 55.45,group: a,1: -119,2: 119,3: -124,total: 119,56kgmen,cleanjerk,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 3,poveda brayan,bol,"born: oct 27, 1993",b.weight: 54.50,group: a,1: -85,2: 85,3: -90,total: 85,56kgmen,cleanjerk,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 1,beris escalona eduar jose,ven,"born: may 29, 1993",b.weight: 55.80,group: a,snatch: 94,ci&jerk: 120,total: 214,,56kgmen,total,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 2,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 55.45,group: a,snatch: 91,ci&jerk: 119,total: 210,,56kgmen,total,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 3,poveda brayan,bol,"born: oct 27, 1993",b.weight: 54.50,group: a,snatch: 70,ci&jerk: 85,total: 155,,56kgmen,total,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 1,lopez pena roy sherlock,ven,"born: oct 21, 1992",b.weight: 61.80,group: a,1: 120,2: -125,3: -125,total: 120,62kgmen,snatch,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 2,bardalez tuisima luis david,per,"born: oct 03, 1995",b.weight: 60.55,group: a,1: 98,2: 103,3: -105,total: 103,62kgmen,snatch,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 3,preciado reyes miguel angel,per,"born: nov 03, 1994",b.weight: 61.40,group: a,1: 98,2: -103,3: 103,total: 103,62kgmen,snatch,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 1,lopez pena roy sherlock,ven,"born: oct 21, 1992",b.weight: 61.80,group: a,1: 145,2: -150,3: -153,total: 145,62kgmen,cleanjerk,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
rank: 2,bardalez tuisima luis david,per,"born: oct 03, 1995",b.weight: 60.55,group: a,1: 125,2: 130,3: -132,total: 130,62kgmen,cleanjerk,2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS
