rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,lu yuntao,chn,"born: feb 07, 1992",b.weight: 49.87,group: a,1: 91,2: 93,3: - 96,total: 93,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 2,thach kim tuan,vie,"born: jan 15, 1994",b.weight: 49.89,group: a,1: - 91,2: - 91,3: 91,total: 91,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 3,yun han min,prk,"born: aug 17, 1993",b.weight: 49.99,group: a,1: 82,2: 88,3: 91,total: 91,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 4,hristov valentin snezhev,bul,"born: mar 30, 1994",b.weight: 49.50,group: a,1: 83,2: 88,3: 90,total: 90,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 5,daengsanan phongsathon,tha,"born: mar 12, 1993",b.weight: 49.88,group: a,1: 85,2: - 90,3: - 91,total: 85,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 6,serna mendoza jhon jairo,col,"born: dec 03, 1994",b.weight: 49.51,group: a,1: 78,2: 82,3: 84,total: 84,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 7,kon-ngoen arun,tha,"born: jan 02, 1994",b.weight: 49.17,group: b,1: 75,2: 80,3: 83,total: 83,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 8,mohammed kadhum karrar m. j. m. k.,irq,"born: jul 25, 1995",b.weight: 49.53,group: b,1: 80,2: - 83,3: 83,total: 83,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 9,matsarov stefan vasilev,bul,"born: dec 13, 1993",b.weight: 49.58,group: a,1: 82,2: - 83,3: - 87,total: 82,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 10,militosyan vardan,arm,"born: mar 07, 1995",b.weight: 49.95,group: b,1: 75,2: - 81,3: 81,total: 81,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 11,yilmaz okan,tur,"born: feb 10, 1994",b.weight: 49.32,group: a,1: - 76,2: 76,3: - 80,total: 76,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 12,tetik sinan,tur,"born: sep 10, 1992",b.weight: 49.62,group: a,1: 76,2: - 80,3: - 82,total: 76,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 13,rasijah suparli bin,ina,"born: feb 20, 1992",b.weight: 47.62,group: a,1: - 75,2: 75,3: - 81,total: 75,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 14,rymkulov azamat,kaz,"born: jan 09, 1993",b.weight: 49.45,group: b,1: 75,2: - 80,3: - 80,total: 75,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 15,nunez navarro daniel,esp,"born: jul 01, 1993",b.weight: 49.51,group: b,1: 75,2: - 80,3: - 80,total: 75,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 16,phillips anrich morico,rsa,"born: oct 17, 1992",b.weight: 49.56,group: b,1: 75,2: - 80,3: - 80,total: 75,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 17,ashyrov dayanch,tkm,"born: mar 30, 1994",b.weight: 49.57,group: b,1: 70,2: - 75,3: 75,total: 75,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 18,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 45.76,group: b,1: 73,2: - 78,3: - 78,total: 73,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 19,tsai ming-chun,tpe,"born: oct 01, 1993",b.weight: 49.89,group: a,1: - 73,2: 73,3: - 76,total: 73,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 20,aligulizada elkhan,aze,"born: feb 04, 1995",b.weight: 49.47,group: b,1: - 72,2: 72,3: - 76,total: 72,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 21,matkerimov ihtiyor,tkm,"born: apr 18, 1994",b.weight: 48.47,group: b,1: 70,2: - 75,3: - 75,total: 70,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 22,putra dicky permana,ina,"born: oct 29, 1992",b.weight: 49.41,group: b,1: 70,2: - 77,3: - 77,total: 70,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 23,seyidov mahammad,aze,"born: mar 07, 1995",b.weight: 50.00,group: b,1: 70,2: - 74,3: - 74,total: 70,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 24,garcia ferrer ismael,esp,"born: jul 06, 1993",b.weight: 49.25,group: b,1: 67,2: - 70,3: - 70,total: 67,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 25,khamphavongsa onkeo,lao,"born: dec 22, 1993",b.weight: 44.38,group: c,1: - 45,2: - 45,3: 45,total: 45,50kgmen,snatch,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 1,lu yuntao,chn,"born: feb 07, 1992",b.weight: 49.87,group: a,1: 110,2: 115,3: 120,total: 120,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 2,thach kim tuan,vie,"born: jan 15, 1994",b.weight: 49.89,group: a,1: 112,2: 116,3: -121,total: 116,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 3,daengsanan phongsathon,tha,"born: mar 12, 1993",b.weight: 49.88,group: a,1: 110,2: 113,3: -116,total: 113,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 4,matsarov stefan vasilev,bul,"born: dec 13, 1993",b.weight: 49.58,group: a,1: -107,2: 107,3: -112,total: 107,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 5,yun han min,prk,"born: aug 17, 1993",b.weight: 49.99,group: a,1: 96,2: 102,3: 107,total: 107,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 6,rasijah suparli bin,ina,"born: feb 20, 1992",b.weight: 47.62,group: a,1: 100,2: 105,3: -109,total: 105,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 7,serna mendoza jhon jairo,col,"born: dec 03, 1994",b.weight: 49.51,group: a,1: 100,2: -104,3: 104,total: 104,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 8,hristov valentin snezhev,bul,"born: mar 30, 1994",b.weight: 49.50,group: a,1: 103,2: -108,3: -108,total: 103,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 9,tetik sinan,tur,"born: sep 10, 1992",b.weight: 49.62,group: a,1: 96,2: 101,3: 103,total: 103,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 10,mohammed kadhum karrar m. j. m. k.,irq,"born: jul 25, 1995",b.weight: 49.53,group: b,1: 96,2: -101,3: 101,total: 101,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 11,phillips anrich morico,rsa,"born: oct 17, 1992",b.weight: 49.56,group: b,1: 93,2: 98,3: 100,total: 100,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 12,tsai ming-chun,tpe,"born: oct 01, 1993",b.weight: 49.89,group: a,1: 95,2: 98,3: -100,total: 98,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 13,yilmaz okan,tur,"born: feb 10, 1994",b.weight: 49.32,group: a,1: 95,2: - 97,3: 97,total: 97,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 14,aligulizada elkhan,aze,"born: feb 04, 1995",b.weight: 49.47,group: b,1: 87,2: 92,3: 97,total: 97,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 15,kon-ngoen arun,tha,"born: jan 02, 1994",b.weight: 49.17,group: b,1: - 95,2: 95,3: -101,total: 95,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 16,rymkulov azamat,kaz,"born: jan 09, 1993",b.weight: 49.45,group: b,1: 90,2: - 95,3: 95,total: 95,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 17,militosyan vardan,arm,"born: mar 07, 1995",b.weight: 49.95,group: b,1: 95,2: - 99,3: - 99,total: 95,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 18,putra dicky permana,ina,"born: oct 29, 1992",b.weight: 49.41,group: b,1: 92,2: - 97,3: - 97,total: 92,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 19,nunez navarro daniel,esp,"born: jul 01, 1993",b.weight: 49.51,group: b,1: 85,2: 90,3: - 93,total: 90,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 20,matkerimov ihtiyor,tkm,"born: apr 18, 1994",b.weight: 48.47,group: b,1: - 89,2: - 89,3: 89,total: 89,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 21,ashyrov dayanch,tkm,"born: mar 30, 1994",b.weight: 49.57,group: b,1: 88,2: - 92,3: - 92,total: 88,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
rank: 22,seyidov mahammad,aze,"born: mar 07, 1995",b.weight: 50.00,group: b,1: 87,2: - 92,3: - 93,total: 87,50kgmen,cleanjerk,2009 IWF YOUTH WORLD CHAMPIONSHIPS
