rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,om yun chol,prk,"born: nov 18, 1991",b.weight: 55.70,group: a,1: 122,2: -126,3: 126,total: 126,56kgmen,snatch,ASIAN CHAMPIONSHIPS
rank: 2,thach kim tuan,vie,"born: jan 15, 1994",b.weight: 55.70,group: a,1: -125,2: 125,3: -127,total: 125,56kgmen,snatch,ASIAN CHAMPIONSHIPS
rank: 3,yang chin-yi,tpe,"born: may 15, 1981",b.weight: 55.75,group: a,1: 115,2: 121,3: -123,total: 121,56kgmen,snatch,ASIAN CHAMPIONSHIPS
rank: 4,tran le quoc toan,vie,"born: apr 05, 1989",b.weight: 55.70,group: a,1: -120,2: -120,3: 120,total: 120,56kgmen,snatch,ASIAN CHAMPIONSHIPS
rank: 5,setiadi jadi,ina,"born: feb 02, 1985",b.weight: 55.00,group: a,1: 111,2: 115,3: 118,total: 118,56kgmen,snatch,ASIAN CHAMPIONSHIPS
rank: 6,chontey arli,kaz,"born: jul 01, 1992",b.weight: 55.65,group: a,1: -110,2: 110,3: 115,total: 115,56kgmen,snatch,ASIAN CHAMPIONSHIPS
rank: 7,dey sukhen,ind,"born: mar 28, 1989",b.weight: 55.50,group: a,1: 102,2: 106,3: -110,total: 106,56kgmen,snatch,ASIAN CHAMPIONSHIPS
rank: 1,om yun chol,prk,"born: nov 18, 1991",b.weight: 55.70,group: a,1: 160,2: -169,3: -169,total: 160,56kgmen,cleanjerk,ASIAN CHAMPIONSHIPS
rank: 2,thach kim tuan,vie,"born: jan 15, 1994",b.weight: 55.70,group: a,1: 153,2: 156,3: -161,total: 156,56kgmen,cleanjerk,ASIAN CHAMPIONSHIPS
rank: 3,tran le quoc toan,vie,"born: apr 05, 1989",b.weight: 55.70,group: a,1: 150,2: 155,3: -157,total: 155,56kgmen,cleanjerk,ASIAN CHAMPIONSHIPS
rank: 4,yang chin-yi,tpe,"born: may 15, 1981",b.weight: 55.75,group: a,1: 142,2: -151,3: -151,total: 142,56kgmen,cleanjerk,ASIAN CHAMPIONSHIPS
rank: 5,setiadi jadi,ina,"born: feb 02, 1985",b.weight: 55.00,group: a,1: -135,2: 135,3: -145,total: 135,56kgmen,cleanjerk,ASIAN CHAMPIONSHIPS
rank: 6,dey sukhen,ind,"born: mar 28, 1989",b.weight: 55.50,group: a,1: 130,2: -135,3: 135,total: 135,56kgmen,cleanjerk,ASIAN CHAMPIONSHIPS
