rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: ---,ainouazane abdelkader,alg,"born: nov 03, 1987",b.weight: 56.00,group: a,1: 90,2: -93,3: 94,total: 94,56kgmen,snatch,XVII MEDITERRANEAN GAMES
rank: ---,di giusto michael,ita,"born: feb 16, 1995",b.weight: 55.82,group: a,1: 102,2: -106,3: -108,total: 102,56kgmen,snatch,XVII MEDITERRANEAN GAMES
rank: ---,ramo moustafa,syr,"born: jul 10, 1985",b.weight: 55.95,group: a,1: 101,2: -103,3: 103,total: 103,56kgmen,snatch,XVII MEDITERRANEAN GAMES
rank: ---,otero martinez michael steven,esp,"born: jul 29, 1990",b.weight: 55.80,group: a,1: 100,2: 105,3: 107,total: 107,56kgmen,snatch,XVII MEDITERRANEAN GAMES
rank: ---,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 55.50,group: a,1: 105,2: -108,3: 108,total: 108,56kgmen,snatch,XVII MEDITERRANEAN GAMES
rank: ---,el maoui khalil,tun,"born: sep 12, 1988",b.weight: 55.40,group: a,1: 115,2: -122,3: -122,total: 115,56kgmen,snatch,XVII MEDITERRANEAN GAMES
rank: ---,ainouazane abdelkader,alg,"born: nov 03, 1987",b.weight: 56.00,group: a,1: 110,2: 115,3: -118,total: 115,56kgmen,cleanjerk,XVII MEDITERRANEAN GAMES
rank: ---,di giusto michael,ita,"born: feb 16, 1995",b.weight: 55.82,group: a,1: 132,2: -136,3: -136,total: 132,56kgmen,cleanjerk,XVII MEDITERRANEAN GAMES
rank: ---,ramo moustafa,syr,"born: jul 10, 1985",b.weight: 55.95,group: a,1: -133,2: -133,3: -133,total: ---,56kgmen,cleanjerk,XVII MEDITERRANEAN GAMES
rank: ---,otero martinez michael steven,esp,"born: jul 29, 1990",b.weight: 55.80,group: a,1: -133,2: -133,3: -133,total: ---,56kgmen,cleanjerk,XVII MEDITERRANEAN GAMES
rank: ---,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 55.50,group: a,1: 135,2: 139,3: -142,total: 139,56kgmen,cleanjerk,XVII MEDITERRANEAN GAMES
rank: ---,el maoui khalil,tun,"born: sep 12, 1988",b.weight: 55.40,group: a,1: 138,2: -141,3: 142,total: 142,56kgmen,cleanjerk,XVII MEDITERRANEAN GAMES
