rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: ---,baru morea,png,"born: apr 15, 1990",b.weight: 55.86,group: a,1: 0.0,2: 0.0,3: 0.0,total: 98,56kgmen,snatch,XIV PACIFIC MINI GAMES
rank: ---,taaloo kalemonio,wlf,"born: jan 01, 1998",b.weight: 55.58,group: a,1: 0.0,2: 0.0,3: 0.0,total: 57,56kgmen,snatch,XIV PACIFIC MINI GAMES
rank: ---,ramohaka brown chester,sol,"born: feb 02, 1988",b.weight: 55.53,group: a,1: 0.0,2: 0.0,3: 0.0,total: 90,56kgmen,snatch,XIV PACIFIC MINI GAMES
rank: ---,taman marcellus f.,fsm,"born: sep 26, 1999",b.weight: 54.71,group: a,1: 0.0,2: 0.0,3: 0.0,total: 35,56kgmen,snatch,XIV PACIFIC MINI GAMES
rank: ---,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.95,group: a,1: 0.0,2: 0.0,3: 0.0,total: 85,56kgmen,snatch,XIV PACIFIC MINI GAMES
rank: ---,baru morea,png,"born: apr 15, 1990",b.weight: 55.86,group: a,1: 0.0,2: 0.0,3: 0.0,total: 126,56kgmen,cleanjerk,XIV PACIFIC MINI GAMES
rank: ---,taaloo kalemonio,wlf,"born: jan 01, 1998",b.weight: 55.58,group: a,1: 0.0,2: 0.0,3: 0.0,total: 75,56kgmen,cleanjerk,XIV PACIFIC MINI GAMES
rank: ---,ramohaka brown chester,sol,"born: feb 02, 1988",b.weight: 55.53,group: a,1: 0.0,2: 0.0,3: 0.0,total: ---,56kgmen,cleanjerk,XIV PACIFIC MINI GAMES
rank: ---,taman marcellus f.,fsm,"born: sep 26, 1999",b.weight: 54.71,group: a,1: 0.0,2: 0.0,3: 0.0,total: 45,56kgmen,cleanjerk,XIV PACIFIC MINI GAMES
rank: ---,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.95,group: a,1: 0.0,2: 0.0,3: 0.0,total: 110,56kgmen,cleanjerk,XIV PACIFIC MINI GAMES
rank: 1,baru morea,png,"born: apr 15, 1990",b.weight: 55.86,group: a,snatch: 98,ci&jerk: 126,total: 224,,56kgmen,total,XIV PACIFIC MINI GAMES
rank: 2,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.95,group: a,snatch: 85,ci&jerk: 110,total: 195,,56kgmen,total,XIV PACIFIC MINI GAMES
rank: 3,taaloo kalemonio,wlf,"born: jan 01, 1998",b.weight: 55.58,group: a,snatch: 57,ci&jerk: 75,total: 132,,56kgmen,total,XIV PACIFIC MINI GAMES
rank: 4,taman marcellus f.,fsm,"born: sep 26, 1999",b.weight: 54.71,group: a,snatch: 35,ci&jerk: 45,total: 80,,56kgmen,total,XIV PACIFIC MINI GAMES
rank: ---,ramohaka brown chester,sol,"born: feb 02, 1988",b.weight: 55.53,group: a,snatch: 90,ci&jerk: ---,total: ---,,56kgmen,total,XIV PACIFIC MINI GAMES
rank: ---,minginfel manuel,fsm,"born: sep 28, 1978",b.weight: 61.60,group: a,1: 0.0,2: 0.0,3: 0.0,total: 115,62kgmen,snatch,XIV PACIFIC MINI GAMES
