rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 55.68,group: a,1: 117,2: 120,3: 122,total: 122,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 2,algul ismet,tur,"born: sep 22, 1992",b.weight: 55.00,group: a,1: 111,2: 115,3: -117,total: 115,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 3,goegebuer tom richard,bel,"born: mar 27, 1975",b.weight: 55.48,group: a,1: -110,2: 112,3: 115,total: 115,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 4,brachi garcia josue,esp,"born: sep 08, 1992",b.weight: 55.62,group: b,1: 113,2: 115,3: -117,total: 115,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 5,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 55.68,group: a,1: 110,2: 114,3: -116,total: 114,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 6,vizitiu daniel-florin,rou,"born: jan 30, 1996",b.weight: 55.66,group: a,1: -110,2: -111,3: 112,total: 112,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 7,kozlowski dominik mateusz,pol,"born: jun 14, 1993",b.weight: 55.94,group: b,1: 105,2: 110,3: 112,total: 112,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 8,chenkov todor atanasov,bul,"born: dec 13, 1993",b.weight: 55.62,group: a,1: 108,2: 111,3: -113,total: 111,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 9,nazif ferdi,bul,"born: sep 22, 1989",b.weight: 55.72,group: a,1: 111,2: -116,3: -116,total: 111,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 10,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.92,group: a,1: -103,2: 105,3: 109,total: 109,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 11,sirghi oleg,mda,"born: jul 09, 1987",b.weight: 55.96,group: a,1: 109,2: -114,3: -114,total: 109,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 12,govdeli furkan,tur,"born: jul 28, 1994",b.weight: 55.80,group: b,1: 93,2: 98,3: 101,total: 101,56kgmen,snatch,EUROPEAN CHAMPIONSHIPS
rank: 1,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.92,group: a,1: 140,2: 145,3: 147,total: 147,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 2,sirghi oleg,mda,"born: jul 09, 1987",b.weight: 55.96,group: a,1: 141,2: -146,3: 146,total: 146,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 3,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 55.68,group: a,1: 140,2: -143,3: 143,total: 143,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 4,brachi garcia josue,esp,"born: sep 08, 1992",b.weight: 55.62,group: b,1: 135,2: 138,3: -140,total: 138,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 5,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 55.68,group: a,1: -137,2: 137,3: -140,total: 137,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 6,nazif ferdi,bul,"born: sep 22, 1989",b.weight: 55.72,group: a,1: 133,2: 137,3: -140,total: 137,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 7,chenkov todor atanasov,bul,"born: dec 13, 1993",b.weight: 55.62,group: a,1: 135,2: -140,3: -140,total: 135,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 8,vizitiu daniel-florin,rou,"born: jan 30, 1996",b.weight: 55.66,group: a,1: 131,2: 135,3: -140,total: 135,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 9,algul ismet,tur,"born: sep 22, 1992",b.weight: 55.00,group: a,1: 133,2: -138,3: -138,total: 133,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 10,goegebuer tom richard,bel,"born: mar 27, 1975",b.weight: 55.48,group: a,1: 132,2: -138,3: -138,total: 132,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 11,govdeli furkan,tur,"born: jul 28, 1994",b.weight: 55.80,group: b,1: -123,2: -123,3: 123,total: 123,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 12,kozlowski dominik mateusz,pol,"born: jun 14, 1993",b.weight: 55.94,group: b,1: 120,2: -125,3: -125,total: 120,56kgmen,cleanjerk,EUROPEAN CHAMPIONSHIPS
rank: 1,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 55.68,group: a,snatch: 122,ci&jerk: 137,total: 259,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 2,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 55.68,group: a,snatch: 114,ci&jerk: 143,total: 257,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 3,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.92,group: a,snatch: 109,ci&jerk: 147,total: 256,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 4,sirghi oleg,mda,"born: jul 09, 1987",b.weight: 55.96,group: a,snatch: 109,ci&jerk: 146,total: 255,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 5,brachi garcia josue,esp,"born: sep 08, 1992",b.weight: 55.62,group: b,snatch: 115,ci&jerk: 138,total: 253,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 6,algul ismet,tur,"born: sep 22, 1992",b.weight: 55.00,group: a,snatch: 115,ci&jerk: 133,total: 248,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 7,nazif ferdi,bul,"born: sep 22, 1989",b.weight: 55.72,group: a,snatch: 111,ci&jerk: 137,total: 248,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 8,goegebuer tom richard,bel,"born: mar 27, 1975",b.weight: 55.48,group: a,snatch: 115,ci&jerk: 132,total: 247,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 9,vizitiu daniel-florin,rou,"born: jan 30, 1996",b.weight: 55.66,group: a,snatch: 112,ci&jerk: 135,total: 247,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 10,chenkov todor atanasov,bul,"born: dec 13, 1993",b.weight: 55.62,group: a,snatch: 111,ci&jerk: 135,total: 246,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 11,kozlowski dominik mateusz,pol,"born: jun 14, 1993",b.weight: 55.94,group: b,snatch: 112,ci&jerk: 120,total: 232,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 12,govdeli furkan,tur,"born: jul 28, 1994",b.weight: 55.80,group: b,snatch: 101,ci&jerk: 123,total: 224,,56kgmen,total,EUROPEAN CHAMPIONSHIPS
rank: 1,filev ivaylo todorov,bul,"born: may 01, 1987",b.weight: 61.86,group: a,1: 133,2: 136,3: -137,total: 136,62kgmen,snatch,EUROPEAN CHAMPIONSHIPS
