rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,rabhi smail,alg,"born: mar 06, 1999",b.weight: 49.30,group: a,1: 60,2: - 65,3: 68,total: 68,50kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 2,chaanbi wael,tun,"born: nov 03, 1998",b.weight: 49.20,group: a,1: 58,2: 64,3: - 67,total: 64,50kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 3,moum abderrahim,mar,"born: sep 18, 2000",b.weight: 48.80,group: a,1: 51,2: 55,3: - 60,total: 55,50kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 4,christians enrique nicolai,rsa,"born: jan 29, 1999",b.weight: 43.50,group: a,1: 50,2: - 54,3: 54,total: 54,50kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 5,boukat khalil,mar,"born: oct 03, 1999",b.weight: 49.60,group: a,1: 40,2: 50,3: - 54,total: 50,50kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 1,chaanbi wael,tun,"born: nov 03, 1998",b.weight: 49.20,group: a,1: 75,2: - 81,3: 81,total: 81,50kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 2,rabhi smail,alg,"born: mar 06, 1999",b.weight: 49.30,group: a,1: 72,2: 77,3: - 82,total: 77,50kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 3,moum abderrahim,mar,"born: sep 18, 2000",b.weight: 48.80,group: a,1: 67,2: 72,3: 75,total: 75,50kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 4,christians enrique nicolai,rsa,"born: jan 29, 1999",b.weight: 43.50,group: a,1: 70,2: 73,3: - 75,total: 73,50kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 5,boukat khalil,mar,"born: oct 03, 1999",b.weight: 49.60,group: a,1: 45,2: 55,3: - 63,total: 55,50kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 1,chaanbi wael,tun,"born: nov 03, 1998",b.weight: 49.20,group: a,snatch: 64,ci&jerk: 81,total: 145,,50kgmen,total,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 2,rabhi smail,alg,"born: mar 06, 1999",b.weight: 49.30,group: a,snatch: 68,ci&jerk: 77,total: 145,,50kgmen,total,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 3,moum abderrahim,mar,"born: sep 18, 2000",b.weight: 48.80,group: a,snatch: 55,ci&jerk: 75,total: 130,,50kgmen,total,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 4,christians enrique nicolai,rsa,"born: jan 29, 1999",b.weight: 43.50,group: a,snatch: 54,ci&jerk: 73,total: 127,,50kgmen,total,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 5,boukat khalil,mar,"born: oct 03, 1999",b.weight: 49.60,group: a,snatch: 50,ci&jerk: 55,total: 105,,50kgmen,total,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 1,kraydi faouzi,tun,"born: apr 06, 1997",b.weight: 55.60,group: a,1: 90,2: 97,3: 102,total: 102,56kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 2,fardjallah samir,alg,"born: may 18, 1998",b.weight: 55.20,group: a,1: 75,2: 85,3: - 90,total: 85,56kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 3,touairi faris,alg,"born: jun 11, 1999",b.weight: 54.40,group: a,1: 72,2: 80,3: - 85,total: 80,56kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 4,harfi issam,mar,"born: dec 02, 1997",b.weight: 53.80,group: a,1: 72,2: 78,3: - 80,total: 78,56kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 5,yacoub amine,tun,"born: oct 06, 1998",b.weight: 55.00,group: a,1: 71,2: 77,3: - 80,total: 77,56kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 6,al-ayeb yaser ali,lba,"born: mar 13, 1998",b.weight: 52.50,group: a,1: 55,2: - 63,3: 65,total: 65,56kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 7,achir reda,mar,"born: jun 25, 1998",b.weight: 54.40,group: a,1: 50,2: - 60,3: 61,total: 61,56kgmen,snatch,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 1,kraydi faouzi,tun,"born: apr 06, 1997",b.weight: 55.60,group: a,1: 111,2: 120,3: -124,total: 120,56kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 2,fardjallah samir,alg,"born: may 18, 1998",b.weight: 55.20,group: a,1: 95,2: 102,3: -110,total: 102,56kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 3,touairi faris,alg,"born: jun 11, 1999",b.weight: 54.40,group: a,1: 90,2: 100,3: -108,total: 100,56kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
rank: 4,yacoub amine,tun,"born: oct 06, 1998",b.weight: 55.00,group: a,1: 90,2: 95,3: - 99,total: 95,56kgmen,cleanjerk,AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS
