rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,alabdulal abbas salman a,ksa,"born: jun 09, 1991",b.weight: 55.70,group: a,1: 87,2: 93,3: 99,total: 99,56kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 2,atbal mohamed saaden,lba,"born: mar 23, 1989",b.weight: 55.50,group: a,1: 70,2: 80,3: -88,total: 80,56kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 3,luyombya silvester,uga,"born: feb 24, 1993",b.weight: 54.70,group: a,1: 60,2: 65,3: -71,total: 65,56kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 1,alabdulal abbas salman a,ksa,"born: jun 09, 1991",b.weight: 55.70,group: a,1: 110,2: 114,3: 122,total: 122,56kgmen,cleanjerk,ISLAMIC SOLIDARITY GAMES
rank: 2,atbal mohamed saaden,lba,"born: mar 23, 1989",b.weight: 55.50,group: a,1: 90,2: 100,3: 113,total: 113,56kgmen,cleanjerk,ISLAMIC SOLIDARITY GAMES
rank: 3,luyombya silvester,uga,"born: feb 24, 1993",b.weight: 54.70,group: a,1: 80,2: 86,3: 91,total: 91,56kgmen,cleanjerk,ISLAMIC SOLIDARITY GAMES
rank: 1,alabdulal abbas salman a,ksa,"born: jun 09, 1991",b.weight: 55.70,group: a,snatch: 99,ci&jerk: 122,total: 221,,56kgmen,total,ISLAMIC SOLIDARITY GAMES
rank: 2,atbal mohamed saaden,lba,"born: mar 23, 1989",b.weight: 55.50,group: a,snatch: 80,ci&jerk: 113,total: 193,,56kgmen,total,ISLAMIC SOLIDARITY GAMES
rank: 3,luyombya silvester,uga,"born: feb 24, 1993",b.weight: 54.70,group: a,snatch: 65,ci&jerk: 91,total: 156,,56kgmen,total,ISLAMIC SOLIDARITY GAMES
rank: 1,ssekyaaya charles,uga,"born: apr 11, 1994",b.weight: 61.80,group: a,1: 107,2: 112,3: 116,total: 116,62kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 2,alabdullatif abdullatif khdher a,ksa,"born: may 10, 1982",b.weight: 61.50,group: a,1: 107,2: 111,3: 115,total: 115,62kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 3,moussa abdella khalifa mohamed,lba,"born: jan 12, 1992",b.weight: 61.30,group: a,1: -110,2: 110,3: -117,total: 110,62kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 4,malakci emre,tur,"born: oct 19, 1993",b.weight: 61.20,group: a,1: 100,2: 105,3: -109,total: 105,62kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 5,kasumba semei,uga,"born: oct 02, 1996",b.weight: 62.00,group: a,1: 80,2: 85,3: 90,total: 90,62kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 6,abdirizak abshir abdi,som,"born: mar 25, 1992",b.weight: 59.90,group: a,1: 35,2: 36,3: 37,total: 37,62kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 7,ahmed ali egal,som,"born: jan 01, 1991",b.weight: 61.40,group: a,1: 30,2: 32,3: 34,total: 34,62kgmen,snatch,ISLAMIC SOLIDARITY GAMES
rank: 1,alabdullatif abdullatif khdher a,ksa,"born: may 10, 1982",b.weight: 61.50,group: a,1: 140,2: 149,3: 154,total: 154,62kgmen,cleanjerk,ISLAMIC SOLIDARITY GAMES
rank: 2,ssekyaaya charles,uga,"born: apr 11, 1994",b.weight: 61.80,group: a,1: 142,2: -148,3: 148,total: 148,62kgmen,cleanjerk,ISLAMIC SOLIDARITY GAMES
