rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 3,christians enrique nicolai,rsa,"born: jan 29, 1999",b.weight: 45.60,group: a,1: 50,2: 55,3: -60,total: 55,50kgmen,snatch,2014 AFRICAN YOUTH GAMES
rank: 3,christians enrique nicolai,rsa,"born: jan 29, 1999",b.weight: 45.60,group: a,1: 55,2: -77,3: 77,total: 77,50kgmen,cleanjerk,2014 AFRICAN YOUTH GAMES
rank: 3,christians enrique nicolai,rsa,"born: jan 29, 1999",b.weight: 45.60,group: a,snatch: 55,ci&jerk: 77,total: 132,,50kgmen,total,2014 AFRICAN YOUTH GAMES
rank: 1,appah emmanuel inemo,ngr,"born: nov 05, 1999",b.weight: 55.50,group: a,1: 80,2: -85,3: 85,total: 85,56kgmen,snatch,2014 AFRICAN YOUTH GAMES
rank: 2,harfi issam,mar,"born: dec 02, 1997",b.weight: 54.90,group: a,1: 72,2: -80,3: 80,total: 80,56kgmen,snatch,2014 AFRICAN YOUTH GAMES
rank: 4,laone molete,bot,"born: jan 30, 1997",b.weight: 54.40,group: a,1: -43,2: 43,3: 45,total: 45,56kgmen,snatch,2014 AFRICAN YOUTH GAMES
rank: 1,appah emmanuel inemo,ngr,"born: nov 05, 1999",b.weight: 55.50,group: a,1: -85,2: 107,3: -110,total: 107,56kgmen,cleanjerk,2014 AFRICAN YOUTH GAMES
rank: 2,harfi issam,mar,"born: dec 02, 1997",b.weight: 54.90,group: a,1: -80,2: 97,3: -100,total: 97,56kgmen,cleanjerk,2014 AFRICAN YOUTH GAMES
rank: 4,laone molete,bot,"born: jan 30, 1997",b.weight: 54.40,group: a,1: 43,2: 57,3: 61,total: 61,56kgmen,cleanjerk,2014 AFRICAN YOUTH GAMES
rank: 1,appah emmanuel inemo,ngr,"born: nov 05, 1999",b.weight: 55.50,group: a,snatch: 85,ci&jerk: 107,total: 192,,56kgmen,total,2014 AFRICAN YOUTH GAMES
