rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.70,group: a,1: 84,2: - 88,3: - 88,total: 84,56kgmen,snatch,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 2,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 55.45,group: a,1: 65,2: 70,3: 76,total: 76,56kgmen,snatch,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 3,lohia igo,png,"born: sep 16, 1999",b.weight: 55.40,group: a,1: 60,2: 65,3: 70,total: 70,56kgmen,snatch,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 4,simmons gabriel sakiusa,fij,"born: feb 24, 1999",b.weight: 55.70,group: a,1: 60,2: 67,3: - 75,total: 67,56kgmen,snatch,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 5,dekarube rayvon,nru,"born: jul 18, 1998",b.weight: 55.65,group: a,1: 57,2: - 62,3: - 62,total: 57,56kgmen,snatch,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 1,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.70,group: a,1: -110,2: 110,3: -120,total: 110,56kgmen,cleanjerk,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 2,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 55.45,group: a,1: 85,2: 90,3: 96,total: 96,56kgmen,cleanjerk,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 3,lohia igo,png,"born: sep 16, 1999",b.weight: 55.40,group: a,1: 85,2: 90,3: - 95,total: 90,56kgmen,cleanjerk,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 4,simmons gabriel sakiusa,fij,"born: feb 24, 1999",b.weight: 55.70,group: a,1: 75,2: 80,3: 84,total: 84,56kgmen,cleanjerk,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 5,dekarube rayvon,nru,"born: jul 18, 1998",b.weight: 55.65,group: a,1: 70,2: 75,3: 80,total: 80,56kgmen,cleanjerk,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 1,oala fred karoho,png,"born: sep 12, 1996",b.weight: 55.70,group: a,snatch: 84,ci&jerk: 110,total: 194,,56kgmen,total,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 2,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 55.45,group: a,snatch: 76,ci&jerk: 96,total: 172,,56kgmen,total,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 3,lohia igo,png,"born: sep 16, 1999",b.weight: 55.40,group: a,snatch: 70,ci&jerk: 90,total: 160,,56kgmen,total,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 4,simmons gabriel sakiusa,fij,"born: feb 24, 1999",b.weight: 55.70,group: a,snatch: 67,ci&jerk: 84,total: 151,,56kgmen,total,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 5,dekarube rayvon,nru,"born: jul 18, 1998",b.weight: 55.65,group: a,snatch: 57,ci&jerk: 80,total: 137,,56kgmen,total,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 1,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 61.20,group: a,1: 105,2: -110,3: -110,total: 105,62kgmen,snatch,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
rank: 2,qaqa poama,fij,"born: mar 12, 1997",b.weight: 60.25,group: a,1: 85,2: - 90,3: - 90,total: 85,62kgmen,snatch,2014 SOUTH PACIFIC JUNIOR CHAMPIONSHIPS
