rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,zheng liangrun,chn,"born: dec 03, 1997",b.weight: 53.95,group: a,1: 105,2: -110,3: 110,total: 110,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 2,khassarov timur,kaz,"born: jul 13, 1997",b.weight: 55.65,group: a,1: -105,2: 105,3: 108,total: 108,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 3,lai yung-en,tpe,"born: feb 03, 1997",b.weight: 55.75,group: a,1: 95,2: 98,3: 102,total: 102,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 4,deru jimjang,ind,"born: oct 01, 1998",b.weight: 55.30,group: a,1: 98,2: 101,3: -104,total: 101,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 5,mangalaraj manojkumar,ind,"born: aug 22, 1995",b.weight: 55.15,group: a,1: 95,2: 99,3: -101,total: 99,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 6,aslanov ruzimurod,uzb,"born: feb 01, 1995",b.weight: 54.75,group: a,1: 93,2: 96,3: -101,total: 96,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 7,al-badri karrar hameed zayed,irq,"born: sep 03, 1998",b.weight: 55.55,group: a,1: 90,2: -96,3: 96,total: 96,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 8,chinen hayato,jpn,"born: sep 03, 1996",b.weight: 55.55,group: a,1: 93,2: -96,3: -96,total: 93,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 9,butt fahad hussain,pak,"born: jan 01, 1999",b.weight: 49.90,group: a,1: -84,2: 84,3: 86,total: 86,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 10,al-lami qasim hasan abdulhussein,irq,"born: feb 24, 2000",b.weight: 49.95,group: a,1: 60,2: 68,3: 72,total: 72,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 11,al-habsi ahmed salim said,oma,"born: oct 20, 1999",b.weight: 48.30,group: a,1: 63,2: 68,3: 71,total: 71,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 12,budebs ahmad jassim abdulla ali,uae,"born: aug 31, 1997",b.weight: 55.50,group: a,1: 67,2: 71,3: -75,total: 71,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 13,almuri rashid,qat,"born: jan 01, 1998",b.weight: 50.00,group: a,1: 30,2: -36,3: 38,total: 38,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 14,al-marri qassim ali m a,qat,"born: jun 25, 1998",b.weight: 51.35,group: a,1: 30,2: 36,3: -40,total: 36,56kgmen,snatch,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 1,deru jimjang,ind,"born: oct 01, 1998",b.weight: 55.30,group: a,1: 130,2: 136,3: 141,total: 141,56kgmen,cleanjerk,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 2,zheng liangrun,chn,"born: dec 03, 1997",b.weight: 53.95,group: a,1: 135,2: -140,3: -140,total: 135,56kgmen,cleanjerk,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 3,mangalaraj manojkumar,ind,"born: aug 22, 1995",b.weight: 55.15,group: a,1: -125,2: 125,3: -129,total: 125,56kgmen,cleanjerk,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 4,chinen hayato,jpn,"born: sep 03, 1996",b.weight: 55.55,group: a,1: 120,2: 125,3: -126,total: 125,56kgmen,cleanjerk,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 5,khassarov timur,kaz,"born: jul 13, 1997",b.weight: 55.65,group: a,1: 120,2: -125,3: -125,total: 120,56kgmen,cleanjerk,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 6,lai yung-en,tpe,"born: feb 03, 1997",b.weight: 55.75,group: a,1: 118,2: -124,3: -124,total: 118,56kgmen,cleanjerk,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 7,aslanov ruzimurod,uzb,"born: feb 01, 1995",b.weight: 54.75,group: a,1: 112,2: 117,3: -120,total: 117,56kgmen,cleanjerk,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
rank: 8,al-badri karrar hameed zayed,irq,"born: sep 03, 1998",b.weight: 55.55,group: a,1: -117,2: 117,3: -122,total: 117,56kgmen,cleanjerk,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS
