rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 55.85,group: a,1: 111,2: -113,3: 113,total: 113,56kgmen,snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 2,musokhranov oleg,rus,"born: aug 23, 1995",b.weight: 55.85,group: a,1: 107,2: 110,3: -112,total: 110,56kgmen,snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 3,minasyan marzpet,arm,"born: mar 11, 1997",b.weight: 55.75,group: a,1: 98,2: 102,3: 107,total: 107,56kgmen,snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 4,davayan davit,arm,"born: oct 16, 1997",b.weight: 55.75,group: a,1: 93,2: 97,3: 100,total: 100,56kgmen,snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 5,arcara fabio,ita,"born: jan 28, 1997",b.weight: 55.25,group: a,1: -92,2: -92,3: 92,total: 92,56kgmen,snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 6,voronovskyi dmytro,ukr,"born: jan 03, 1997",b.weight: 55.25,group: a,1: -91,2: 91,3: -95,total: 91,56kgmen,snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 7,koleda elmars,lat,"born: jun 03, 1997",b.weight: 55.40,group: a,1: -87,2: -87,3: 87,total: 87,56kgmen,snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 1,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 55.85,group: a,1: 136,2: ---,3: ---,total: 136,56kgmen,cleanjerk,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 2,musokhranov oleg,rus,"born: aug 23, 1995",b.weight: 55.85,group: a,1: 130,2: 135,3: -139,total: 135,56kgmen,cleanjerk,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 3,davayan davit,arm,"born: oct 16, 1997",b.weight: 55.75,group: a,1: 120,2: -128,3: -128,total: 120,56kgmen,cleanjerk,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 4,minasyan marzpet,arm,"born: mar 11, 1997",b.weight: 55.75,group: a,1: 120,2: -125,3: -125,total: 120,56kgmen,cleanjerk,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 5,voronovskyi dmytro,ukr,"born: jan 03, 1997",b.weight: 55.25,group: a,1: 113,2: 117,3: -121,total: 117,56kgmen,cleanjerk,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 6,arcara fabio,ita,"born: jan 28, 1997",b.weight: 55.25,group: a,1: 107,2: 113,3: -117,total: 113,56kgmen,cleanjerk,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 7,koleda elmars,lat,"born: jun 03, 1997",b.weight: 55.40,group: a,1: -106,2: -106,3: 106,total: 106,56kgmen,cleanjerk,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 1,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 55.85,group: a,snatch: 113,ci&jerk: 136,total: 249,,56kgmen,total,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 2,musokhranov oleg,rus,"born: aug 23, 1995",b.weight: 55.85,group: a,snatch: 110,ci&jerk: 135,total: 245,,56kgmen,total,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 3,minasyan marzpet,arm,"born: mar 11, 1997",b.weight: 55.75,group: a,snatch: 107,ci&jerk: 120,total: 227,,56kgmen,total,EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 4,davayan davit,arm,"born: oct 16, 1997",b.weight: 55.75,group: a,snatch: 100,ci&jerk: 120,total: 220,,56kgmen,total,EUROPEAN JUNIOR CHAMPIONSHIPS
