rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,motoki kazuma,jpn,"born: aug 03, 1994",b.weight: 55.54,group: a,1: 106,2: 114,3: -118,total: 114,56kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,yeadula shiva kumar,ind,"born: mar 06, 1989",b.weight: 55.62,group: a,1: 95,2: 100,3: 104,total: 104,56kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,tan chi chung,tpe,"born: feb 24, 1990",b.weight: 55.56,group: a,1: 100,2: 103,3: -105,total: 103,56kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,ide shinki,jpn,"born: sep 04, 1994",b.weight: 55.62,group: a,1: 93,2: 96,3: 98,total: 98,56kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 5,ramirez virgilio julian rodolfo,mex,"born: oct 23, 1997",b.weight: 55.78,group: a,1: 92,2: - 96,3: 97,total: 97,56kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 6,dzul cuy jose alfredo,mex,"born: sep 17, 1992",b.weight: 55.30,group: a,1: - 93,2: - 93,3: 93,total: 93,56kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 1,motoki kazuma,jpn,"born: aug 03, 1994",b.weight: 55.54,group: a,1: 125,2: 130,3: 136,total: 136,56kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,yeadula shiva kumar,ind,"born: mar 06, 1989",b.weight: 55.62,group: a,1: 120,2: 125,3: -131,total: 125,56kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,ramirez virgilio julian rodolfo,mex,"born: oct 23, 1997",b.weight: 55.78,group: a,1: 118,2: 122,3: 123,total: 123,56kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,ide shinki,jpn,"born: sep 04, 1994",b.weight: 55.62,group: a,1: -118,2: 118,3: 122,total: 122,56kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 5,tan chi chung,tpe,"born: feb 24, 1990",b.weight: 55.56,group: a,1: 121,2: -126,3: -126,total: 121,56kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 6,dzul cuy jose alfredo,mex,"born: sep 17, 1992",b.weight: 55.30,group: a,1: 112,2: -115,3: 115,total: 115,56kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 1,motoki kazuma,jpn,"born: aug 03, 1994",b.weight: 55.54,group: a,snatch: 114,ci&jerk: 136,total: 250,,56kgmen,total,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,yeadula shiva kumar,ind,"born: mar 06, 1989",b.weight: 55.62,group: a,snatch: 104,ci&jerk: 125,total: 229,,56kgmen,total,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,tan chi chung,tpe,"born: feb 24, 1990",b.weight: 55.56,group: a,snatch: 103,ci&jerk: 121,total: 224,,56kgmen,total,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,ide shinki,jpn,"born: sep 04, 1994",b.weight: 55.62,group: a,snatch: 98,ci&jerk: 122,total: 220,,56kgmen,total,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 5,ramirez virgilio julian rodolfo,mex,"born: oct 23, 1997",b.weight: 55.78,group: a,snatch: 97,ci&jerk: 123,total: 220,,56kgmen,total,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 6,dzul cuy jose alfredo,mex,"born: sep 17, 1992",b.weight: 55.30,group: a,snatch: 93,ci&jerk: 115,total: 208,,56kgmen,total,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 1,qin fulin,chn,"born: jan 12, 1994",b.weight: 61.48,group: a,1: 128,2: 133,3: -138,total: 133,62kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,kao chan-hung,tpe,"born: oct 03, 1993",b.weight: 61.04,group: a,1: 120,2: -125,3: -125,total: 120,62kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,vazquez mendez antonio,mex,"born: aug 12, 1993",b.weight: 61.92,group: a,1: 112,2: 117,3: -120,total: 117,62kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,tsai ming-chun,tpe,"born: oct 01, 1993",b.weight: 61.00,group: a,1: -102,2: 102,3: 110,total: 110,62kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 5,hirai hayato,jpn,"born: aug 08, 1994",b.weight: 61.50,group: a,1: 90,2: 95,3: 100,total: 100,62kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 6,roznik novak jus,slo,"born: nov 15, 1996",b.weight: 61.16,group: a,1: 95,2: - 99,3: -100,total: 95,62kgmen,snatch,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 1,vazquez mendez antonio,mex,"born: aug 12, 1993",b.weight: 61.92,group: a,1: 153,2: 159,3: -165,total: 159,62kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 2,qin fulin,chn,"born: jan 12, 1994",b.weight: 61.48,group: a,1: 153,2: 158,3: -163,total: 158,62kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 3,kao chan-hung,tpe,"born: oct 03, 1993",b.weight: 61.04,group: a,1: 138,2: 144,3: ---,total: 144,62kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 4,tsai ming-chun,tpe,"born: oct 01, 1993",b.weight: 61.00,group: a,1: 135,2: -143,3: -144,total: 135,62kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
rank: 5,roznik novak jus,slo,"born: nov 15, 1996",b.weight: 61.16,group: a,1: 125,2: 130,3: 133,total: 133,62kgmen,cleanjerk,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS
