rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: ---,muhammad azroy hazalwafie,mas,"born: apr 04, 1994",b.weight: 55.79,group: a,1: 106,2: -110,3: -110,total: 106,56kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,cain shadrach,nru,"born: jul 27, 1999",b.weight: 54.89,group: a,1: 70,2: -73,3: -73,total: 70,56kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.57,group: a,1: 95,2: -100,3: -100,total: 95,56kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.68,group: a,1: 100,2: 104,3: -107,total: 104,56kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,muhammad azroy hazalwafie,mas,"born: apr 04, 1994",b.weight: 55.79,group: a,1: 130,2: -132,3: 132,total: 132,56kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,cain shadrach,nru,"born: jul 27, 1999",b.weight: 54.89,group: a,1: 95,2: 100,3: 102,total: 102,56kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.57,group: a,1: 125,2: -130,3: -130,total: 125,56kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.68,group: a,1: 130,2: -135,3: -135,total: 130,56kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: 1,muhammad azroy hazalwafie,mas,"born: apr 04, 1994",b.weight: 55.79,group: a,snatch: 106,ci&jerk: 132,total: 238,,56kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 2,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.68,group: a,snatch: 104,ci&jerk: 130,total: 234,,56kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 3,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.57,group: a,snatch: 95,ci&jerk: 125,total: 220,,56kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 4,cain shadrach,nru,"born: jul 27, 1999",b.weight: 54.89,group: a,snatch: 70,ci&jerk: 102,total: 172,,56kgmen,total,AUSTRALIAN INTERNATIONAL
rank: ---,muhammad zaidi bin mohd nordin,mas,"born: apr 14, 1997",b.weight: 61.80,group: a,1: -110,2: -110,3: 111,total: 111,62kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,baru morea,png,"born: apr 15, 1990",b.weight: 61.91,group: a,1: 110,2: 115,3: -120,total: 115,62kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,guinares ianne ernesto vergara,nzl,"born: jan 12, 1988",b.weight: 61.79,group: a,1: 110,2: 114,3: -118,total: 114,62kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 60.55,group: a,1: 85,2: 90,3: -92,total: 90,62kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.61,group: a,1: 80,2: -85,3: 85,total: 85,62kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,muhammad zaidi bin mohd nordin,mas,"born: apr 14, 1997",b.weight: 61.80,group: a,1: 150,2: -156,3: -158,total: 150,62kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,baru morea,png,"born: apr 15, 1990",b.weight: 61.91,group: a,1: 152,2: 160,3: -165,total: 160,62kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,guinares ianne ernesto vergara,nzl,"born: jan 12, 1988",b.weight: 61.79,group: a,1: 140,2: -145,3: 145,total: 145,62kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 60.55,group: a,1: 105,2: 110,3: 115,total: 115,62kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.61,group: a,1: 120,2: -125,3: -125,total: 120,62kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: 1,baru morea,png,"born: apr 15, 1990",b.weight: 61.91,group: a,snatch: 115,ci&jerk: 160,total: 275,,62kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 2,muhammad zaidi bin mohd nordin,mas,"born: apr 14, 1997",b.weight: 61.80,group: a,snatch: 111,ci&jerk: 150,total: 261,,62kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 3,guinares ianne ernesto vergara,nzl,"born: jan 12, 1988",b.weight: 61.79,group: a,snatch: 114,ci&jerk: 145,total: 259,,62kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 4,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 60.55,group: a,snatch: 90,ci&jerk: 115,total: 205,,62kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 5,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.61,group: a,snatch: 85,ci&jerk: 120,total: 205,,62kgmen,total,AUSTRALIAN INTERNATIONAL
rank: ---,ioane vaipava nevo,sam,"born: apr 14, 1988",b.weight: 66.25,group: a,1: 111,2: 115,3: -120,total: 115,69kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,detudamo uea,nru,"born: dec 16, 1999",b.weight: 64.53,group: a,1: -90,2: -90,3: -90,total: ---,69kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,wakeling brandon dean,aus,"born: feb 02, 1994",b.weight: 68.25,group: a,1: 105,2: 110,3: 115,total: 115,69kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,doguape larko,nru,"born: jul 05, 2000",b.weight: 67.53,group: a,1: 95,2: -100,3: 100,total: 100,69kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 68.27,group: a,1: 112,2: -116,3: 116,total: 116,69kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,delaney james joseph,aus,"born: jul 29, 1996",b.weight: 68.38,group: a,1: 104,2: -109,3: 109,total: 109,69kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,villalon vester louie,nzl,"born: nov 13, 1991",b.weight: 68.73,group: a,1: 110,2: 114,3: 117,total: 117,69kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: dsq,mohd hafifi bin mansor,mas,"born: oct 28, 1990",b.weight: 68.65,group: a,1: 125,2: 132,3: ---,total: ---,69kgmen,snatch,AUSTRALIAN INTERNATIONAL
rank: ---,ioane vaipava nevo,sam,"born: apr 14, 1988",b.weight: 66.25,group: a,1: 151,2: 156,3: 160,total: 160,69kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,detudamo uea,nru,"born: dec 16, 1999",b.weight: 64.53,group: a,1: ---,2: ---,3: ---,total: ---,69kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,wakeling brandon dean,aus,"born: feb 02, 1994",b.weight: 68.25,group: a,1: 135,2: 140,3: -145,total: 140,69kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,doguape larko,nru,"born: jul 05, 2000",b.weight: 67.53,group: a,1: 115,2: 120,3: 125,total: 125,69kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 68.27,group: a,1: 145,2: -150,3: -150,total: 145,69kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,delaney james joseph,aus,"born: jul 29, 1996",b.weight: 68.38,group: a,1: 136,2: -142,3: -142,total: 136,69kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: ---,villalon vester louie,nzl,"born: nov 13, 1991",b.weight: 68.73,group: a,1: 144,2: 149,3: 152,total: 152,69kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: dsq,mohd hafifi bin mansor,mas,"born: oct 28, 1990",b.weight: 68.65,group: a,1: 170,2: 175,3: ---,total: ---,69kgmen,cleanjerk,AUSTRALIAN INTERNATIONAL
rank: 1,ioane vaipava nevo,sam,"born: apr 14, 1988",b.weight: 66.25,group: a,snatch: 115,ci&jerk: 160,total: 275,,69kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 2,villalon vester louie,nzl,"born: nov 13, 1991",b.weight: 68.73,group: a,snatch: 117,ci&jerk: 152,total: 269,,69kgmen,total,AUSTRALIAN INTERNATIONAL
rank: 3,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 68.27,group: a,snatch: 116,ci&jerk: 145,total: 261,,69kgmen,total,AUSTRALIAN INTERNATIONAL
