rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,berna gonzalez carlos andres,col,"born: jan 21, 1990",b.weight: 56.00,group: a,1: 113,2: 116,3: 119,total: 119,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 2,garcia brito luis alberto,dom,"born: apr 19, 1995",b.weight: 55.77,group: a,1: -114,2: 115,3: 118,total: 118,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 3,ferruzola alava rafael patricio,ecu,"born: oct 16, 1997",b.weight: 55.99,group: a,1: 103,2: 106,3: 108,total: 108,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 4,barrera sandoval francisco javier,chi,"born: may 14, 1987",b.weight: 55.96,group: a,1: 100,2: 104,3: 107,total: 107,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 5,soto diego,chi,"born: jan 28, 1988",b.weight: 55.92,group: a,1: 90,2: 95,3: 100,total: 100,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 6,olmedo alvarez ruben alexis,pur,"born: mar 22, 1984",b.weight: 55.95,group: a,1: 95,2: -98,3: 98,total: 98,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 7,rivera barros julian javier,ecu,"born: jul 28, 1999",b.weight: 55.73,group: a,1: -96,2: 96,3: -101,total: 96,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 8,cruz lopez dario enrique,gua,"born: aug 23, 1997",b.weight: 55.71,group: a,1: 95,2: -99,3: -101,total: 95,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 9,martinez castillo ronnier zaed,pan,"born: dec 12, 2001",b.weight: 55.35,group: a,1: 89,2: 91,3: 93,total: 93,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 10,leyes jonatan martin,arg,"born: may 12, 2001",b.weight: 55.43,group: a,1: 83,2: -88,3: 88,total: 88,56kgmen,snatch,PAN-AMERICAN CHAMPIONSHIPS
rank: 1,berna gonzalez carlos andres,col,"born: jan 21, 1990",b.weight: 56.00,group: a,1: 145,2: 149,3: 151,total: 151,56kgmen,cleanjerk,PAN-AMERICAN CHAMPIONSHIPS
rank: 2,garcia brito luis alberto,dom,"born: apr 19, 1995",b.weight: 55.77,group: a,1: -146,2: 146,3: 150,total: 150,56kgmen,cleanjerk,PAN-AMERICAN CHAMPIONSHIPS
