rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,jeremy lalrinnunga,ind,"born: oct 26, 2002",b.weight: 55.70,group: a,1: 100,2: 106,3: 109,total: 109,56kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 2,madanamoothoo jack dorian,mri,"born: apr 19, 2001",b.weight: 55.23,group: a,1: 75,2: 80,3: -84,total: 80,56kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 3,cain shadrach,nru,"born: jul 27, 1999",b.weight: 55.47,group: a,1: 75,2: -80,3: 80,total: 80,56kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 1,jeremy lalrinnunga,ind,"born: oct 26, 2002",b.weight: 55.70,group: a,1: 126,2: 131,3: -136,total: 131,56kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 2,cain shadrach,nru,"born: jul 27, 1999",b.weight: 55.47,group: a,1: 105,2: -110,3: -110,total: 105,56kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 3,madanamoothoo jack dorian,mri,"born: apr 19, 2001",b.weight: 55.23,group: a,1: 97,2: 98,3: -110,total: 98,56kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 1,jeremy lalrinnunga,ind,"born: oct 26, 2002",b.weight: 55.70,group: a,snatch: 109,ci&jerk: 131,total: 240,,56kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 2,cain shadrach,nru,"born: jul 27, 1999",b.weight: 55.47,group: a,snatch: 80,ci&jerk: 105,total: 185,,56kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 3,madanamoothoo jack dorian,mri,"born: apr 19, 2001",b.weight: 55.23,group: a,snatch: 80,ci&jerk: 98,total: 178,,56kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 1,talib talha,pak,"born: oct 03, 1999",b.weight: 61.96,group: a,1: 121,2: 126,3: -128,total: 126,62kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 2,muthupandi raja,ind,"born: jan 12, 2000",b.weight: 61.81,group: a,1: 110,2: -114,3: -114,total: 110,62kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 3,qaqa poama,fij,"born: mar 12, 1997",b.weight: 61.68,group: a,1: 105,2: 109,3: -112,total: 109,62kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 4,adam hamish theodoros mackenzie,aus,"born: mar 13, 1997",b.weight: 61.88,group: b,1: -95,2: 95,3: 100,total: 100,62kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 5,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 61.34,group: b,1: -85,2: 90,3: 95,total: 95,62kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 6,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.55,group: b,1: 87,2: 92,3: -96,total: 92,62kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 7,akwei david,gha,"born: nov 29, 2000",b.weight: 61.58,group: b,1: 78,2: -82,3: 82,total: 82,62kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 8,scotty brocka,nru,"born: jul 25, 1999",b.weight: 61.41,group: b,1: 80,2: -88,3: -88,total: 80,62kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 1,muthupandi raja,ind,"born: jan 12, 2000",b.weight: 61.81,group: a,1: 142,2: 147,3: 150,total: 150,62kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 2,talib talha,pak,"born: oct 03, 1999",b.weight: 61.96,group: a,1: 142,2: 146,3: -149,total: 146,62kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 3,qaqa poama,fij,"born: mar 12, 1997",b.weight: 61.68,group: a,1: 130,2: 135,3: -137,total: 135,62kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 4,adam hamish theodoros mackenzie,aus,"born: mar 13, 1997",b.weight: 61.88,group: b,1: 118,2: 122,3: -130,total: 122,62kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 5,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 61.34,group: b,1: 120,2: -125,3: -125,total: 120,62kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 6,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.55,group: b,1: -115,2: 115,3: -120,total: 115,62kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 7,akwei david,gha,"born: nov 29, 2000",b.weight: 61.58,group: b,1: 105,2: 108,3: 115,total: 115,62kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 8,scotty brocka,nru,"born: jul 25, 1999",b.weight: 61.41,group: b,1: -110,2: 110,3: -113,total: 110,62kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 1,talib talha,pak,"born: oct 03, 1999",b.weight: 61.96,group: a,snatch: 126,ci&jerk: 146,total: 272,,62kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 2,muthupandi raja,ind,"born: jan 12, 2000",b.weight: 61.81,group: a,snatch: 110,ci&jerk: 150,total: 260,,62kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 3,qaqa poama,fij,"born: mar 12, 1997",b.weight: 61.68,group: a,snatch: 109,ci&jerk: 135,total: 244,,62kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 4,adam hamish theodoros mackenzie,aus,"born: mar 13, 1997",b.weight: 61.88,group: b,snatch: 100,ci&jerk: 122,total: 222,,62kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 5,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 61.34,group: b,snatch: 95,ci&jerk: 120,total: 215,,62kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 6,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.55,group: b,snatch: 92,ci&jerk: 115,total: 207,,62kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 7,akwei david,gha,"born: nov 29, 2000",b.weight: 61.58,group: b,snatch: 82,ci&jerk: 115,total: 197,,62kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 8,scotty brocka,nru,"born: jul 25, 1999",b.weight: 61.41,group: b,snatch: 80,ci&jerk: 110,total: 190,,62kgmen,total,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 1,deepak lather,ind,"born: mar 25, 2000",b.weight: 68.59,group: a,1: 133,2: 138,3: -140,total: 138,69kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 2,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 68.64,group: a,1: 112,2: -117,3: 117,total: 117,69kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 3,dongobir ramoun,nru,"born: feb 28, 1997",b.weight: 68.39,group: b,1: 95,2: 100,3: 103,total: 103,69kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 4,pandoo dinesh jevin,mri,"born: feb 25, 2001",b.weight: 68.94,group: b,1: 98,2: -103,3: 103,total: 103,69kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 5,doguape larko,nru,"born: jul 05, 2000",b.weight: 67.73,group: b,1: -97,2: 97,3: 102,total: 102,69kgmen,snatch,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 1,deepak lather,ind,"born: mar 25, 2000",b.weight: 68.59,group: a,1: 157,2: -162,3: -164,total: 157,69kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
rank: 2,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 68.64,group: a,1: 145,2: 152,3: -157,total: 152,69kgmen,cleanjerk,COMMONWEALTH JUNIOR CHAMPIONSHIPS
