rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.86,group: a,1: -103,2: 103,3: 107,total: 107,56kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 2,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.84,group: a,1: 95,2: 100,3: 103,total: 103,56kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 3,cain shadrach,nru,"born: jul 27, 1999",b.weight: 55.47,group: a,1: 75,2: -80,3: 80,total: 80,56kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 1,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.86,group: a,1: -135,2: 135,3: -140,total: 135,56kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 2,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.84,group: a,1: 125,2: -130,3: 130,total: 130,56kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 3,cain shadrach,nru,"born: jul 27, 1999",b.weight: 55.47,group: a,1: 105,2: -110,3: -110,total: 105,56kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 1,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.86,group: a,snatch: 107,ci&jerk: 135,total: 242,,56kgmen,total,OCEANIA CHAMPIONSHIPS
rank: 2,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.84,group: a,snatch: 103,ci&jerk: 130,total: 233,,56kgmen,total,OCEANIA CHAMPIONSHIPS
rank: 3,cain shadrach,nru,"born: jul 27, 1999",b.weight: 55.47,group: a,snatch: 80,ci&jerk: 105,total: 185,,56kgmen,total,OCEANIA CHAMPIONSHIPS
rank: 1,baru morea,png,"born: apr 15, 1990",b.weight: 61.96,group: a,1: 120,2: -124,3: -125,total: 120,62kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 2,guinares ianne ernesto vergara,nzl,"born: jan 12, 1988",b.weight: 61.85,group: a,1: 109,2: -113,3: -114,total: 109,62kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 3,qaqa poama,fij,"born: mar 12, 1997",b.weight: 61.68,group: a,1: 105,2: 109,3: -112,total: 109,62kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 4,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 61.34,group: b,1: -85,2: 90,3: 95,total: 95,62kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 5,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.55,group: b,1: 87,2: 92,3: -96,total: 92,62kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 1,baru morea,png,"born: apr 15, 1990",b.weight: 61.96,group: a,1: 156,2: -162,3: 162,total: 162,62kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 2,guinares ianne ernesto vergara,nzl,"born: jan 12, 1988",b.weight: 61.85,group: a,1: 136,2: 141,3: 144,total: 144,62kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 3,qaqa poama,fij,"born: mar 12, 1997",b.weight: 61.68,group: a,1: 130,2: 135,3: -137,total: 135,62kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 4,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 61.34,group: b,1: 120,2: -125,3: -125,total: 120,62kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 5,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.55,group: b,1: -115,2: 115,3: -120,total: 115,62kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 1,baru morea,png,"born: apr 15, 1990",b.weight: 61.96,group: a,snatch: 120,ci&jerk: 162,total: 282,,62kgmen,total,OCEANIA CHAMPIONSHIPS
rank: 2,guinares ianne ernesto vergara,nzl,"born: jan 12, 1988",b.weight: 61.85,group: a,snatch: 109,ci&jerk: 144,total: 253,,62kgmen,total,OCEANIA CHAMPIONSHIPS
rank: 3,qaqa poama,fij,"born: mar 12, 1997",b.weight: 61.68,group: a,snatch: 109,ci&jerk: 135,total: 244,,62kgmen,total,OCEANIA CHAMPIONSHIPS
rank: 4,moses ezekiel,nru,"born: jul 02, 2001",b.weight: 61.34,group: b,snatch: 95,ci&jerk: 120,total: 215,,62kgmen,total,OCEANIA CHAMPIONSHIPS
rank: 5,betero takirua,kir,"born: jan 10, 1999",b.weight: 61.55,group: b,snatch: 92,ci&jerk: 115,total: 207,,62kgmen,total,OCEANIA CHAMPIONSHIPS
rank: 1,ioane vaipava nevo,sam,"born: apr 14, 1988",b.weight: 67.11,group: a,1: 121,2: -126,3: 126,total: 126,69kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 2,wakeling brandon dean,aus,"born: feb 02, 1994",b.weight: 68.60,group: a,1: 115,2: 120,3: 125,total: 125,69kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 3,villalon vester louie,nzl,"born: nov 13, 1991",b.weight: 68.88,group: a,1: 116,2: 120,3: -124,total: 120,69kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 4,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 68.64,group: a,1: 112,2: -117,3: 117,total: 117,69kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 5,doguape larko,nru,"born: jul 05, 2000",b.weight: 67.73,group: b,1: -97,2: 97,3: 102,total: 102,69kgmen,snatch,OCEANIA CHAMPIONSHIPS
rank: 1,ioane vaipava nevo,sam,"born: apr 14, 1988",b.weight: 67.11,group: a,1: 161,2: 170,3: -180,total: 170,69kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 2,villalon vester louie,nzl,"born: nov 13, 1991",b.weight: 68.88,group: a,1: 150,2: 155,3: 159,total: 159,69kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
rank: 3,wakeling brandon dean,aus,"born: feb 02, 1994",b.weight: 68.60,group: a,1: 153,2: -159,3: 159,total: 159,69kgmen,cleanjerk,OCEANIA CHAMPIONSHIPS
