rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,berna gonzalez carlos andres,col,"born: jan 21, 1990",b.weight: 55.90,group: a,1: 107,2: 113,3: ---,total: 113,56kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 55.90,group: a,1: 100,2: 103,3: 106,total: 106,56kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,ferruzola alava rafael patricio,ecu,"born: oct 16, 1997",b.weight: 55.60,group: a,1: -102,2: 102,3: -106,total: 102,56kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: ---,barrera sandoval francisco javier,chi,"born: may 14, 1987",b.weight: 55.80,group: a,1: -100,2: -100,3: -100,total: ---,56kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,berna gonzalez carlos andres,col,"born: jan 21, 1990",b.weight: 55.90,group: a,1: 141,2: -147,3: 147,total: 147,56kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 55.90,group: a,1: 130,2: 134,3: -140,total: 134,56kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,ferruzola alava rafael patricio,ecu,"born: oct 16, 1997",b.weight: 55.60,group: a,1: 130,2: 133,3: -137,total: 133,56kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,barrera sandoval francisco javier,chi,"born: may 14, 1987",b.weight: 55.80,group: a,1: 125,2: -131,3: 132,total: 132,56kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,berna gonzalez carlos andres,col,"born: jan 21, 1990",b.weight: 55.90,group: a,snatch: 113,ci&jerk: 147,total: 260,,56kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 55.90,group: a,snatch: 106,ci&jerk: 134,total: 240,,56kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,ferruzola alava rafael patricio,ecu,"born: oct 16, 1997",b.weight: 55.60,group: a,snatch: 102,ci&jerk: 133,total: 235,,56kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: ---,barrera sandoval francisco javier,chi,"born: may 14, 1987",b.weight: 55.80,group: a,snatch: ---,ci&jerk: 132,total: ---,,56kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mosquera valencia francisco antonio,col,"born: apr 01, 1992",b.weight: 61.90,group: a,1: 126,2: 131,3: -135,total: 131,62kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,zurita vallejo cristhian david,ecu,"born: feb 10, 1998",b.weight: 61.00,group: a,1: 120,2: -125,3: 125,total: 125,62kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,lopez sanchez jesus antonio,ven,"born: dec 17, 1984",b.weight: 62.00,group: a,1: -117,2: 117,3: -121,total: 117,62kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,acosta gonzalez julio cesar,chi,"born: jul 22, 1987",b.weight: 61.80,group: a,1: 116,2: -119,3: -119,total: 116,62kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,lahuanampa castillo junior chayanne,per,"born: apr 04, 1995",b.weight: 61.90,group: a,1: -115,2: 115,3: -118,total: 115,62kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 6,preciado reyes miguel angel,per,"born: nov 03, 1994",b.weight: 62.00,group: a,1: -112,2: -112,3: 112,total: 112,62kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mosquera valencia francisco antonio,col,"born: apr 01, 1992",b.weight: 61.90,group: a,1: 160,2: 170,3: ---,total: 170,62kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,lopez sanchez jesus antonio,ven,"born: dec 17, 1984",b.weight: 62.00,group: a,1: 148,2: 151,3: -159,total: 151,62kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,zurita vallejo cristhian david,ecu,"born: feb 10, 1998",b.weight: 61.00,group: a,1: 146,2: 150,3: -154,total: 150,62kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,acosta gonzalez julio cesar,chi,"born: jul 22, 1987",b.weight: 61.80,group: a,1: 145,2: 149,3: -151,total: 149,62kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,preciado reyes miguel angel,per,"born: nov 03, 1994",b.weight: 62.00,group: a,1: 140,2: 147,3: -151,total: 147,62kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: ---,lahuanampa castillo junior chayanne,per,"born: apr 04, 1995",b.weight: 61.90,group: a,1: -145,2: -145,3: -151,total: ---,62kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mosquera valencia francisco antonio,col,"born: apr 01, 1992",b.weight: 61.90,group: a,snatch: 131,ci&jerk: 170,total: 301,,62kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,zurita vallejo cristhian david,ecu,"born: feb 10, 1998",b.weight: 61.00,group: a,snatch: 125,ci&jerk: 150,total: 275,,62kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,lopez sanchez jesus antonio,ven,"born: dec 17, 1984",b.weight: 62.00,group: a,snatch: 117,ci&jerk: 151,total: 268,,62kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,acosta gonzalez julio cesar,chi,"born: jul 22, 1987",b.weight: 61.80,group: a,snatch: 116,ci&jerk: 149,total: 265,,62kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,preciado reyes miguel angel,per,"born: nov 03, 1994",b.weight: 62.00,group: a,snatch: 112,ci&jerk: 147,total: 259,,62kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: ---,lahuanampa castillo junior chayanne,per,"born: apr 04, 1995",b.weight: 61.90,group: a,snatch: 115,ci&jerk: ---,total: ---,,62kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mayora pernia julio ruben,ven,"born: sep 02, 1996",b.weight: 68.60,group: a,1: 135,2: 142,3: 147,total: 147,69kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,terrones miranda oscar adrian,per,"born: jan 23, 1998",b.weight: 69.00,group: a,1: 128,2: -130,3: 130,total: 130,69kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,herrera cepeda erik elvis,ecu,"born: jul 28, 1994",b.weight: 68.00,group: a,1: 125,2: -129,3: 129,total: 129,69kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,beleno cogollo walter,col,"born: nov 24, 1992",b.weight: 68.90,group: a,1: -127,2: 127,3: -131,total: 127,69kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,bardalez tuisima luis david,per,"born: oct 03, 1995",b.weight: 68.70,group: a,1: 123,2: -126,3: -126,total: 123,69kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 6,jimenes nahuel carlos daniel,arg,"born: jun 21, 1996",b.weight: 66.80,group: a,1: 113,2: 116,3: 118,total: 118,69kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 7,calabro mariano agustin,arg,"born: apr 25, 1996",b.weight: 67.60,group: a,1: 108,2: -112,3: -112,total: 108,69kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: ---,alvarado celis whilliam alexey,bra,"born: feb 13, 1988",b.weight: 68.80,group: a,1: -130,2: -131,3: -131,total: ---,69kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mayora pernia julio ruben,ven,"born: sep 02, 1996",b.weight: 68.60,group: a,1: 170,2: ---,3: ---,total: 170,69kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,herrera cepeda erik elvis,ecu,"born: jul 28, 1994",b.weight: 68.00,group: a,1: 162,2: -167,3: 167,total: 167,69kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,alvarado celis whilliam alexey,bra,"born: feb 13, 1988",b.weight: 68.80,group: a,1: 161,2: -166,3: 166,total: 166,69kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,beleno cogollo walter,col,"born: nov 24, 1992",b.weight: 68.90,group: a,1: 165,2: -171,3: -171,total: 165,69kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,terrones miranda oscar adrian,per,"born: jan 23, 1998",b.weight: 69.00,group: a,1: 157,2: 162,3: -166,total: 162,69kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 6,bardalez tuisima luis david,per,"born: oct 03, 1995",b.weight: 68.70,group: a,1: 155,2: 160,3: -163,total: 160,69kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 7,jimenes nahuel carlos daniel,arg,"born: jun 21, 1996",b.weight: 66.80,group: a,1: 140,2: 145,3: 150,total: 150,69kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 8,calabro mariano agustin,arg,"born: apr 25, 1996",b.weight: 67.60,group: a,1: -140,2: 140,3: -145,total: 140,69kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mayora pernia julio ruben,ven,"born: sep 02, 1996",b.weight: 68.60,group: a,snatch: 147,ci&jerk: 170,total: 317,,69kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,herrera cepeda erik elvis,ecu,"born: jul 28, 1994",b.weight: 68.00,group: a,snatch: 129,ci&jerk: 167,total: 296,,69kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,terrones miranda oscar adrian,per,"born: jan 23, 1998",b.weight: 69.00,group: a,snatch: 130,ci&jerk: 162,total: 292,,69kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,beleno cogollo walter,col,"born: nov 24, 1992",b.weight: 68.90,group: a,snatch: 127,ci&jerk: 165,total: 292,,69kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,bardalez tuisima luis david,per,"born: oct 03, 1995",b.weight: 68.70,group: a,snatch: 123,ci&jerk: 160,total: 283,,69kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 6,jimenes nahuel carlos daniel,arg,"born: jun 21, 1996",b.weight: 66.80,group: a,snatch: 118,ci&jerk: 150,total: 268,,69kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 7,calabro mariano agustin,arg,"born: apr 25, 1996",b.weight: 67.60,group: a,snatch: 108,ci&jerk: 140,total: 248,,69kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: ---,alvarado celis whilliam alexey,bra,"born: feb 13, 1988",b.weight: 68.80,group: a,snatch: ---,ci&jerk: 166,total: ---,,69kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,rodallegas carvajal brayan santiago,col,"born: nov 15, 1997",b.weight: 76.80,group: a,1: 150,2: 153,3: 155,total: 155,77kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,caicedo piedrahita andres mauricio,col,"born: aug 15, 1997",b.weight: 76.90,group: a,1: 145,2: 151,3: -155,total: 151,77kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,flores quishpe ricardo hernan,ecu,"born: feb 18, 1987",b.weight: 76.50,group: a,1: -141,2: 141,3: 144,total: 144,77kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,castro palma darvin jesus,ven,"born: jun 11, 1995",b.weight: 76.70,group: a,1: 140,2: -143,3: 143,total: 143,77kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,sanchez rivero junior antonio,ven,"born: jun 01, 1989",b.weight: 70.40,group: a,1: 137,2: -142,3: -142,total: 137,77kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 6,nauting souza oscar paolo,per,"born: sep 25, 1997",b.weight: 76.20,group: a,1: 120,2: -125,3: 125,total: 125,77kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,caicedo piedrahita andres mauricio,col,"born: aug 15, 1997",b.weight: 76.90,group: a,1: 186,2: 192,3: ---,total: 192,77kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,rodallegas carvajal brayan santiago,col,"born: nov 15, 1997",b.weight: 76.80,group: a,1: 185,2: -191,3: ---,total: 185,77kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,castro palma darvin jesus,ven,"born: jun 11, 1995",b.weight: 76.70,group: a,1: 176,2: 181,3: -185,total: 181,77kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,flores quishpe ricardo hernan,ecu,"born: feb 18, 1987",b.weight: 76.50,group: a,1: 178,2: -182,3: -183,total: 178,77kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,nauting souza oscar paolo,per,"born: sep 25, 1997",b.weight: 76.20,group: a,1: 163,2: 171,3: -177,total: 171,77kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: ---,sanchez rivero junior antonio,ven,"born: jun 01, 1989",b.weight: 70.40,group: a,1: -162,2: ---,3: ---,total: ---,77kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,caicedo piedrahita andres mauricio,col,"born: aug 15, 1997",b.weight: 76.90,group: a,snatch: 151,ci&jerk: 192,total: 343,,77kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,rodallegas carvajal brayan santiago,col,"born: nov 15, 1997",b.weight: 76.80,group: a,snatch: 155,ci&jerk: 185,total: 340,,77kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,castro palma darvin jesus,ven,"born: jun 11, 1995",b.weight: 76.70,group: a,snatch: 143,ci&jerk: 181,total: 324,,77kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,flores quishpe ricardo hernan,ecu,"born: feb 18, 1987",b.weight: 76.50,group: a,snatch: 144,ci&jerk: 178,total: 322,,77kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 5,nauting souza oscar paolo,per,"born: sep 25, 1997",b.weight: 76.20,group: a,snatch: 125,ci&jerk: 171,total: 296,,77kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: ---,sanchez rivero junior antonio,ven,"born: jun 01, 1989",b.weight: 70.40,group: a,snatch: 137,ci&jerk: ---,total: ---,,77kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mendez perez arley,chi,"born: dec 31, 1993",b.weight: 84.10,group: a,1: 158,2: 171,3: ---,total: 171,85kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,luna marin angel jose,ven,"born: oct 13, 1994",b.weight: 84.10,group: a,1: 152,2: -157,3: 157,total: 157,85kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,betancur mancilla diego fernando,col,"born: jun 15, 1994",b.weight: 83.90,group: a,1: 150,2: -155,3: 156,total: 156,85kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,prieto juan jose,par,"born: dec 12, 1998",b.weight: 78.70,group: a,1: 100,2: 105,3: 110,total: 110,85kgmen,snatch,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mendez perez arley,chi,"born: dec 31, 1993",b.weight: 84.10,group: a,1: 201,2: 211,3: ---,total: 211,85kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,luna marin angel jose,ven,"born: oct 13, 1994",b.weight: 84.10,group: a,1: 190,2: -200,3: -200,total: 190,85kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,betancur mancilla diego fernando,col,"born: jun 15, 1994",b.weight: 83.90,group: a,1: -185,2: 185,3: -195,total: 185,85kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,prieto juan jose,par,"born: dec 12, 1998",b.weight: 78.70,group: a,1: 130,2: 135,3: -138,total: 135,85kgmen,cleanjerk,SOUTH AMERICAN CHAMPIONSHIPS
rank: 1,mendez perez arley,chi,"born: dec 31, 1993",b.weight: 84.10,group: a,snatch: 171,ci&jerk: 211,total: 382,,85kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 2,luna marin angel jose,ven,"born: oct 13, 1994",b.weight: 84.10,group: a,snatch: 157,ci&jerk: 190,total: 347,,85kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 3,betancur mancilla diego fernando,col,"born: jun 15, 1994",b.weight: 83.90,group: a,snatch: 156,ci&jerk: 185,total: 341,,85kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
rank: 4,prieto juan jose,par,"born: dec 12, 1998",b.weight: 78.70,group: a,snatch: 110,ci&jerk: 135,total: 245,,85kgmen,total,SOUTH AMERICAN CHAMPIONSHIPS
