rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,zalipskyi pavlo,ukr,"born: jul 13, 1998",b.weight: 56.00,group: a,1: 106,2: 110,3: 112,total: 112,56kgmen,snatch,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 2,lungu daniel,mda,"born: oct 16, 1998",b.weight: 55.80,group: a,1: 102,2: 106,3: 110,total: 110,56kgmen,snatch,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 3,luca marian-cristian,rou,"born: feb 16, 1999",b.weight: 55.95,group: a,1: 103,2: 107,3: -111,total: 107,56kgmen,snatch,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 4,massidda sergio,ita,"born: jan 26, 2002",b.weight: 55.70,group: a,1: 105,2: -110,3: -111,total: 105,56kgmen,snatch,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 5,dzhafarov ravil,rus,"born: aug 27, 1999",b.weight: 55.95,group: a,1: 97,2: -101,3: 101,total: 101,56kgmen,snatch,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 6,iancu valentin-ionadi,rou,"born: jan 16, 2000",b.weight: 55.90,group: a,1: 95,2: 100,3: -103,total: 100,56kgmen,snatch,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 7,mnatsakanyan hamlet,arm,"born: jul 05, 1998",b.weight: 55.95,group: a,1: 95,2: 100,3: -104,total: 100,56kgmen,snatch,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 8,veliji mihnet,kos,"born: aug 22, 2001",b.weight: 53.70,group: a,1: 45,2: -47,3: 47,total: 47,56kgmen,snatch,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 1,massidda sergio,ita,"born: jan 26, 2002",b.weight: 55.70,group: a,1: 129,2: 133,3: -136,total: 133,56kgmen,cleanjerk,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 2,iancu valentin-ionadi,rou,"born: jan 16, 2000",b.weight: 55.90,group: a,1: 125,2: 130,3: -133,total: 130,56kgmen,cleanjerk,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 3,luca marian-cristian,rou,"born: feb 16, 1999",b.weight: 55.95,group: a,1: 126,2: 130,3: -134,total: 130,56kgmen,cleanjerk,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 4,lungu daniel,mda,"born: oct 16, 1998",b.weight: 55.80,group: a,1: 122,2: 126,3: 130,total: 130,56kgmen,cleanjerk,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 5,mnatsakanyan hamlet,arm,"born: jul 05, 1998",b.weight: 55.95,group: a,1: -130,2: -130,3: 130,total: 130,56kgmen,cleanjerk,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
rank: 6,zalipskyi pavlo,ukr,"born: jul 13, 1998",b.weight: 56.00,group: a,1: 125,2: 128,3: -131,total: 128,56kgmen,cleanjerk,2018 EUROPEAN JUNIOR CHAMPIONSHIPS
