rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,om yun chol,prk,"born: nov 18, 1991",b.weight: 54.90,group: a,1: 120,2: -125,3: -128,total: 120,55kgmen,snatch,2018 IWF World Championships
rank: 2,chontey arli,kaz,"born: jul 01, 1992",b.weight: 54.81,group: a,1: 115,2: 118,3: 120,total: 120,55kgmen,snatch,2018 IWF World Championships
rank: 3,brachi garcia josue,esp,"born: sep 08, 1992",b.weight: 54.86,group: a,1: 115,2: -118,3: -118,total: 115,55kgmen,snatch,2018 IWF World Championships
rank: 4,kim young-ho,kor,"born: oct 09, 1996",b.weight: 54.88,group: a,1: 114,2: -118,3: -118,total: 114,55kgmen,snatch,2018 IWF World Championships
rank: 5,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 54.90,group: a,1: 110,2: 113,3: -116,total: 113,55kgmen,snatch,2018 IWF World Championships
rank: 6,sahin muammer,tur,"born: feb 05, 1994",b.weight: 55.00,group: b,1: 110,2: -114,3: -114,total: 110,55kgmen,snatch,2018 IWF World Championships
rank: 7,rusev angel hriskov,bul,"born: jul 13, 2001",b.weight: 54.84,group: a,1: 103,2: 108,3: ---,total: 108,55kgmen,snatch,2018 IWF World Championships
rank: 8,massidda sergio,ita,"born: jan 26, 2002",b.weight: 54.81,group: b,1: -105,2: 105,3: -110,total: 105,55kgmen,snatch,2018 IWF World Championships
rank: 9,guzman lopez leonardo everardo,mex,"born: dec 06, 1998",b.weight: 54.44,group: b,1: 100,2: 103,3: -106,total: 103,55kgmen,snatch,2018 IWF World Championships
rank: 10,somboon-uan thada,tha,"born: nov 03, 2000",b.weight: 54.76,group: b,1: -101,2: -101,3: 101,total: 101,55kgmen,snatch,2018 IWF World Championships
rank: ---,kwak un bom,prk,"born: oct 11, 1994",b.weight: 54.91,group: a,1: -113,2: -113,3: -113,total: ---,55kgmen,snatch,2018 IWF World Championships
rank: ---,lai gia thanh,vie,"born: may 03, 1998",b.weight: 54.72,group: a,1: -116,2: -116,3: -116,total: ---,55kgmen,snatch,2018 IWF World Championships
rank: dsq,chomchuen teerapat,tha,"born: jul 31, 2001",b.weight: 54.63,group: a,1: -105,2: -105,3: -105,total: ---,55kgmen,snatch,2018 IWF World Championships
rank: 1,om yun chol,prk,"born: nov 18, 1991",b.weight: 54.90,group: a,1: 155,2: -162,3: 162,total: 162,55kgmen,cleanjerk,2018 IWF World Championships
