rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,hirai hayato,jpn,"born: aug 08, 1994",b.weight: 60.50,group: a,1: 114,2: 120,3: 124,total: 124,61kgmen,snatch,5th International Qatar Cup
rank: 2,son igor,kaz,"born: nov 16, 1998",b.weight: 58.60,group: a,1: 110,2: 115,3: 118,total: 118,61kgmen,snatch,5th International Qatar Cup
rank: 3,oshida shin,jpn,"born: jul 29, 1994",b.weight: 60.80,group: a,1: -115,2: 115,3: -122,total: 115,61kgmen,snatch,5th International Qatar Cup
rank: 4,chontey arli,kaz,"born: jul 01, 1992",b.weight: 57.60,group: a,1: 110,2: 113,3: 115,total: 115,61kgmen,snatch,5th International Qatar Cup
rank: 1,oshida shin,jpn,"born: jul 29, 1994",b.weight: 60.80,group: a,1: 142,2: 149,3: -153,total: 149,61kgmen,cleanjerk,5th International Qatar Cup
rank: 2,son igor,kaz,"born: nov 16, 1998",b.weight: 58.60,group: a,1: 137,2: 145,3: 149,total: 149,61kgmen,cleanjerk,5th International Qatar Cup
rank: 3,hirai hayato,jpn,"born: aug 08, 1994",b.weight: 60.50,group: a,1: 144,2: -148,3: 148,total: 148,61kgmen,cleanjerk,5th International Qatar Cup
rank: 4,chontey arli,kaz,"born: jul 01, 1992",b.weight: 57.60,group: a,1: 130,2: -141,3: -141,total: 130,61kgmen,cleanjerk,5th International Qatar Cup
rank: 1,hirai hayato,jpn,"born: aug 08, 1994",b.weight: 60.50,group: a,snatch: 124,ci&jerk: 148,total: 272,,61kgmen,total,5th International Qatar Cup
rank: 2,son igor,kaz,"born: nov 16, 1998",b.weight: 58.60,group: a,snatch: 118,ci&jerk: 149,total: 267,,61kgmen,total,5th International Qatar Cup
rank: 3,oshida shin,jpn,"born: jul 29, 1994",b.weight: 60.80,group: a,snatch: 115,ci&jerk: 149,total: 264,,61kgmen,total,5th International Qatar Cup
rank: 4,chontey arli,kaz,"born: jul 01, 1992",b.weight: 57.60,group: a,snatch: 115,ci&jerk: 130,total: 245,,61kgmen,total,5th International Qatar Cup
rank: 1,ergashev adkhamjon,uzb,"born: mar 12, 1999",b.weight: 66.90,group: a,1: 134,2: 139,3: 142,total: 142,67kgmen,snatch,5th International Qatar Cup
rank: 2,kingue matam bernardin ledoux,fra,"born: may 20, 1990",b.weight: 67.00,group: a,1: 133,2: 138,3: -140,total: 138,67kgmen,snatch,5th International Qatar Cup
rank: 3,yokubov doston,uzb,"born: apr 05, 1995",b.weight: 67.00,group: a,1: 133,2: -138,3: 138,total: 138,67kgmen,snatch,5th International Qatar Cup
rank: 4,ilie ionut,rou,"born: jan 02, 1993",b.weight: 66.50,group: a,1: 121,2: 126,3: 131,total: 131,67kgmen,snatch,5th International Qatar Cup
rank: 5,kharki farkhad,kaz,"born: apr 20, 1991",b.weight: 66.90,group: a,1: -125,2: 125,3: 130,total: 130,67kgmen,snatch,5th International Qatar Cup
rank: 1,yokubov doston,uzb,"born: apr 05, 1995",b.weight: 67.00,group: a,1: 170,2: 175,3: -185,total: 175,67kgmen,cleanjerk,5th International Qatar Cup
rank: 2,kingue matam bernardin ledoux,fra,"born: may 20, 1990",b.weight: 67.00,group: a,1: -170,2: 170,3: -174,total: 170,67kgmen,cleanjerk,5th International Qatar Cup
rank: 3,ergashev adkhamjon,uzb,"born: mar 12, 1999",b.weight: 66.90,group: a,1: 163,2: 168,3: -171,total: 168,67kgmen,cleanjerk,5th International Qatar Cup
rank: 4,kharki farkhad,kaz,"born: apr 20, 1991",b.weight: 66.90,group: a,1: 155,2: 160,3: 165,total: 165,67kgmen,cleanjerk,5th International Qatar Cup
rank: 5,ilie ionut,rou,"born: jan 02, 1993",b.weight: 66.50,group: a,1: 140,2: 150,3: 159,total: 159,67kgmen,cleanjerk,5th International Qatar Cup
rank: 1,yokubov doston,uzb,"born: apr 05, 1995",b.weight: 67.00,group: a,snatch: 138,ci&jerk: 175,total: 313,,67kgmen,total,5th International Qatar Cup
