rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,somboon-uan thada,tha,"born: nov 03, 2000",b.weight: 54.85,group: a,1: 95,2: -100,3: 100,total: 100,55kgmen,snatch,EGAT's Cup International Weightlifting Championships
rank: 1,somboon-uan thada,tha,"born: nov 03, 2000",b.weight: 54.85,group: a,1: 115,2: 120,3: 125,total: 125,55kgmen,cleanjerk,EGAT's Cup International Weightlifting Championships
rank: 1,somboon-uan thada,tha,"born: nov 03, 2000",b.weight: 54.85,group: a,snatch: 100,ci&jerk: 125,total: 225,,55kgmen,total,EGAT's Cup International Weightlifting Championships
rank: 1,itokazu yoichi,jpn,"born: may 24, 1991",b.weight: 61.00,group: a,1: -128,2: 128,3: 133,total: 133,61kgmen,snatch,EGAT's Cup International Weightlifting Championships
rank: 2,baru morea,png,"born: apr 15, 1990",b.weight: 60.95,group: a,1: 115,2: 120,3: 124,total: 124,61kgmen,snatch,EGAT's Cup International Weightlifting Championships
rank: 1,itokazu yoichi,jpn,"born: may 24, 1991",b.weight: 61.00,group: a,1: 156,2: 160,3: -163,total: 160,61kgmen,cleanjerk,EGAT's Cup International Weightlifting Championships
rank: 2,baru morea,png,"born: apr 15, 1990",b.weight: 60.95,group: a,1: 152,2: 157,3: -161,total: 157,61kgmen,cleanjerk,EGAT's Cup International Weightlifting Championships
rank: 1,itokazu yoichi,jpn,"born: may 24, 1991",b.weight: 61.00,group: a,snatch: 133,ci&jerk: 160,total: 293,,61kgmen,total,EGAT's Cup International Weightlifting Championships
rank: 2,baru morea,png,"born: apr 15, 1990",b.weight: 60.95,group: a,snatch: 124,ci&jerk: 157,total: 281,,61kgmen,total,EGAT's Cup International Weightlifting Championships
rank: 1,deni,ina,"born: jul 26, 1989",b.weight: 66.90,group: a,1: 132,2: -138,3: -141,total: 132,67kgmen,snatch,EGAT's Cup International Weightlifting Championships
rank: 2,jeremy lalrinnunga,ind,"born: oct 26, 2002",b.weight: 65.10,group: a,1: 123,2: 128,3: 131,total: 131,67kgmen,snatch,EGAT's Cup International Weightlifting Championships
rank: 3,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 66.95,group: a,1: 120,2: 125,3: -128,total: 125,67kgmen,snatch,EGAT's Cup International Weightlifting Championships
