rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,garcia perez jairo luis,col,"born: aug 02, 2000",b.weight: 54.95,group: a,1: 108,2: -113,3: -113,total: 108,55kgmen,snatch,Pan-American Championships
rank: 2,joseph edouard,hai,"born: dec 24, 1989",b.weight: 55.00,group: a,1: -100,2: -104,3: ---,total: 100,55kgmen,snatch,Pan-American Championships
rank: 3,ical salazar jose fernando,gua,"born: may 16, 1999",b.weight: 54.75,group: a,1: 85,2: 90,3: 95,total: 95,55kgmen,snatch,Pan-American Championships
rank: 1,garcia perez jairo luis,col,"born: aug 02, 2000",b.weight: 54.95,group: a,1: 130,2: -135,3: 135,total: 135,55kgmen,cleanjerk,Pan-American Championships
rank: 2,ical salazar jose fernando,gua,"born: may 16, 1999",b.weight: 54.75,group: a,1: 110,2: 120,3: -125,total: 120,55kgmen,cleanjerk,Pan-American Championships
rank: ---,joseph edouard,hai,"born: dec 24, 1989",b.weight: 55.00,group: a,1: -127,2: -127,3: -127,total: ---,55kgmen,cleanjerk,Pan-American Championships
rank: 1,garcia perez jairo luis,col,"born: aug 02, 2000",b.weight: 54.95,group: a,snatch: 108,ci&jerk: 135,total: 243,,55kgmen,total,Pan-American Championships
rank: 2,ical salazar jose fernando,gua,"born: may 16, 1999",b.weight: 54.75,group: a,snatch: 95,ci&jerk: 120,total: 215,,55kgmen,total,Pan-American Championships
rank: ---,joseph edouard,hai,"born: dec 24, 1989",b.weight: 55.00,group: a,snatch: 100,ci&jerk: ---,total: ---,,55kgmen,total,Pan-American Championships
rank: 1,zurita vallejo cristhian david,ecu,"born: feb 10, 1998",b.weight: 61.00,group: a,1: 121,2: 124,3: -127,total: 124,61kgmen,snatch,Pan-American Championships
rank: 2,garcia brito luis alberto,dom,"born: apr 19, 1995",b.weight: 60.75,group: a,1: 120,2: 123,3: -125,total: 123,61kgmen,snatch,Pan-American Championships
rank: 3,onate araujo otto felix,cub,"born: jan 23, 2000",b.weight: 60.45,group: a,1: 113,2: 117,3: 121,total: 121,61kgmen,snatch,Pan-American Championships
rank: 4,calderon licourt arley lazaro,cub,"born: feb 26, 1999",b.weight: 60.60,group: a,1: 110,2: 115,3: 119,total: 119,61kgmen,snatch,Pan-American Championships
rank: 5,vazquez mendez antonio,mex,"born: aug 12, 1993",b.weight: 60.85,group: a,1: 115,2: 118,3: -122,total: 118,61kgmen,snatch,Pan-American Championships
rank: 6,guemez cel victor badur,mex,"born: jun 23, 2000",b.weight: 60.85,group: a,1: 113,2: 116,3: -119,total: 116,61kgmen,snatch,Pan-American Championships
rank: 7,vasquez morales orlando antonio,nca,"born: oct 28, 1997",b.weight: 60.70,group: a,1: 113,2: 116,3: -120,total: 116,61kgmen,snatch,Pan-American Championships
rank: 8,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 60.90,group: a,1: 108,2: -112,3: 112,total: 112,61kgmen,snatch,Pan-American Championships
rank: 9,cruz lopez dario enrique,gua,"born: aug 23, 1997",b.weight: 60.70,group: a,1: 105,2: -110,3: -110,total: 105,61kgmen,snatch,Pan-American Championships
rank: 10,salamanca pineda julio cesar,esa,"born: jul 15, 1989",b.weight: 60.95,group: a,1: 100,2: -105,3: ---,total: 100,61kgmen,snatch,Pan-American Championships
rank: 1,vazquez mendez antonio,mex,"born: aug 12, 1993",b.weight: 60.85,group: a,1: 160,2: 164,3: -170,total: 164,61kgmen,cleanjerk,Pan-American Championships
rank: 2,garcia brito luis alberto,dom,"born: apr 19, 1995",b.weight: 60.75,group: a,1: 153,2: 158,3: -161,total: 158,61kgmen,cleanjerk,Pan-American Championships
rank: 3,calderon licourt arley lazaro,cub,"born: feb 26, 1999",b.weight: 60.60,group: a,1: 145,2: 150,3: -154,total: 150,61kgmen,cleanjerk,Pan-American Championships
rank: 4,zurita vallejo cristhian david,ecu,"born: feb 10, 1998",b.weight: 61.00,group: a,1: 143,2: 146,3: 148,total: 148,61kgmen,cleanjerk,Pan-American Championships
rank: 5,guemez cel victor badur,mex,"born: jun 23, 2000",b.weight: 60.85,group: a,1: 141,2: 146,3: -149,total: 146,61kgmen,cleanjerk,Pan-American Championships
rank: 6,onate araujo otto felix,cub,"born: jan 23, 2000",b.weight: 60.45,group: a,1: 140,2: 145,3: -150,total: 145,61kgmen,cleanjerk,Pan-American Championships
rank: 7,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 60.90,group: a,1: -142,2: 142,3: -146,total: 142,61kgmen,cleanjerk,Pan-American Championships
rank: 8,cruz lopez dario enrique,gua,"born: aug 23, 1997",b.weight: 60.70,group: a,1: 130,2: 135,3: 140,total: 140,61kgmen,cleanjerk,Pan-American Championships
rank: 9,salamanca pineda julio cesar,esa,"born: jul 15, 1989",b.weight: 60.95,group: a,1: 130,2: ---,3: ---,total: 130,61kgmen,cleanjerk,Pan-American Championships
rank: ---,vasquez morales orlando antonio,nca,"born: oct 28, 1997",b.weight: 60.70,group: a,1: -143,2: -143,3: -143,total: ---,61kgmen,cleanjerk,Pan-American Championships
rank: 1,vazquez mendez antonio,mex,"born: aug 12, 1993",b.weight: 60.85,group: a,snatch: 118,ci&jerk: 164,total: 282,,61kgmen,total,Pan-American Championships
rank: 2,garcia brito luis alberto,dom,"born: apr 19, 1995",b.weight: 60.75,group: a,snatch: 123,ci&jerk: 158,total: 281,,61kgmen,total,Pan-American Championships
rank: 3,zurita vallejo cristhian david,ecu,"born: feb 10, 1998",b.weight: 61.00,group: a,snatch: 124,ci&jerk: 148,total: 272,,61kgmen,total,Pan-American Championships
rank: 4,calderon licourt arley lazaro,cub,"born: feb 26, 1999",b.weight: 60.60,group: a,snatch: 119,ci&jerk: 150,total: 269,,61kgmen,total,Pan-American Championships
rank: 5,onate araujo otto felix,cub,"born: jan 23, 2000",b.weight: 60.45,group: a,snatch: 121,ci&jerk: 145,total: 266,,61kgmen,total,Pan-American Championships
rank: 6,guemez cel victor badur,mex,"born: jun 23, 2000",b.weight: 60.85,group: a,snatch: 116,ci&jerk: 146,total: 262,,61kgmen,total,Pan-American Championships
rank: 7,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 60.90,group: a,snatch: 112,ci&jerk: 142,total: 254,,61kgmen,total,Pan-American Championships
rank: 8,cruz lopez dario enrique,gua,"born: aug 23, 1997",b.weight: 60.70,group: a,snatch: 105,ci&jerk: 140,total: 245,,61kgmen,total,Pan-American Championships
rank: 9,salamanca pineda julio cesar,esa,"born: jul 15, 1989",b.weight: 60.95,group: a,snatch: 100,ci&jerk: 130,total: 230,,61kgmen,total,Pan-American Championships
rank: ---,vasquez morales orlando antonio,nca,"born: oct 28, 1997",b.weight: 60.70,group: a,snatch: 116,ci&jerk: ---,total: ---,,61kgmen,total,Pan-American Championships
rank: 1,osorio hernandez jose luis,col,"born: mar 04, 2000",b.weight: 65.10,group: a,1: 128,2: 132,3: 135,total: 135,67kgmen,snatch,Pan-American Championships
rank: 2,munoz martinez jonathan antonio,mex,"born: nov 10, 1995",b.weight: 66.50,group: a,1: 130,2: -134,3: 134,total: 134,67kgmen,snatch,Pan-American Championships
rank: 3,wissinger jordan derek,usa,"born: apr 23, 1997",b.weight: 67.00,group: a,1: 125,2: 130,3: -133,total: 130,67kgmen,snatch,Pan-American Championships
rank: 4,bardalez tuisima luis david,per,"born: oct 03, 1995",b.weight: 66.55,group: a,1: 122,2: 126,3: 128,total: 128,67kgmen,snatch,Pan-American Championships
rank: 5,edisnel enrique corrales rondon,cub,"born: aug 06, 2001",b.weight: 66.05,group: a,1: 123,2: 127,3: -131,total: 127,67kgmen,snatch,Pan-American Championships
rank: 6,rosario garcia jean carlos,dom,"born: feb 25, 1995",b.weight: 66.45,group: a,1: 120,2: 123,3: 126,total: 126,67kgmen,snatch,Pan-American Championships
rank: 7,pineda zeta edgar ismael,gua,"born: aug 17, 1997",b.weight: 65.15,group: a,1: -125,2: 125,3: -130,total: 125,67kgmen,snatch,Pan-American Championships
rank: 8,piron candelario jhon augusto,dom,"born: apr 12, 1996",b.weight: 65.75,group: a,1: 118,2: 122,3: -125,total: 122,67kgmen,snatch,Pan-American Championships
rank: 9,mosquera valencia francisco antonio,col,"born: apr 01, 1992",b.weight: 62.95,group: a,1: 120,2: -125,3: -125,total: 120,67kgmen,snatch,Pan-American Championships
rank: 10,martinez castillo ronnier zaed,pan,"born: dec 12, 2001",b.weight: 65.10,group: a,1: 111,2: 115,3: -118,total: 115,67kgmen,snatch,Pan-American Championships
rank: 11,cruz escobar ramon ernesto,esa,"born: may 23, 1995",b.weight: 66.75,group: a,1: 110,2: -115,3: -115,total: 110,67kgmen,snatch,Pan-American Championships
rank: 1,munoz martinez jonathan antonio,mex,"born: nov 10, 1995",b.weight: 66.50,group: a,1: 160,2: 164,3: 170,total: 170,67kgmen,cleanjerk,Pan-American Championships
rank: 2,pineda zeta edgar ismael,gua,"born: aug 17, 1997",b.weight: 65.15,group: a,1: 161,2: -165,3: 165,total: 165,67kgmen,cleanjerk,Pan-American Championships
