rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: ---,kawooya huzaif,uga,"born: jan 07, 1995",b.weight: 44.13,group: a,1: 0.0,2: 0.0,3: 0.0,total: 45,50kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,sariak nafaa,alg,"born: nov 29, 1994",b.weight: 46.93,group: a,1: 0.0,2: 0.0,3: 0.0,total: 65,50kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,kawooya huzaif,uga,"born: jan 07, 1995",b.weight: 44.13,group: a,1: 0.0,2: 0.0,3: 0.0,total: 55,50kgmen,cleanjerk,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,sariak nafaa,alg,"born: nov 29, 1994",b.weight: 46.93,group: a,1: 0.0,2: 0.0,3: 0.0,total: 80,50kgmen,cleanjerk,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: 1,sariak nafaa,alg,"born: nov 29, 1994",b.weight: 46.93,group: a,snatch: 65,ci&jerk: 80,total: 145,,50kgmen,total,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: 2,kawooya huzaif,uga,"born: jan 07, 1995",b.weight: 44.13,group: a,snatch: 45,ci&jerk: 55,total: 100,,50kgmen,total,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,belhout adel,alg,"born: nov 10, 1993",b.weight: 55.35,group: a,1: 0.0,2: 0.0,3: 0.0,total: 75,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,ramela phehello john,rsa,"born: jul 25, 1993",b.weight: 55.48,group: a,1: 0.0,2: 0.0,3: 0.0,total: 79,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,moaad faraj,lba,"born: jan 01, 1994",b.weight: 54.52,group: a,1: 0.0,2: 0.0,3: 0.0,total: 75,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,phillips anrich morico,rsa,"born: oct 17, 1992",b.weight: 53.16,group: a,1: 0.0,2: 0.0,3: 0.0,total: 83,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,moussa abdella khalifa mohamed,lba,"born: jan 12, 1992",b.weight: 55.36,group: a,1: 0.0,2: 0.0,3: 0.0,total: 85,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,kasumba semei,uga,"born: oct 02, 1996",b.weight: 53.60,group: a,1: 0.0,2: 0.0,3: 0.0,total: 60,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,ahmed yahia fouad abdel azim,egy,"born: sep 01, 1992",b.weight: 55.98,group: a,1: 0.0,2: 0.0,3: 0.0,total: 93,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,bakar m. ramadhan,zan,"born: jan 01, 1993",b.weight: 53.35,group: a,1: 0.0,2: 0.0,3: 0.0,total: 50,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,ibrahim mostafa atef ahmed,egy,"born: jul 12, 1993",b.weight: 54.73,group: a,1: 0.0,2: 0.0,3: 0.0,total: 90,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,benlounes m hamed,alg,"born: jan 01, 1993",b.weight: 53.55,group: a,1: 0.0,2: 0.0,3: 0.0,total: 68,56kgmen,snatch,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
rank: ---,belhout adel,alg,"born: nov 10, 1993",b.weight: 55.35,group: a,1: 0.0,2: 0.0,3: 0.0,total: 90,56kgmen,cleanjerk,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS"
