rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,garcia perez jairo luis,col,"born: aug 02, 2000",b.weight: 54.80,group: a,1: 105,2: -110,3: ---,total: 105,55kgmen,snatch,Pan-American Junior Championships
rank: 2,viveros sanchez hector andres,col,"born: nov 14, 2000",b.weight: 54.60,group: a,1: -104,2: 104,3: -108,total: 104,55kgmen,snatch,Pan-American Junior Championships
rank: 3,sanchez gutierrez winder alejandro,ven,"born: sep 14, 2001",b.weight: 53.80,group: a,1: 102,2: -105,3: -105,total: 102,55kgmen,snatch,Pan-American Junior Championships
rank: 4,ical salazar jose fernando,gua,"born: may 16, 1999",b.weight: 54.60,group: a,1: -95,2: -95,3: 95,total: 95,55kgmen,snatch,Pan-American Junior Championships
rank: 5,michel yeison,dom,"born: jun 24, 2002",b.weight: 53.70,group: a,1: -91,2: -93,3: 93,total: 93,55kgmen,snatch,Pan-American Junior Championships
rank: 6,chubbuck john dylan,usa,"born: feb 22, 2003",b.weight: 54.80,group: a,1: 84,2: 88,3: -91,total: 88,55kgmen,snatch,Pan-American Junior Championships
rank: 7,argote castillo osmel,cub,"born: sep 07, 1999",b.weight: 54.00,group: a,1: -88,2: -88,3: 88,total: 88,55kgmen,snatch,Pan-American Junior Championships
rank: 1,sanchez gutierrez winder alejandro,ven,"born: sep 14, 2001",b.weight: 53.80,group: a,1: -130,2: -130,3: 133,total: 133,55kgmen,cleanjerk,Pan-American Junior Championships
rank: 2,garcia perez jairo luis,col,"born: aug 02, 2000",b.weight: 54.80,group: a,1: 120,2: -130,3: 132,total: 132,55kgmen,cleanjerk,Pan-American Junior Championships
rank: 3,viveros sanchez hector andres,col,"born: nov 14, 2000",b.weight: 54.60,group: a,1: -130,2: 130,3: -134,total: 130,55kgmen,cleanjerk,Pan-American Junior Championships
rank: 4,argote castillo osmel,cub,"born: sep 07, 1999",b.weight: 54.00,group: a,1: 112,2: 117,3: -120,total: 117,55kgmen,cleanjerk,Pan-American Junior Championships
rank: 5,chubbuck john dylan,usa,"born: feb 22, 2003",b.weight: 54.80,group: a,1: 110,2: 115,3: -120,total: 115,55kgmen,cleanjerk,Pan-American Junior Championships
rank: 6,michel yeison,dom,"born: jun 24, 2002",b.weight: 53.70,group: a,1: 105,2: 110,3: -113,total: 110,55kgmen,cleanjerk,Pan-American Junior Championships
rank: ---,ical salazar jose fernando,gua,"born: may 16, 1999",b.weight: 54.60,group: a,1: -121,2: -121,3: -121,total: ---,55kgmen,cleanjerk,Pan-American Junior Championships
rank: 1,garcia perez jairo luis,col,"born: aug 02, 2000",b.weight: 54.80,group: a,snatch: 105,ci&jerk: 132,total: 237,,55kgmen,total,Pan-American Junior Championships
rank: 2,sanchez gutierrez winder alejandro,ven,"born: sep 14, 2001",b.weight: 53.80,group: a,snatch: 102,ci&jerk: 133,total: 235,,55kgmen,total,Pan-American Junior Championships
rank: 3,viveros sanchez hector andres,col,"born: nov 14, 2000",b.weight: 54.60,group: a,snatch: 104,ci&jerk: 130,total: 234,,55kgmen,total,Pan-American Junior Championships
rank: 4,argote castillo osmel,cub,"born: sep 07, 1999",b.weight: 54.00,group: a,snatch: 88,ci&jerk: 117,total: 205,,55kgmen,total,Pan-American Junior Championships
rank: 5,michel yeison,dom,"born: jun 24, 2002",b.weight: 53.70,group: a,snatch: 93,ci&jerk: 110,total: 203,,55kgmen,total,Pan-American Junior Championships
rank: 6,chubbuck john dylan,usa,"born: feb 22, 2003",b.weight: 54.80,group: a,snatch: 88,ci&jerk: 115,total: 203,,55kgmen,total,Pan-American Junior Championships
rank: ---,ical salazar jose fernando,gua,"born: may 16, 1999",b.weight: 54.60,group: a,snatch: 95,ci&jerk: ---,total: ---,,55kgmen,total,Pan-American Junior Championships
rank: 1,villar manjarres estiven jose,col,"born: mar 12, 2001",b.weight: 60.30,group: a,1: 116,2: 120,3: -123,total: 120,61kgmen,snatch,Pan-American Junior Championships
rank: 2,reyes vidal jair,ecu,"born: jul 11, 2000",b.weight: 60.40,group: a,1: 111,2: 116,3: 120,total: 120,61kgmen,snatch,Pan-American Junior Championships
rank: 3,calderon licourt arley lazaro,cub,"born: feb 26, 1999",b.weight: 60.50,group: a,1: -115,2: 115,3: 119,total: 119,61kgmen,snatch,Pan-American Junior Championships
rank: 4,guemez cel victor badur,mex,"born: jun 23, 2000",b.weight: 60.80,group: a,1: 116,2: -121,3: -121,total: 116,61kgmen,snatch,Pan-American Junior Championships
rank: 5,onate araujo otto felix,cub,"born: jan 23, 2000",b.weight: 60.50,group: a,1: 115,2: -120,3: -121,total: 115,61kgmen,snatch,Pan-American Junior Championships
rank: 6,da silva thiago felix,bra,"born: dec 26, 2000",b.weight: 59.40,group: a,1: 100,2: 103,3: 105,total: 105,61kgmen,snatch,Pan-American Junior Championships
rank: 7,bauer brandon scott,usa,"born: apr 15, 1999",b.weight: 60.10,group: a,1: 95,2: 99,3: 102,total: 102,61kgmen,snatch,Pan-American Junior Championships
rank: 8,leyes jonatan martin,arg,"born: may 12, 2001",b.weight: 60.50,group: a,1: 97,2: 101,3: -104,total: 101,61kgmen,snatch,Pan-American Junior Championships
rank: 9,esquivel morales henry eduardo,gua,"born: jan 21, 2000",b.weight: 59.70,group: a,1: 91,2: -96,3: 98,total: 98,61kgmen,snatch,Pan-American Junior Championships
rank: 10,vargas samboy juan,dom,"born: jul 19, 2001",b.weight: 58.30,group: a,1: 97,2: -102,3: -102,total: 97,61kgmen,snatch,Pan-American Junior Championships
rank: 11,zielke lukas,usa,"born: feb 09, 1999",b.weight: 60.40,group: a,1: 90,2: 93,3: 96,total: 96,61kgmen,snatch,Pan-American Junior Championships
rank: 1,calderon licourt arley lazaro,cub,"born: feb 26, 1999",b.weight: 60.50,group: a,1: 145,2: 152,3: ---,total: 152,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 2,onate araujo otto felix,cub,"born: jan 23, 2000",b.weight: 60.50,group: a,1: 142,2: 147,3: 152,total: 152,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 3,guemez cel victor badur,mex,"born: jun 23, 2000",b.weight: 60.80,group: a,1: 146,2: 151,3: -155,total: 151,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 4,villar manjarres estiven jose,col,"born: mar 12, 2001",b.weight: 60.30,group: a,1: 145,2: 150,3: -154,total: 150,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 5,reyes vidal jair,ecu,"born: jul 11, 2000",b.weight: 60.40,group: a,1: 142,2: 146,3: -149,total: 146,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 6,da silva thiago felix,bra,"born: dec 26, 2000",b.weight: 59.40,group: a,1: 126,2: -132,3: 132,total: 132,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 7,esquivel morales henry eduardo,gua,"born: jan 21, 2000",b.weight: 59.70,group: a,1: 124,2: 130,3: -133,total: 130,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 8,zielke lukas,usa,"born: feb 09, 1999",b.weight: 60.40,group: a,1: 125,2: -129,3: 130,total: 130,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 9,leyes jonatan martin,arg,"born: may 12, 2001",b.weight: 60.50,group: a,1: 123,2: 128,3: -130,total: 128,61kgmen,cleanjerk,Pan-American Junior Championships
rank: 10,bauer brandon scott,usa,"born: apr 15, 1999",b.weight: 60.10,group: a,1: 122,2: 126,3: -130,total: 126,61kgmen,cleanjerk,Pan-American Junior Championships
