rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,singh ch rishikanta,ind,"born: jul 05, 1998",b.weight: 55.00,group: a,1: 100,2: 105,3: -109,total: 105,55kgmen,snatch,2019 Commonwealth Senior Championships
rank: 2,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 54.70,group: a,1: 88,2: - 93,3: 93,total: 93,55kgmen,snatch,2019 Commonwealth Senior Championships
rank: 3,shadrack walter,sol,"born: oct 06, 2000",b.weight: 54.75,group: a,1: 80,2: - 85,3: - 85,total: 80,55kgmen,snatch,2019 Commonwealth Senior Championships
rank: 4,nauari gahuna ian,png,"born: aug 05, 2002",b.weight: 54.65,group: a,1: - 80,2: 80,3: - 85,total: 80,55kgmen,snatch,2019 Commonwealth Senior Championships
rank: 5,sinaka scofield goava,png,"born: jan 21, 1998",b.weight: 53.90,group: a,1: 75,2: - 78,3: - 78,total: 75,55kgmen,snatch,2019 Commonwealth Senior Championships
rank: ---,erati kaimauri,kir,"born: jun 13, 2004",b.weight: 53.80,group: a,1: - 60,2: - 60,3: - 60,total: ---,55kgmen,snatch,2019 Commonwealth Senior Championships
rank: 1,singh ch rishikanta,ind,"born: jul 05, 1998",b.weight: 55.00,group: a,1: -125,2: 125,3: 130,total: 130,55kgmen,cleanjerk,2019 Commonwealth Senior Championships
rank: 2,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 54.70,group: a,1: 112,2: 117,3: 122,total: 122,55kgmen,cleanjerk,2019 Commonwealth Senior Championships
rank: 3,nauari gahuna ian,png,"born: aug 05, 2002",b.weight: 54.65,group: a,1: -101,2: 101,3: 108,total: 108,55kgmen,cleanjerk,2019 Commonwealth Senior Championships
rank: 4,sinaka scofield goava,png,"born: jan 21, 1998",b.weight: 53.90,group: a,1: -101,2: 101,3: 108,total: 108,55kgmen,cleanjerk,2019 Commonwealth Senior Championships
rank: 5,shadrack walter,sol,"born: oct 06, 2000",b.weight: 54.75,group: a,1: 100,2: 105,3: -109,total: 105,55kgmen,cleanjerk,2019 Commonwealth Senior Championships
rank: 6,erati kaimauri,kir,"born: jun 13, 2004",b.weight: 53.80,group: a,1: 70,2: 75,3: - 83,total: 75,55kgmen,cleanjerk,2019 Commonwealth Senior Championships
rank: 1,singh ch rishikanta,ind,"born: jul 05, 1998",b.weight: 55.00,group: a,snatch: 105,ci&jerk: 130,total: 235,,55kgmen,total,2019 Commonwealth Senior Championships
