rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,grimsland ryan henry,usa,"born: apr 03, 2002",b.weight: 66.92,group: a,1: 115,2: 121,3: -126,total: 121,67kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,molenaar yhurisen,cur,"born: may 12, 1982",b.weight: 66.77,group: a,1: 67,2: 70,3: 75,total: 75,67kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,grimsland ryan henry,usa,"born: apr 03, 2002",b.weight: 66.92,group: a,1: 150,2: 156,3: -160,total: 156,67kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,molenaar yhurisen,cur,"born: may 12, 1982",b.weight: 66.77,group: a,1: -85,2: 85,3: -90,total: 85,67kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,grimsland ryan henry,usa,"born: apr 03, 2002",b.weight: 66.92,group: a,snatch: 121,ci&jerk: 156,total: 277,,67kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,molenaar yhurisen,cur,"born: may 12, 1982",b.weight: 66.77,group: a,snatch: 75,ci&jerk: 85,total: 160,,67kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,ralph jantji,cur,"born: mar 09, 1982",b.weight: 71.87,group: a,1: 78,2: -82,3: -82,total: 78,73kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,ralph jantji,cur,"born: mar 09, 1982",b.weight: 71.87,group: a,1: 100,2: -105,3: -106,total: 100,73kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,ralph jantji,cur,"born: mar 09, 1982",b.weight: 71.87,group: a,snatch: 78,ci&jerk: 100,total: 178,,73kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,araque laertes,aru,"born: feb 17, 2003",b.weight: 85.83,group: a,1: 99,2: -103,3: 103,total: 103,89kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,araque laertes,aru,"born: feb 17, 2003",b.weight: 85.83,group: a,1: 130,2: -140,3: 143,total: 143,89kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,araque laertes,aru,"born: feb 17, 2003",b.weight: 85.83,group: a,snatch: 103,ci&jerk: 143,total: 246,,89kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,lawgun isaac charlie ng,nzl,"born: may 16, 2000",b.weight: 94.67,group: a,1: -135,2: 135,3: -140,total: 135,96kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,mccullough morgan dylan,usa,"born: aug 12, 2003",b.weight: 95.48,group: a,1: 130,2: -135,3: -135,total: 130,96kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 3,griffith daniel,bar,"born: dec 16, 1994",b.weight: 89.55,group: a,1: 108,2: -112,3: 112,total: 112,96kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,lawgun isaac charlie ng,nzl,"born: may 16, 2000",b.weight: 94.67,group: a,1: 162,2: -170,3: -171,total: 162,96kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,griffith daniel,bar,"born: dec 16, 1994",b.weight: 89.55,group: a,1: -143,2: 143,3: -148,total: 143,96kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: ---,mccullough morgan dylan,usa,"born: aug 12, 2003",b.weight: 95.48,group: a,1: -180,2: -182,3: -190,total: ---,96kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,lawgun isaac charlie ng,nzl,"born: may 16, 2000",b.weight: 94.67,group: a,snatch: 135,ci&jerk: 162,total: 297,,96kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,griffith daniel,bar,"born: dec 16, 1994",b.weight: 89.55,group: a,snatch: 112,ci&jerk: 143,total: 255,,96kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: ---,mccullough morgan dylan,usa,"born: aug 12, 2003",b.weight: 95.48,group: a,snatch: 130,ci&jerk: ---,total: ---,,96kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,taatgen mike,cur,"born: apr 06, 1994",b.weight: 100.32,group: a,1: -85,2: -85,3: 85,total: 85,102kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,taatgen mike,cur,"born: apr 06, 1994",b.weight: 100.32,group: a,1: 125,2: 130,3: -143,total: 130,102kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,taatgen mike,cur,"born: apr 06, 1994",b.weight: 100.32,group: a,snatch: 85,ci&jerk: 130,total: 215,,102kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,lydement matthew ryan,aus,"born: jan 15, 1994",b.weight: 108.34,group: a,1: 145,2: 152,3: -158,total: 152,109kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,jungblut tanumafili malietoa,asa,"born: jun 10, 1990",b.weight: 108.22,group: a,1: 135,2: 140,3: 146,total: 146,109kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 3,rosinda reynard,cur,"born: dec 17, 2001",b.weight: 107.70,group: a,1: 85,2: 95,3: 105,total: 105,109kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 4,eleonora teshawn,cur,"born: mar 17, 2003",b.weight: 104.94,group: a,1: 75,2: 80,3: -85,total: 80,109kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,lydement matthew ryan,aus,"born: jan 15, 1994",b.weight: 108.34,group: a,1: 175,2: 180,3: -185,total: 180,109kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,jungblut tanumafili malietoa,asa,"born: jun 10, 1990",b.weight: 108.22,group: a,1: 176,2: 177,3: -186,total: 177,109kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 3,rosinda reynard,cur,"born: dec 17, 2001",b.weight: 107.70,group: a,1: -110,2: 110,3: 115,total: 115,109kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 4,eleonora teshawn,cur,"born: mar 17, 2003",b.weight: 104.94,group: a,1: -85,2: 85,3: -90,total: 85,109kgmen,cleanjerk,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,lydement matthew ryan,aus,"born: jan 15, 1994",b.weight: 108.34,group: a,snatch: 152,ci&jerk: 180,total: 332,,109kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,jungblut tanumafili malietoa,asa,"born: jun 10, 1990",b.weight: 108.22,group: a,snatch: 146,ci&jerk: 177,total: 323,,109kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 3,rosinda reynard,cur,"born: dec 17, 2001",b.weight: 107.70,group: a,snatch: 105,ci&jerk: 115,total: 220,,109kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 4,eleonora teshawn,cur,"born: mar 17, 2003",b.weight: 104.94,group: a,snatch: 80,ci&jerk: 85,total: 165,,109kgmen,total,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 1,wilkes caine morgan,usa,"born: jul 10, 1987",b.weight: 144.70,group: a,1: 172,2: 180,3: -187,total: 180,+109kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
rank: 2,martirosjan sargis,aut,"born: sep 14, 1986",b.weight: 113.56,group: a,1: 170,2: 175,3: -176,total: 175,+109kgmen,snatch,2020 ROGUE Weightlifting Challenge At the Arnold Sports Festival
