rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,brachi garcia josue,esp,"born: sep 08, 1992",b.weight: 60.40,group: a,1: 117,2: 121,3: -123,total: 121,61kgmen,snatch,2021 Open Championships
rank: 2,calderon licourt arley lazaro,cub,"born: feb 26, 1999",b.weight: 60.80,group: a,1: 111,2: 115,3: -120,total: 115,61kgmen,snatch,2021 Open Championships
rank: 3,serna mendoza jhon jairo,col,"born: dec 03, 1994",b.weight: 60.90,group: a,1: 95,2: 100,3: ---,total: 100,61kgmen,snatch,2021 Open Championships
rank: 1,calderon licourt arley lazaro,cub,"born: feb 26, 1999",b.weight: 60.80,group: a,1: 141,2: 147,3: 149,total: 149,61kgmen,cleanjerk,2021 Open Championships
rank: 2,brachi garcia josue,esp,"born: sep 08, 1992",b.weight: 60.40,group: a,1: 138,2: 142,3: -146,total: 142,61kgmen,cleanjerk,2021 Open Championships
rank: 3,serna mendoza jhon jairo,col,"born: dec 03, 1994",b.weight: 60.90,group: a,1: 125,2: 130,3: ---,total: 130,61kgmen,cleanjerk,2021 Open Championships
rank: 1,calderon licourt arley lazaro,cub,"born: feb 26, 1999",b.weight: 60.80,group: a,snatch: 115,ci&jerk: 149,total: 264,,61kgmen,total,2021 Open Championships
rank: 2,brachi garcia josue,esp,"born: sep 08, 1992",b.weight: 60.40,group: a,snatch: 121,ci&jerk: 142,total: 263,,61kgmen,total,2021 Open Championships
rank: 3,serna mendoza jhon jairo,col,"born: dec 03, 1994",b.weight: 60.90,group: a,snatch: 100,ci&jerk: 130,total: 230,,61kgmen,total,2021 Open Championships
rank: 1,mosquera lozano luis javier,col,"born: mar 27, 1995",b.weight: 67.00,group: a,1: 142,2: 147,3: 150,total: 150,67kgmen,snatch,2021 Open Championships
rank: 2,pineda zeta edgar ismael,gua,"born: aug 17, 1997",b.weight: 66.80,group: a,1: 131,2: -135,3: 136,total: 136,67kgmen,snatch,2021 Open Championships
rank: 3,munoz martinez jonathan antonio,mex,"born: nov 10, 1995",b.weight: 66.90,group: a,1: 130,2: 135,3: -141,total: 135,67kgmen,snatch,2021 Open Championships
rank: 4,hernandez mendoza acoran juan,esp,"born: dec 30, 1990",b.weight: 66.70,group: a,1: 134,2: -137,3: -140,total: 134,67kgmen,snatch,2021 Open Championships
rank: 5,mosquera valencia francisco antonio,col,"born: apr 01, 1992",b.weight: 64.90,group: a,1: -125,2: 125,3: 130,total: 130,67kgmen,snatch,2021 Open Championships
rank: ---,castro marino victor,esp,"born: dec 18, 1992",b.weight: 66.80,group: a,1: -127,2: -130,3: -130,total: ---,67kgmen,snatch,2021 Open Championships
rank: 1,mosquera lozano luis javier,col,"born: mar 27, 1995",b.weight: 67.00,group: a,1: 172,2: 177,3: 180,total: 180,67kgmen,cleanjerk,2021 Open Championships
rank: 2,pineda zeta edgar ismael,gua,"born: aug 17, 1997",b.weight: 66.80,group: a,1: 162,2: -167,3: 168,total: 168,67kgmen,cleanjerk,2021 Open Championships
rank: 3,munoz martinez jonathan antonio,mex,"born: nov 10, 1995",b.weight: 66.90,group: a,1: 161,2: 166,3: -170,total: 166,67kgmen,cleanjerk,2021 Open Championships
rank: 4,mosquera valencia francisco antonio,col,"born: apr 01, 1992",b.weight: 64.90,group: a,1: 155,2: 160,3: 165,total: 165,67kgmen,cleanjerk,2021 Open Championships
rank: 5,hernandez mendoza acoran juan,esp,"born: dec 30, 1990",b.weight: 66.70,group: a,1: 160,2: -164,3: -164,total: 160,67kgmen,cleanjerk,2021 Open Championships
rank: 6,castro marino victor,esp,"born: dec 18, 1992",b.weight: 66.80,group: a,1: 150,2: 155,3: -157,total: 155,67kgmen,cleanjerk,2021 Open Championships
rank: 1,mosquera lozano luis javier,col,"born: mar 27, 1995",b.weight: 67.00,group: a,snatch: 150,ci&jerk: 180,total: 330,,67kgmen,total,2021 Open Championships
rank: 2,pineda zeta edgar ismael,gua,"born: aug 17, 1997",b.weight: 66.80,group: a,snatch: 136,ci&jerk: 168,total: 304,,67kgmen,total,2021 Open Championships
rank: 3,munoz martinez jonathan antonio,mex,"born: nov 10, 1995",b.weight: 66.90,group: a,snatch: 135,ci&jerk: 166,total: 301,,67kgmen,total,2021 Open Championships
rank: 4,mosquera valencia francisco antonio,col,"born: apr 01, 1992",b.weight: 64.90,group: a,snatch: 130,ci&jerk: 165,total: 295,,67kgmen,total,2021 Open Championships
rank: 5,hernandez mendoza acoran juan,esp,"born: dec 30, 1990",b.weight: 66.70,group: a,snatch: 134,ci&jerk: 160,total: 294,,67kgmen,total,2021 Open Championships
rank: ---,castro marino victor,esp,"born: dec 18, 1992",b.weight: 66.80,group: a,snatch: ---,ci&jerk: 155,total: ---,,67kgmen,total,2021 Open Championships
rank: 1,mayora pernia julio ruben,ven,"born: sep 02, 1996",b.weight: 72.80,group: a,1: -145,2: 145,3: 150,total: 150,73kgmen,snatch,2021 Open Championships
rank: 2,lang max richard,ger,"born: dec 06, 1992",b.weight: 73.00,group: a,1: 146,2: -150,3: 150,total: 150,73kgmen,snatch,2021 Open Championships
rank: 3,cardenas estrada jorge adan,mex,"born: apr 21, 1997",b.weight: 72.80,group: a,1: 140,2: -146,3: 147,total: 147,73kgmen,snatch,2021 Open Championships
rank: 4,beleno cogollo walter,col,"born: nov 24, 1992",b.weight: 71.10,group: a,1: 128,2: 133,3: 139,total: 139,73kgmen,snatch,2021 Open Championships
rank: 1,mayora pernia julio ruben,ven,"born: sep 02, 1996",b.weight: 72.80,group: a,1: 180,2: ---,3: ---,total: 180,73kgmen,cleanjerk,2021 Open Championships
rank: 2,lang max richard,ger,"born: dec 06, 1992",b.weight: 73.00,group: a,1: 178,2: -184,3: -184,total: 178,73kgmen,cleanjerk,2021 Open Championships
rank: 3,cardenas estrada jorge adan,mex,"born: apr 21, 1997",b.weight: 72.80,group: a,1: -170,2: 170,3: -180,total: 170,73kgmen,cleanjerk,2021 Open Championships
rank: 4,beleno cogollo walter,col,"born: nov 24, 1992",b.weight: 71.10,group: a,1: 160,2: 167,3: -172,total: 167,73kgmen,cleanjerk,2021 Open Championships
rank: 1,mayora pernia julio ruben,ven,"born: sep 02, 1996",b.weight: 72.80,group: a,snatch: 150,ci&jerk: 180,total: 330,,73kgmen,total,2021 Open Championships
rank: 2,lang max richard,ger,"born: dec 06, 1992",b.weight: 73.00,group: a,snatch: 150,ci&jerk: 178,total: 328,,73kgmen,total,2021 Open Championships
rank: 3,cardenas estrada jorge adan,mex,"born: apr 21, 1997",b.weight: 72.80,group: a,snatch: 147,ci&jerk: 170,total: 317,,73kgmen,total,2021 Open Championships
rank: 4,beleno cogollo walter,col,"born: nov 24, 1992",b.weight: 71.10,group: a,snatch: 139,ci&jerk: 167,total: 306,,73kgmen,total,2021 Open Championships
rank: 1,mendez perez arley,chi,"born: dec 31, 1993",b.weight: 81.00,group: a,1: 145,2: 150,3: 155,total: 155,81kgmen,snatch,2021 Open Championships
rank: 2,kasai takehiro,jpn,"born: nov 12, 1993",b.weight: 81.00,group: a,1: 140,2: -145,3: -145,total: 140,81kgmen,snatch,2021 Open Championships
