rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,li fabin,chn,"born: jan 15, 1993",b.weight: 60.90,group: a,1: -137,2: 137,3: 141,total: 141,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 2,irawan eko yuli,ina,"born: jul 24, 1989",b.weight: 60.80,group: a,1: 137,2: -141,3: -141,total: 137,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 3,itokazu yoichi,jpn,"born: may 24, 1991",b.weight: 60.85,group: a,1: -130,2: 130,3: 133,total: 133,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 4,son igor,kaz,"born: nov 16, 1998",b.weight: 60.25,group: a,1: 126,2: 131,3: -134,total: 131,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 5,mishvelidze shota,geo,"born: oct 18, 1994",b.weight: 60.95,group: a,1: 130,2: -134,3: -135,total: 130,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 6,alsaleem seraj abdulrahim m,ksa,"born: feb 10, 1996",b.weight: 60.90,group: a,1: 124,2: 127,3: 129,total: 129,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 7,ruiu davide,ita,"born: jun 22, 2001",b.weight: 60.90,group: a,1: 123,2: 127,3: -131,total: 127,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 8,thach kim tuan,vie,"born: jan 15, 1994",b.weight: 60.80,group: a,1: -126,2: 126,3: -130,total: 126,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 9,kao chan-hung,tpe,"born: oct 03, 1993",b.weight: 60.70,group: a,1: 125,2: -128,3: -130,total: 125,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 10,brandhuber simon josef,ger,"born: jun 27, 1991",b.weight: 61.00,group: b,1: 123,2: -127,3: -127,total: 123,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 11,garcia brito luis alberto,dom,"born: apr 19, 1995",b.weight: 60.95,group: b,1: -120,2: 120,3: -124,total: 120,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 12,baru morea,png,"born: apr 15, 1990",b.weight: 61.00,group: b,1: 113,2: -118,3: 118,total: 118,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 13,andriantsitohaina eric herman,mad,"born: jul 21, 1991",b.weight: 60.10,group: b,1: 105,2: 110,3: 114,total: 114,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 14,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 60.90,group: b,1: 100,2: 105,3: -107,total: 105,61kgmen,snatch,XXXII OLYMPIC GAMES
rank: 1,li fabin,chn,"born: jan 15, 1993",b.weight: 60.90,group: a,1: 166,2: 172,3: -178,total: 172,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 2,irawan eko yuli,ina,"born: jul 24, 1989",b.weight: 60.80,group: a,1: 165,2: -177,3: -177,total: 165,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 3,son igor,kaz,"born: nov 16, 1998",b.weight: 60.25,group: a,1: 156,2: -162,3: 163,total: 163,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 4,alsaleem seraj abdulrahim m,ksa,"born: feb 10, 1996",b.weight: 60.90,group: a,1: 159,2: -166,3: -166,total: 159,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 5,itokazu yoichi,jpn,"born: may 24, 1991",b.weight: 60.85,group: a,1: -158,2: 159,3: -162,total: 159,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 6,ruiu davide,ita,"born: jun 22, 2001",b.weight: 60.90,group: a,1: 153,2: -159,3: 159,total: 159,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 7,mishvelidze shota,geo,"born: oct 18, 1994",b.weight: 60.95,group: a,1: 155,2: -163,3: -165,total: 155,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 8,garcia brito luis alberto,dom,"born: apr 19, 1995",b.weight: 60.95,group: b,1: -154,2: -154,3: 154,total: 154,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 9,andriantsitohaina eric herman,mad,"born: jul 21, 1991",b.weight: 60.10,group: b,1: 140,2: 150,3: -154,total: 150,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 10,baru morea,png,"born: apr 15, 1990",b.weight: 61.00,group: b,1: 147,2: -153,3: -153,total: 147,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 11,brandhuber simon josef,ger,"born: jun 27, 1991",b.weight: 61.00,group: b,1: -142,2: 142,3: 145,total: 145,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 12,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 60.90,group: b,1: -130,2: 130,3: 135,total: 135,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: ---,thach kim tuan,vie,"born: jan 15, 1994",b.weight: 60.80,group: a,1: -150,2: -150,3: -153,total: ---,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: ---,kao chan-hung,tpe,"born: oct 03, 1993",b.weight: 60.70,group: a,1: -147,2: -147,3: -147,total: ---,61kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 1,li fabin,chn,"born: jan 15, 1993",b.weight: 60.90,group: a,snatch: 141,ci&jerk: 172,total: 313,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 2,irawan eko yuli,ina,"born: jul 24, 1989",b.weight: 60.80,group: a,snatch: 137,ci&jerk: 165,total: 302,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 3,son igor,kaz,"born: nov 16, 1998",b.weight: 60.25,group: a,snatch: 131,ci&jerk: 163,total: 294,,61kgmen,total,XXXII OLYMPIC GAMES
