rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,yepez penate kevin david,col,"born: nov 18, 2004",b.weight: 48.80,group: a,1: 75,2: -80,3: -80,total: 75,49kgmen,snatch,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 2,severino jimenez brayan kenhheimer,per,"born: sep 01, 2004",b.weight: 49.00,group: a,1: 66,2: 68,3: 71,total: 71,49kgmen,snatch,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 3,lockwood logan aron,usa,"born: sep 10, 2006",b.weight: 48.00,group: a,1: 65,2: 67,3: 70,total: 70,49kgmen,snatch,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 1,yepez penate kevin david,col,"born: nov 18, 2004",b.weight: 48.80,group: a,1: 95,2: 100,3: 105,total: 105,49kgmen,cleanjerk,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 2,lockwood logan aron,usa,"born: sep 10, 2006",b.weight: 48.00,group: a,1: 90,2: -93,3: -93,total: 90,49kgmen,cleanjerk,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 3,severino jimenez brayan kenhheimer,per,"born: sep 01, 2004",b.weight: 49.00,group: a,1: 85,2: -90,3: 90,total: 90,49kgmen,cleanjerk,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 1,yepez penate kevin david,col,"born: nov 18, 2004",b.weight: 48.80,group: a,snatch: 75,ci&jerk: 105,total: 180,,49kgmen,total,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 2,severino jimenez brayan kenhheimer,per,"born: sep 01, 2004",b.weight: 49.00,group: a,snatch: 71,ci&jerk: 90,total: 161,,49kgmen,total,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 3,lockwood logan aron,usa,"born: sep 10, 2006",b.weight: 48.00,group: a,snatch: 70,ci&jerk: 90,total: 160,,49kgmen,total,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 1,ek noh irving josue,mex,"born: sep 03, 2004",b.weight: 54.80,group: a,1: 89,2: -93,3: 93,total: 93,55kgmen,snatch,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 2,tun dzib adolfo angel,mex,"born: sep 23, 2004",b.weight: 54.60,group: a,1: 88,2: -92,3: -93,total: 88,55kgmen,snatch,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 3,rios chumbe nol jermis,per,"born: aug 21, 2004",b.weight: 53.90,group: a,1: 83,2: 86,3: 88,total: 88,55kgmen,snatch,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 4,gonzalez marmolejo jose eder,col,"born: feb 19, 2004",b.weight: 53.90,group: a,1: -82,2: 82,3: 87,total: 87,55kgmen,snatch,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 5,londono ramirez andres felipe,col,"born: may 17, 2006",b.weight: 52.50,group: a,1: 72,2: 76,3: 79,total: 79,55kgmen,snatch,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 1,tun dzib adolfo angel,mex,"born: sep 23, 2004",b.weight: 54.60,group: a,1: 119,2: 126,3: 130,total: 130,55kgmen,cleanjerk,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 2,ek noh irving josue,mex,"born: sep 03, 2004",b.weight: 54.80,group: a,1: 113,2: -119,3: -121,total: 113,55kgmen,cleanjerk,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 3,gonzalez marmolejo jose eder,col,"born: feb 19, 2004",b.weight: 53.90,group: a,1: 105,2: 108,3: -110,total: 108,55kgmen,cleanjerk,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 4,rios chumbe nol jermis,per,"born: aug 21, 2004",b.weight: 53.90,group: a,1: 100,2: 105,3: 108,total: 108,55kgmen,cleanjerk,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 5,londono ramirez andres felipe,col,"born: may 17, 2006",b.weight: 52.50,group: a,1: 93,2: 96,3: 100,total: 100,55kgmen,cleanjerk,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 1,tun dzib adolfo angel,mex,"born: sep 23, 2004",b.weight: 54.60,group: a,snatch: 88,ci&jerk: 130,total: 218,,55kgmen,total,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 2,ek noh irving josue,mex,"born: sep 03, 2004",b.weight: 54.80,group: a,snatch: 93,ci&jerk: 113,total: 206,,55kgmen,total,PAN-AMERICAN YOUTH CHAMPIONSHIPS
rank: 3,rios chumbe nol jermis,per,"born: aug 21, 2004",b.weight: 53.90,group: a,snatch: 88,ci&jerk: 108,total: 196,,55kgmen,total,PAN-AMERICAN YOUTH CHAMPIONSHIPS
