rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: ---,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.70,group: a,1: 0.0,2: 0.0,3: 0.0,total: 93,56kgmen,snatch,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,kelly hendry,png,"born: jan 01, 1984",b.weight: 54.60,group: a,1: 0.0,2: 0.0,3: 0.0,total: 69,56kgmen,snatch,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,guinares lou,nzl,"born: mar 18, 1990",b.weight: 55.00,group: a,1: 0.0,2: 0.0,3: 0.0,total: 80,56kgmen,snatch,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.70,group: a,1: 0.0,2: 0.0,3: 0.0,total: 126,56kgmen,cleanjerk,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,kelly hendry,png,"born: jan 01, 1984",b.weight: 54.60,group: a,1: 0.0,2: 0.0,3: 0.0,total: 90,56kgmen,cleanjerk,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,guinares lou,nzl,"born: mar 18, 1990",b.weight: 55.00,group: a,1: 0.0,2: 0.0,3: 0.0,total: 100,56kgmen,cleanjerk,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: 1,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.70,group: a,snatch: 93,ci&jerk: 126,total: 219,,56kgmen,total,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: 2,guinares lou,nzl,"born: mar 18, 1990",b.weight: 55.00,group: a,snatch: 80,ci&jerk: 100,total: 180,,56kgmen,total,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: 3,kelly hendry,png,"born: jan 01, 1984",b.weight: 54.60,group: a,snatch: 69,ci&jerk: 90,total: 159,,56kgmen,total,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,koum koum daniel,aus,"born: may 27, 1985",b.weight: 61.90,group: a,1: 0.0,2: 0.0,3: 0.0,total: 114,62kgmen,snatch,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,ideliju mesquita,tls,"born: jan 01, 1985",b.weight: 59.70,group: a,1: 0.0,2: 0.0,3: 0.0,total: 55,62kgmen,snatch,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,jack rau,nt,"born: jan 01, 1993",b.weight: 57.50,group: a,1: 0.0,2: 0.0,3: 0.0,total: 70,62kgmen,snatch,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,wak moses,png,"born: jan 01, 1986",b.weight: 60.20,group: a,1: 0.0,2: 0.0,3: 0.0,total: 73,62kgmen,snatch,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,madsen mathew fraser,nzl,"born: dec 16, 1991",b.weight: 60.70,group: a,1: 0.0,2: 0.0,3: 0.0,total: 86,62kgmen,snatch,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,koum koum daniel,aus,"born: may 27, 1985",b.weight: 61.90,group: a,1: 0.0,2: 0.0,3: 0.0,total: 146,62kgmen,cleanjerk,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
rank: ---,ideliju mesquita,tls,"born: jan 01, 1985",b.weight: 59.70,group: a,1: 0.0,2: 0.0,3: 0.0,total: 85,62kgmen,cleanjerk,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES
