rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: ---,taufa michael elborn,tga,"born: feb 05, 1993",b.weight: 56.00,group: a,1: 0.0,2: 0.0,3: 0.0,total: 70,56kgmen,snatch,2009 PACIFIC MINI GAMES
rank: ---,giannie tokitebwa,kir,"born: jan 01, 1994",b.weight: 55.16,group: a,1: 0.0,2: 0.0,3: 0.0,total: 56,56kgmen,snatch,2009 PACIFIC MINI GAMES
rank: ---,lapua lapua tuau,tuv,"born: apr 15, 1991",b.weight: 55.21,group: a,1: 0.0,2: 0.0,3: 0.0,total: 85,56kgmen,snatch,2009 PACIFIC MINI GAMES
rank: ---,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 54.68,group: a,1: 0.0,2: 0.0,3: 0.0,total: 86,56kgmen,snatch,2009 PACIFIC MINI GAMES
rank: ---,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.75,group: a,1: 0.0,2: 0.0,3: 0.0,total: 101,56kgmen,snatch,2009 PACIFIC MINI GAMES
rank: ---,taufa michael elborn,tga,"born: feb 05, 1993",b.weight: 56.00,group: a,1: 0.0,2: 0.0,3: 0.0,total: 90,56kgmen,cleanjerk,2009 PACIFIC MINI GAMES
rank: ---,giannie tokitebwa,kir,"born: jan 01, 1994",b.weight: 55.16,group: a,1: 0.0,2: 0.0,3: 0.0,total: 75,56kgmen,cleanjerk,2009 PACIFIC MINI GAMES
rank: ---,lapua lapua tuau,tuv,"born: apr 15, 1991",b.weight: 55.21,group: a,1: 0.0,2: 0.0,3: 0.0,total: 90,56kgmen,cleanjerk,2009 PACIFIC MINI GAMES
rank: ---,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 54.68,group: a,1: 0.0,2: 0.0,3: 0.0,total: 110,56kgmen,cleanjerk,2009 PACIFIC MINI GAMES
rank: ---,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.75,group: a,1: 0.0,2: 0.0,3: 0.0,total: 120,56kgmen,cleanjerk,2009 PACIFIC MINI GAMES
rank: 1,tulo manueli,fij,"born: mar 25, 1990",b.weight: 55.75,group: a,snatch: 101,ci&jerk: 120,total: 221,,56kgmen,total,2009 PACIFIC MINI GAMES
rank: 2,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 54.68,group: a,snatch: 86,ci&jerk: 110,total: 196,,56kgmen,total,2009 PACIFIC MINI GAMES
rank: 3,lapua lapua tuau,tuv,"born: apr 15, 1991",b.weight: 55.21,group: a,snatch: 85,ci&jerk: 90,total: 175,,56kgmen,total,2009 PACIFIC MINI GAMES
