rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: ---,hoang anh tuan,vie,"born: feb 12, 1985",b.weight: 55.93,group: a,1: 0.0,2: 0.0,3: 0.0,total: 125,56kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,amirul hamizan bin ibrahim,mas,"born: dec 03, 1981",b.weight: 55.93,group: a,1: 0.0,2: 0.0,3: 0.0,total: 118,56kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,pyae phyo,mya,"born: dec 14, 1989",b.weight: 55.03,group: a,1: 0.0,2: 0.0,3: 0.0,total: 119,56kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,setiadi jadi,ina,"born: feb 02, 1985",b.weight: 55.47,group: a,1: 0.0,2: 0.0,3: 0.0,total: 126,56kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,hoang anh tuan,vie,"born: feb 12, 1985",b.weight: 55.93,group: a,1: 0.0,2: 0.0,3: 0.0,total: ---,56kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,amirul hamizan bin ibrahim,mas,"born: dec 03, 1981",b.weight: 55.93,group: a,1: 0.0,2: 0.0,3: 0.0,total: 147,56kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,pyae phyo,mya,"born: dec 14, 1989",b.weight: 55.03,group: a,1: 0.0,2: 0.0,3: 0.0,total: 147,56kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,setiadi jadi,ina,"born: feb 02, 1985",b.weight: 55.47,group: a,1: 0.0,2: 0.0,3: 0.0,total: 148,56kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: 1,setiadi jadi,ina,"born: feb 02, 1985",b.weight: 55.47,group: a,snatch: 126,ci&jerk: 148,total: 274,,56kgmen,total,SOUTHEAST ASIAN GAMES
rank: 2,pyae phyo,mya,"born: dec 14, 1989",b.weight: 55.03,group: a,snatch: 119,ci&jerk: 147,total: 266,,56kgmen,total,SOUTHEAST ASIAN GAMES
rank: 3,amirul hamizan bin ibrahim,mas,"born: dec 03, 1981",b.weight: 55.93,group: a,snatch: 118,ci&jerk: 147,total: 265,,56kgmen,total,SOUTHEAST ASIAN GAMES
rank: ---,hoang anh tuan,vie,"born: feb 12, 1985",b.weight: 55.93,group: a,snatch: 125,ci&jerk: ---,total: ---,,56kgmen,total,SOUTHEAST ASIAN GAMES
rank: ---,saykham chindaphothilard,lao,"born: jun 01, 1991",b.weight: 61.25,group: a,1: 0.0,2: 0.0,3: 0.0,total: 85,62kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,jaymark perez,phi,"born: oct 17, 1986",b.weight: 61.51,group: a,1: 0.0,2: 0.0,3: 0.0,total: 100,62kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,naharudin bin mahayudin,mas,"born: jan 30, 1984",b.weight: 61.72,group: a,1: 0.0,2: 0.0,3: 0.0,total: 122,62kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,nguyen manh thang,vie,"born: feb 12, 1983",b.weight: 61.48,group: a,1: 0.0,2: 0.0,3: 0.0,total: 123,62kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,maneetong pongsak,tha,"born: may 03, 1986",b.weight: 61.82,group: a,1: 0.0,2: 0.0,3: 0.0,total: 120,62kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,irawan eko yuli,ina,"born: jul 24, 1989",b.weight: 61.66,group: a,1: 0.0,2: 0.0,3: 0.0,total: 135,62kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,saykham chindaphothilard,lao,"born: jun 01, 1991",b.weight: 61.25,group: a,1: 0.0,2: 0.0,3: 0.0,total: 112,62kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,jaymark perez,phi,"born: oct 17, 1986",b.weight: 61.51,group: a,1: 0.0,2: 0.0,3: 0.0,total: 130,62kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,naharudin bin mahayudin,mas,"born: jan 30, 1984",b.weight: 61.72,group: a,1: 0.0,2: 0.0,3: 0.0,total: 142,62kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,nguyen manh thang,vie,"born: feb 12, 1983",b.weight: 61.48,group: a,1: 0.0,2: 0.0,3: 0.0,total: 154,62kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,maneetong pongsak,tha,"born: may 03, 1986",b.weight: 61.82,group: a,1: 0.0,2: 0.0,3: 0.0,total: 158,62kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,irawan eko yuli,ina,"born: jul 24, 1989",b.weight: 61.66,group: a,1: 0.0,2: 0.0,3: 0.0,total: 165,62kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: 1,irawan eko yuli,ina,"born: jul 24, 1989",b.weight: 61.66,group: a,snatch: 135,ci&jerk: 165,total: 300,,62kgmen,total,SOUTHEAST ASIAN GAMES
rank: 2,maneetong pongsak,tha,"born: may 03, 1986",b.weight: 61.82,group: a,snatch: 120,ci&jerk: 158,total: 278,,62kgmen,total,SOUTHEAST ASIAN GAMES
rank: 3,nguyen manh thang,vie,"born: feb 12, 1983",b.weight: 61.48,group: a,snatch: 123,ci&jerk: 154,total: 277,,62kgmen,total,SOUTHEAST ASIAN GAMES
rank: 4,naharudin bin mahayudin,mas,"born: jan 30, 1984",b.weight: 61.72,group: a,snatch: 122,ci&jerk: 142,total: 264,,62kgmen,total,SOUTHEAST ASIAN GAMES
rank: 5,jaymark perez,phi,"born: oct 17, 1986",b.weight: 61.51,group: a,snatch: 100,ci&jerk: 130,total: 230,,62kgmen,total,SOUTHEAST ASIAN GAMES
rank: 6,saykham chindaphothilard,lao,"born: jun 01, 1991",b.weight: 61.25,group: a,snatch: 85,ci&jerk: 112,total: 197,,62kgmen,total,SOUTHEAST ASIAN GAMES
rank: ---,hansawong phaisan,tha,"born: oct 21, 1989",b.weight: 67.55,group: a,1: 0.0,2: 0.0,3: 0.0,total: 140,69kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,nguyen hong ngoc,vie,"born: feb 06, 1990",b.weight: 68.58,group: a,1: 0.0,2: 0.0,3: 0.0,total: 132,69kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,triyatno,ina,"born: dec 20, 1987",b.weight: 68.98,group: a,1: 0.0,2: 0.0,3: 0.0,total: 147,69kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,kyaw moe win,mya,"born: aug 15, 1989",b.weight: 67.83,group: a,1: 0.0,2: 0.0,3: 0.0,total: 137,69kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,mohd faerul talib,mas,"born: oct 10, 1986",b.weight: 68.96,group: a,1: 0.0,2: 0.0,3: 0.0,total: 138,69kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,khamphouvong vongsavang,lao,"born: may 01, 1983",b.weight: 68.24,group: a,1: 0.0,2: 0.0,3: 0.0,total: 105,69kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,jomar napolereyes,phi,"born: jul 13, 1986",b.weight: 68.26,group: a,1: 0.0,2: 0.0,3: 0.0,total: 115,69kgmen,snatch,SOUTHEAST ASIAN GAMES
rank: ---,hansawong phaisan,tha,"born: oct 21, 1989",b.weight: 67.55,group: a,1: 0.0,2: 0.0,3: 0.0,total: 180,69kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,nguyen hong ngoc,vie,"born: feb 06, 1990",b.weight: 68.58,group: a,1: 0.0,2: 0.0,3: 0.0,total: ---,69kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,triyatno,ina,"born: dec 20, 1987",b.weight: 68.98,group: a,1: 0.0,2: 0.0,3: 0.0,total: 179,69kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
rank: ---,kyaw moe win,mya,"born: aug 15, 1989",b.weight: 67.83,group: a,1: 0.0,2: 0.0,3: 0.0,total: 166,69kgmen,cleanjerk,SOUTHEAST ASIAN GAMES
