rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,qalibau samisoni,fij,"born: jan 03, 1997",b.weight: 48.70,group: a,1: 40,2: 46,3: 51,total: 51,50kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 2,oala fred karoho,png,"born: sep 12, 1996",b.weight: 47.80,group: a,1: 45,2: 50,3: -52,total: 50,50kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 3,bucknell william,fij,"born: nov 12, 1995",b.weight: 47.60,group: a,1: 40,2: 45,3: -50,total: 45,50kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 4,kari andrew,png,"born: jan 01, 1997",b.weight: 40.80,group: a,1: 30,2: 35,3: -38,total: 35,50kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 5,moss cameron,nzl,"born: apr 17, 1997",b.weight: 41.40,group: a,1: 31,2: 34,3: -38,total: 34,50kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 1,qalibau samisoni,fij,"born: jan 03, 1997",b.weight: 48.70,group: a,1: 53,2: 58,3: 65,total: 65,50kgmen,cleanjerk,OCEANIA YOUTH CHAMPIONSHIPS
rank: 2,oala fred karoho,png,"born: sep 12, 1996",b.weight: 47.80,group: a,1: 55,2: 60,3: 63,total: 63,50kgmen,cleanjerk,OCEANIA YOUTH CHAMPIONSHIPS
rank: 3,bucknell william,fij,"born: nov 12, 1995",b.weight: 47.60,group: a,1: 53,2: 60,3: -65,total: 60,50kgmen,cleanjerk,OCEANIA YOUTH CHAMPIONSHIPS
rank: 4,moss cameron,nzl,"born: apr 17, 1997",b.weight: 41.40,group: a,1: 40,2: 45,3: 47,total: 47,50kgmen,cleanjerk,OCEANIA YOUTH CHAMPIONSHIPS
rank: 5,kari andrew,png,"born: jan 01, 1997",b.weight: 40.80,group: a,1: 35,2: 40,3: 45,total: 45,50kgmen,cleanjerk,OCEANIA YOUTH CHAMPIONSHIPS
rank: 1,qalibau samisoni,fij,"born: jan 03, 1997",b.weight: 48.70,group: a,snatch: 51,ci&jerk: 65,total: 116,,50kgmen,total,OCEANIA YOUTH CHAMPIONSHIPS
rank: 2,oala fred karoho,png,"born: sep 12, 1996",b.weight: 47.80,group: a,snatch: 50,ci&jerk: 63,total: 113,,50kgmen,total,OCEANIA YOUTH CHAMPIONSHIPS
rank: 3,bucknell william,fij,"born: nov 12, 1995",b.weight: 47.60,group: a,snatch: 45,ci&jerk: 60,total: 105,,50kgmen,total,OCEANIA YOUTH CHAMPIONSHIPS
rank: 4,moss cameron,nzl,"born: apr 17, 1997",b.weight: 41.40,group: a,snatch: 34,ci&jerk: 47,total: 81,,50kgmen,total,OCEANIA YOUTH CHAMPIONSHIPS
rank: 5,kari andrew,png,"born: jan 01, 1997",b.weight: 40.80,group: a,snatch: 35,ci&jerk: 45,total: 80,,50kgmen,total,OCEANIA YOUTH CHAMPIONSHIPS
rank: 1,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.90,group: a,1: -87,2: 87,3: -95,total: 87,56kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 2,morea lahui,png,"born: nov 17, 1996",b.weight: 50.40,group: a,1: 35,2: -40,3: -40,total: 35,56kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 3,morea ignatius,png,"born: aug 27, 1995",b.weight: 50.60,group: a,1: 30,2: 35,3: -40,total: 35,56kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 1,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.90,group: a,1: 110,2: 115,3: -120,total: 115,56kgmen,cleanjerk,OCEANIA YOUTH CHAMPIONSHIPS
rank: 2,morea ignatius,png,"born: aug 27, 1995",b.weight: 50.60,group: a,1: 40,2: 45,3: 50,total: 50,56kgmen,cleanjerk,OCEANIA YOUTH CHAMPIONSHIPS
rank: 3,morea lahui,png,"born: nov 17, 1996",b.weight: 50.40,group: a,1: 35,2: 40,3: -45,total: 40,56kgmen,cleanjerk,OCEANIA YOUTH CHAMPIONSHIPS
rank: 1,brechtefeld elson edward,nru,"born: mar 02, 1994",b.weight: 55.90,group: a,snatch: 87,ci&jerk: 115,total: 202,,56kgmen,total,OCEANIA YOUTH CHAMPIONSHIPS
rank: 2,morea ignatius,png,"born: aug 27, 1995",b.weight: 50.60,group: a,snatch: 35,ci&jerk: 50,total: 85,,56kgmen,total,OCEANIA YOUTH CHAMPIONSHIPS
rank: 3,morea lahui,png,"born: nov 17, 1996",b.weight: 50.40,group: a,snatch: 35,ci&jerk: 40,total: 75,,56kgmen,total,OCEANIA YOUTH CHAMPIONSHIPS
rank: 1,rau jack,aus,"born: sep 09, 1993",b.weight: 60.40,group: a,1: 77,2: 82,3: -85,total: 82,62kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 2,taufa michael elborn,tga,"born: feb 05, 1993",b.weight: 61.10,group: a,1: 75,2: 80,3: -85,total: 80,62kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: 3,pesaleli bob,sam,"born: feb 05, 1993",b.weight: 61.80,group: a,1: -80,2: 80,3: -85,total: 80,62kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
rank: ---,vira simioni,fij,"born: jul 01, 1994",b.weight: 60.90,group: a,1: -46,2: -46,3: -46,total: ---,62kgmen,snatch,OCEANIA YOUTH CHAMPIONSHIPS
