rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 49.42,group: a,1: 86,2: 87,3: 93,total: 93,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 2,seyidov mahammad,aze,"born: mar 07, 1995",b.weight: 49.26,group: a,1: 80,2: - 84,3: 85,total: 85,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 3,kocum kadir,tur,"born: jan 22, 1993",b.weight: 49.82,group: a,1: 77,2: 80,3: - 83,total: 80,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 4,ibrahimli pasha,aze,"born: jun 18, 1995",b.weight: 49.72,group: a,1: 75,2: - 78,3: 78,total: 78,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 5,di giusto michael,ita,"born: feb 16, 1995",b.weight: 49.42,group: a,1: 70,2: - 75,3: 76,total: 76,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 6,chirlejean daniel aurelian,rou,"born: jun 16, 1994",b.weight: 49.64,group: a,1: - 72,2: 72,3: 76,total: 76,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 7,yilmaz okan,tur,"born: feb 10, 1994",b.weight: 49.68,group: a,1: - 76,2: 76,3: - 79,total: 76,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 8,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 49.08,group: a,1: 70,2: 74,3: - 76,total: 74,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 9,rimkus tomas,ltu,"born: apr 21, 1996",b.weight: 49.46,group: a,1: 56,2: 58,3: 60,total: 60,50kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 1,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 49.42,group: a,1: 108,2: 114,3: -116,total: 114,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 2,seyidov mahammad,aze,"born: mar 07, 1995",b.weight: 49.26,group: a,1: 98,2: 105,3: -109,total: 105,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 3,chirlejean daniel aurelian,rou,"born: jun 16, 1994",b.weight: 49.64,group: a,1: 95,2: 99,3: 102,total: 102,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 4,yilmaz okan,tur,"born: feb 10, 1994",b.weight: 49.68,group: a,1: - 94,2: 94,3: 101,total: 101,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 5,ibrahimli pasha,aze,"born: jun 18, 1995",b.weight: 49.72,group: a,1: 95,2: 98,3: -101,total: 98,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 6,di giusto michael,ita,"born: feb 16, 1995",b.weight: 49.42,group: a,1: 90,2: 96,3: -101,total: 96,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 7,kocum kadir,tur,"born: jan 22, 1993",b.weight: 49.82,group: a,1: 92,2: - 96,3: - 97,total: 92,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 8,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 49.08,group: a,1: 86,2: - 90,3: - 90,total: 86,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 9,rimkus tomas,ltu,"born: apr 21, 1996",b.weight: 49.46,group: a,1: 72,2: 75,3: 77,total: 77,50kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 1,croitoru florin ionut,rou,"born: aug 25, 1993",b.weight: 49.42,group: a,snatch: 93,ci&jerk: 114,total: 207,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 2,seyidov mahammad,aze,"born: mar 07, 1995",b.weight: 49.26,group: a,snatch: 85,ci&jerk: 105,total: 190,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 3,chirlejean daniel aurelian,rou,"born: jun 16, 1994",b.weight: 49.64,group: a,snatch: 76,ci&jerk: 102,total: 178,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 4,yilmaz okan,tur,"born: feb 10, 1994",b.weight: 49.68,group: a,snatch: 76,ci&jerk: 101,total: 177,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 5,ibrahimli pasha,aze,"born: jun 18, 1995",b.weight: 49.72,group: a,snatch: 78,ci&jerk: 98,total: 176,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 6,di giusto michael,ita,"born: feb 16, 1995",b.weight: 49.42,group: a,snatch: 76,ci&jerk: 96,total: 172,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 7,kocum kadir,tur,"born: jan 22, 1993",b.weight: 49.82,group: a,snatch: 80,ci&jerk: 92,total: 172,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 8,scarantino mirco,ita,"born: jan 16, 1995",b.weight: 49.08,group: a,snatch: 74,ci&jerk: 86,total: 160,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 9,rimkus tomas,ltu,"born: apr 21, 1996",b.weight: 49.46,group: a,snatch: 60,ci&jerk: 77,total: 137,,50kgmen,total,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 1,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.92,group: a,1: 100,2: 105,3: ---,total: 105,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 2,mishvelidze shota,geo,"born: oct 18, 1994",b.weight: 55.38,group: a,1: 98,2: 100,3: 103,total: 103,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 3,klim ivan,blr,"born: jan 07, 1994",b.weight: 55.94,group: a,1: 94,2: - 99,3: 100,total: 100,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 4,sooky gergely zoltan,hun,"born: sep 19, 1993",b.weight: 55.32,group: a,1: 95,2: - 98,3: 99,total: 99,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 5,zerebkovs artjoms,lat,"born: oct 05, 1993",b.weight: 55.64,group: a,1: 94,2: - 99,3: 99,total: 99,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 6,aligulizada elkhan,aze,"born: feb 04, 1995",b.weight: 55.42,group: a,1: 85,2: 90,3: 95,total: 95,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 7,kardes sevket,tur,"born: jan 05, 1993",b.weight: 55.68,group: b,1: 86,2: 90,3: 92,total: 92,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 8,mihai florin iulian,rou,"born: jan 12, 1994",b.weight: 55.34,group: a,1: 88,2: 91,3: - 93,total: 91,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 9,lorinczi istvan,rou,"born: jun 19, 1993",b.weight: 55.48,group: a,1: 90,2: - 95,3: - 96,total: 90,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 10,avdiraj romario,alb,"born: feb 03, 1994",b.weight: 55.66,group: b,1: 90,2: - 95,3: - 95,total: 90,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 11,pichler christoph,ger,"born: may 22, 1993",b.weight: 55.72,group: a,1: 85,2: 88,3: - 90,total: 88,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 12,gorzelniak kacper,pol,"born: aug 25, 1994",b.weight: 55.98,group: a,1: 85,2: 88,3: - 90,total: 88,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 13,nunez navarro daniel,esp,"born: jul 01, 1993",b.weight: 55.46,group: b,1: 85,2: - 90,3: - 90,total: 85,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 14,garcia ferrer ismael,esp,"born: jul 06, 1993",b.weight: 55.64,group: b,1: 80,2: - 84,3: 84,total: 84,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 15,scholte phillipp,ger,"born: mar 30, 1993",b.weight: 55.56,group: a,1: 79,2: 81,3: 83,total: 83,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 16,cserga david,cze,"born: mar 17, 1994",b.weight: 54.86,group: b,1: 81,2: - 84,3: - 84,total: 81,56kgmen,snatch,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 1,margaryan smbat,arm,"born: mar 17, 1993",b.weight: 55.92,group: a,1: 135,2: -149,3: -149,total: 135,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 2,zerebkovs artjoms,lat,"born: oct 05, 1993",b.weight: 55.64,group: a,1: 122,2: 127,3: 130,total: 130,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 3,mishvelidze shota,geo,"born: oct 18, 1994",b.weight: 55.38,group: a,1: 122,2: 125,3: -128,total: 125,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 4,aligulizada elkhan,aze,"born: feb 04, 1995",b.weight: 55.42,group: a,1: 112,2: 117,3: 122,total: 122,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 5,sooky gergely zoltan,hun,"born: sep 19, 1993",b.weight: 55.32,group: a,1: 115,2: 120,3: -126,total: 120,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 6,scholte phillipp,ger,"born: mar 30, 1993",b.weight: 55.56,group: a,1: 114,2: 119,3: -123,total: 119,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 7,avdiraj romario,alb,"born: feb 03, 1994",b.weight: 55.66,group: b,1: 111,2: 116,3: -120,total: 116,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 8,klim ivan,blr,"born: jan 07, 1994",b.weight: 55.94,group: a,1: 115,2: -120,3: -122,total: 115,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 9,gorzelniak kacper,pol,"born: aug 25, 1994",b.weight: 55.98,group: a,1: 108,2: 112,3: 114,total: 114,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 10,pichler christoph,ger,"born: may 22, 1993",b.weight: 55.72,group: a,1: 106,2: 111,3: 113,total: 113,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 11,nunez navarro daniel,esp,"born: jul 01, 1993",b.weight: 55.46,group: b,1: 105,2: 110,3: -115,total: 110,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 12,lorinczi istvan,rou,"born: jun 19, 1993",b.weight: 55.48,group: a,1: 105,2: 110,3: -114,total: 110,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 13,kardes sevket,tur,"born: jan 05, 1993",b.weight: 55.68,group: b,1: 101,2: 105,3: -110,total: 105,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: 14,garcia ferrer ismael,esp,"born: jul 06, 1993",b.weight: 55.64,group: b,1: 98,2: -102,3: -102,total: 98,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: ---,mihai florin iulian,rou,"born: jan 12, 1994",b.weight: 55.34,group: a,1: ---,2: ---,3: ---,total: ---,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
rank: ---,cserga david,cze,"born: mar 17, 1994",b.weight: 54.86,group: b,1: -102,2: -102,3: -102,total: ---,56kgmen,cleanjerk,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE
