rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,mutlu halil,tur,"born: jul 14, 1973",b.weight: 55.66,group: a,1: 130,2: -135,3: 135,total: 135,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 2,lan shizhang,chn,"born: feb 09, 1974",b.weight: 55.85,group: a,1: 122.5,2: 127.5,3: -130,total: 127.5,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 3,vargas william trujillo,cub,"born: sep 17, 1970",b.weight: 55.94,group: a,1: 127.5,2: -130,3: -132.5,total: 127.5,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 4,ivanov ivan,bul,"born: jan 01, 1971",b.weight: 55.86,group: a,1: 122.5,2: -127.5,3: -127.5,total: 122.5,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 5,ciharean traian,rou,"born: jul 13, 1969",b.weight: 55.87,group: a,1: 115,2: 120,3: -122.5,total: 120,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 6,jigau adrian ioan,rou,"born: jan 06, 1970",b.weight: 55.79,group: a,1: 117.5,2: -122.5,3: -122.5,total: 117.5,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 7,tancsics laszlo,hun,"born: may 19, 1978",b.weight: 55.18,group: a,1: 110,2: 115,3: -117.5,total: 115,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 8,bonnel eric,fra,"born: aug 18, 1974",b.weight: 55.50,group: a,1: -110,2: 110,3: -115,total: 110,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 9,hemid ali mohamed,egy,"born: jan 01, 1971",b.weight: 55.81,group: a,1: 102.5,2: 107.5,3: 110,total: 110,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 10,notomi toshiyuki,jpn,"born: jun 15, 1971",b.weight: 55.28,group: a,1: -105,2: 105,3: 107.5,total: 107.5,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 11,lagace francois,can,"born: oct 13, 1971",b.weight: 55.62,group: a,1: 95,2: 100,3: 102.5,total: 102.5,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 12,benami nafaa,alg,"born: nov 08, 1974",b.weight: 54.24,group: a,1: 90,2: -100,3: 100,total: 100,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 13,ponchard michael,fra,"born: may 27, 1978",b.weight: 55.69,group: a,1: 95,2: -100,3: -100,total: 95,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
rank: 14,shavalov anatoli,isr,"born: jan 01, 1977",b.weight: 55.83,group: a,1: 95,2: -100,3: -100,total: 95,56kgmen,snatch,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS
