rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 1,suarez y. daniela,ven,"born: jan 01, 1992",b.weight: 47.20,group: a,1: 55,2: 58,3: 60,total: 60,48kgwomen,snatch,
rank: 2,garcia dunia,cub,"born: jan 01, 1990",b.weight: 47.10,group: a,1: 50,2: 53,3: -55,total: 53,48kgwomen,snatch,
rank: 1,suarez y. daniela,ven,"born: jan 01, 1992",b.weight: 47.20,group: a,1: 70,2: 76,3: -80,total: 76,48kgwomen,cleanjerk,
rank: 2,garcia dunia,cub,"born: jan 01, 1990",b.weight: 47.10,group: a,1: 62,2: 65,3: 68,total: 68,48kgwomen,cleanjerk,
rank: 1,suarez y. daniela,ven,"born: jan 01, 1992",b.weight: 47.20,group: a,snatch: 60,ci&jerk: 76,total: 136,,48kgwomen,total,
rank: 2,garcia dunia,cub,"born: jan 01, 1990",b.weight: 47.10,group: a,snatch: 53,ci&jerk: 68,total: 121,,48kgwomen,total,
rank: 1,rosas e. sandra,ecu,"born: jan 01, 1976",b.weight: 52.85,group: a,1: 70,2: 73,3: 75,total: 75,53kgwomen,snatch,
rank: 2,guerrero s. mara,ven,"born: jan 01, 1990",b.weight: 52.50,group: a,1: 62,2: 65,3: 67,total: 67,53kgwomen,snatch,
rank: 3,valdespino delgado sayli de la caridad,cub,"born: dec 08, 1992",b.weight: 52.70,group: a,1: 54,2: 58,3: 61,total: 61,53kgwomen,snatch,
rank: 1,rosas e. sandra,ecu,"born: jan 01, 1976",b.weight: 52.85,group: a,1: 85,2: 90,3: -93,total: 90,53kgwomen,cleanjerk,
rank: 2,guerrero s. mara,ven,"born: jan 01, 1990",b.weight: 52.50,group: a,1: -78,2: 78,3: 82,total: 82,53kgwomen,cleanjerk,
rank: 3,valdespino delgado sayli de la caridad,cub,"born: dec 08, 1992",b.weight: 52.70,group: a,1: 73,2: -78,3: -79,total: 73,53kgwomen,cleanjerk,
rank: 1,rosas e. sandra,ecu,"born: jan 01, 1976",b.weight: 52.85,group: a,snatch: 75,ci&jerk: 90,total: 165,,53kgwomen,total,
rank: 2,guerrero s. mara,ven,"born: jan 01, 1990",b.weight: 52.50,group: a,snatch: 67,ci&jerk: 82,total: 149,,53kgwomen,total,
rank: 3,valdespino delgado sayli de la caridad,cub,"born: dec 08, 1992",b.weight: 52.70,group: a,snatch: 61,ci&jerk: 73,total: 134,,53kgwomen,total,
