rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,BERNA GONZALEZ Carlos Andres,COL,"Jan 21, 1990",55.70,A,0.0,0.0,0.0,114,56kgMen,Snatch,105,True
---,ALVAREZ BOULET Sergio,CUB,"Oct 11, 1979",55.80,A,0.0,0.0,0.0,116,56kgMen,Snatch,105,True
---,CASTELLANO Victor,VEN,"Mar 23, 1976",55.90,A,0.0,0.0,0.0,105,56kgMen,Snatch,105,True
---,PEC Tunche Wellinton,GUA,"Dec 01, 1987",55.00,A,0.0,0.0,0.0,95,56kgMen,Snatch,105,True
---,ARCE ARROYO Carlos Alfredo,ECU,"Oct 14, 1990",55.80,A,0.0,0.0,0.0,97,56kgMen,Snatch,105,True
---,VILLEGAS Edward,VEN,"May 03, 1990",56.00,A,0.0,0.0,0.0,100,56kgMen,Snatch,105,True
---,ACEITUNO Hector,GUA,"Nov 25, 1982",55.55,A,0.0,0.0,0.0,95,56kgMen,Snatch,105,True
---,MATIAS Miro,ARG,"Dec 03, 1988",55.85,A,0.0,0.0,0.0,90,56kgMen,Snatch,105,True
---,PRECIADO German,PAN,"Nov 03, 1976",55.95,A,0.0,0.0,0.0,82,56kgMen,Snatch,105,True
---,ACOSTA Mauro Raul,URU,"Jan 31, 1989",55.20,A,0.0,0.0,0.0,81,56kgMen,Snatch,105,True
---,ARTOLA Franklin,NCA,"Apr 24, 1990",55.70,A,0.0,0.0,0.0,76,56kgMen,Snatch,105,True
---,LOPEZ AQUINO Marvin,ESA,"Sep 14, 1980",55.40,A,0.0,0.0,0.0,108,56kgMen,Snatch,105,True
---,PENA FERRERAS Ronald Ricardo,DOM,"Nov 01, 1981",55.80,A,0.0,0.0,0.0,112,56kgMen,Snatch,105,True
---,MONTES GONGORA Jose Lino,MEX,"Apr 18, 1989",55.65,A,0.0,0.0,0.0,108,56kgMen,Snatch,105,True
---,DE LAS SALAS DE LA ROSA Habib,COL,"Apr 19, 1987",55.70,A,0.0,0.0,0.0,113,56kgMen,Snatch,105,True
---,SALAMANCA PINEDA Julio Cesar,ESA,"Jul 15, 1989",55.85,A,0.0,0.0,0.0,111,56kgMen,Snatch,105,True
---,BERNA GONZALEZ Carlos Andres,COL,"Jan 21, 1990",55.70,A,0.0,0.0,0.0,149,56kgMen,CleanJerk,105,True
---,ALVAREZ BOULET Sergio,CUB,"Oct 11, 1979",55.80,A,0.0,0.0,0.0,151,56kgMen,CleanJerk,105,True
---,CASTELLANO Victor,VEN,"Mar 23, 1976",55.90,A,0.0,0.0,0.0,130,56kgMen,CleanJerk,105,True
---,PEC Tunche Wellinton,GUA,"Dec 01, 1987",55.00,A,0.0,0.0,0.0,130,56kgMen,CleanJerk,105,True
---,ARCE ARROYO Carlos Alfredo,ECU,"Oct 14, 1990",55.80,A,0.0,0.0,0.0,126,56kgMen,CleanJerk,105,True
---,VILLEGAS Edward,VEN,"May 03, 1990",56.00,A,0.0,0.0,0.0,123,56kgMen,CleanJerk,105,True
---,ACEITUNO Hector,GUA,"Nov 25, 1982",55.55,A,0.0,0.0,0.0,125,56kgMen,CleanJerk,105,True
---,MATIAS Miro,ARG,"Dec 03, 1988",55.85,A,0.0,0.0,0.0,115,56kgMen,CleanJerk,105,True
---,PRECIADO German,PAN,"Nov 03, 1976",55.95,A,0.0,0.0,0.0,110,56kgMen,CleanJerk,105,True
---,ACOSTA Mauro Raul,URU,"Jan 31, 1989",55.20,A,0.0,0.0,0.0,101,56kgMen,CleanJerk,105,True
---,ARTOLA Franklin,NCA,"Apr 24, 1990",55.70,A,0.0,0.0,0.0,95,56kgMen,CleanJerk,105,True
---,LOPEZ AQUINO Marvin,ESA,"Sep 14, 1980",55.40,A,0.0,0.0,0.0,---,56kgMen,CleanJerk,105,True
---,PENA FERRERAS Ronald Ricardo,DOM,"Nov 01, 1981",55.80,A,0.0,0.0,0.0,130,56kgMen,CleanJerk,105,True
---,MONTES GONGORA Jose Lino,MEX,"Apr 18, 1989",55.65,A,0.0,0.0,0.0,148,56kgMen,CleanJerk,105,True
---,DE LAS SALAS DE LA ROSA Habib,COL,"Apr 19, 1987",55.70,A,0.0,0.0,0.0,142,56kgMen,CleanJerk,105,True
---,SALAMANCA PINEDA Julio Cesar,ESA,"Jul 15, 1989",55.85,A,0.0,0.0,0.0,142,56kgMen,CleanJerk,105,True
1,ALVAREZ BOULET Sergio,CUB,"Oct 11, 1979",55.80,A,116,151,267,,56kgMen,Total,105,True
2,BERNA GONZALEZ Carlos Andres,COL,"Jan 21, 1990",55.70,A,114,149,263,,56kgMen,Total,105,True
3,MONTES GONGORA Jose Lino,MEX,"Apr 18, 1989",55.65,A,108,148,256,,56kgMen,Total,105,True
4,DE LAS SALAS DE LA ROSA Habib,COL,"Apr 19, 1987",55.70,A,113,142,255,,56kgMen,Total,105,True
5,SALAMANCA PINEDA Julio Cesar,ESA,"Jul 15, 1989",55.85,A,111,142,253,,56kgMen,Total,105,True
6,PENA FERRERAS Ronald Ricardo,DOM,"Nov 01, 1981",55.80,A,112,130,242,,56kgMen,Total,105,True
7,CASTELLANO Victor,VEN,"Mar 23, 1976",55.90,A,105,130,235,,56kgMen,Total,105,True
8,PEC Tunche Wellinton,GUA,"Dec 01, 1987",55.00,A,95,130,225,,56kgMen,Total,105,True
9,ARCE ARROYO Carlos Alfredo,ECU,"Oct 14, 1990",55.80,A,97,126,223,,56kgMen,Total,105,True
10,VILLEGAS Edward,VEN,"May 03, 1990",56.00,A,100,123,223,,56kgMen,Total,105,True
11,ACEITUNO Hector,GUA,"Nov 25, 1982",55.55,A,95,125,220,,56kgMen,Total,105,True
12,MATIAS Miro,ARG,"Dec 03, 1988",55.85,A,90,115,205,,56kgMen,Total,105,True
13,PRECIADO German,PAN,"Nov 03, 1976",55.95,A,82,110,192,,56kgMen,Total,105,True
14,ACOSTA Mauro Raul,URU,"Jan 31, 1989",55.20,A,81,101,182,,56kgMen,Total,105,True
15,ARTOLA Franklin,NCA,"Apr 24, 1990",55.70,A,76,95,171,,56kgMen,Total,105,True
---,LOPEZ AQUINO Marvin,ESA,"Sep 14, 1980",55.40,A,108,---,---,,56kgMen,Total,105,True
---,BATISTA Ivan,PAN,"Aug 01, 1988",61.50,A,0.0,0.0,0.0,105,62kgMen,Snatch,105,True
---,LORENZO PEREZ Julian Alberto,GUA,"Jun 18, 1989",61.60,A,0.0,0.0,0.0,101,62kgMen,Snatch,105,True
---,PACHECO MORALES Ovidio Antonio,ESA,"Jan 30, 1989",61.50,A,0.0,0.0,0.0,95,62kgMen,Snatch,105,True
---,OLMEDO ALVAREZ Ruben Alexis,PUR,"Mar 22, 1984",60.60,A,0.0,0.0,0.0,100,62kgMen,Snatch,105,True
---,ITURRA Jaime Iturra,CHI,"Mar 29, 1982",62.00,A,0.0,0.0,0.0,117,62kgMen,Snatch,105,True
---,RODRIGUEZ GARCIA Reynaldo,DOM,"Jan 09, 1987",61.55,A,0.0,0.0,0.0,120,62kgMen,Snatch,105,True
---,REYNA LOMAS Edison Gabriel,ECU,"Jan 25, 1986",61.90,A,0.0,0.0,0.0,118,62kgMen,Snatch,105,True
---,PEGUERO Jose Alberto,DOM,"Sep 14, 1988",61.75,A,0.0,0.0,0.0,119,62kgMen,Snatch,105,True
---,LOPEZ SANCHEZ Jesus Antonio,VEN,"Dec 17, 1984",62.00,A,0.0,0.0,0.0,125,62kgMen,Snatch,105,True
---,SALAZAR QUINTERO Diego Fernando,COL,"Oct 03, 1980",61.80,A,0.0,0.0,0.0,133,62kgMen,Snatch,105,True
---,PENA Heyson,NCA,"May 24, 1985",61.30,A,0.0,0.0,0.0,85,62kgMen,Snatch,105,True
---,HERNANDEZ CARDENAS Alex Francisco,GUA,"Jan 25, 1986",60.65,A,0.0,0.0,0.0,---,62kgMen,Snatch,105,True
