rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,DEY Sukhen,IND,"Mar 28, 1989",55.36,A,-102,102,106,106,56kgMen,Snatch,124,True
2,TULO Manueli,FIJ,"Mar 25, 1990",55.92,A,102,-106,106,106,56kgMen,Snatch,124,True
3,VALLURI Srinavasa Rao,IND,"Oct 20, 1981",55.96,A,-100,100,104,104,56kgMen,Snatch,124,True
4,CHINCHWADE Ranjit Kalgonda,IND,"Apr 28, 1991",55.40,A,95,100,-102,100,56kgMen,Snatch,124,True
5,MOKHTAR Mohamad Anas Malik Bin,MAS,"Jul 24, 1994",55.78,A,95,98,-100,98,56kgMen,Snatch,124,True
6,SAHU Susant,IND,"May 18, 1991",55.74,A,90,94,96,96,56kgMen,Snatch,124,True
7,AINE UDDIN Mohammad,BAN,"Mar 25, 1994",55.12,A,90,93,95,95,56kgMen,Snatch,124,True
8,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.74,A,92,95,- 98,95,56kgMen,Snatch,124,True
9,ZULHELMI Bin Md Pisol,MAS,"Aug 22, 1993",55.94,A,90,95,- 98,95,56kgMen,Snatch,124,True
10,MALI Ganesh Chandrakant,IND,"May 14, 1993",55.84,A,86,- 90,90,90,56kgMen,Snatch,124,True
11,CHETIA Apurba,IND,"May 06, 1994",55.54,A,83,88,- 91,88,56kgMen,Snatch,124,True
1,DEY Sukhen,IND,"Mar 28, 1989",55.36,A,127,132,-135,132,56kgMen,CleanJerk,124,True
2,TULO Manueli,FIJ,"Mar 25, 1990",55.92,A,130,-135,-135,130,56kgMen,CleanJerk,124,True
3,VALLURI Srinavasa Rao,IND,"Oct 20, 1981",55.96,A,130,-136,-136,130,56kgMen,CleanJerk,124,True
4,CHINCHWADE Ranjit Kalgonda,IND,"Apr 28, 1991",55.40,A,121,126,-130,126,56kgMen,CleanJerk,124,True
5,ZULHELMI Bin Md Pisol,MAS,"Aug 22, 1993",55.94,A,-120,120,123,123,56kgMen,CleanJerk,124,True
6,SAHU Susant,IND,"May 18, 1991",55.74,A,115,120,-123,120,56kgMen,CleanJerk,124,True
7,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.74,A,-115,115,119,119,56kgMen,CleanJerk,124,True
8,MOKHTAR Mohamad Anas Malik Bin,MAS,"Jul 24, 1994",55.78,A,116,-118,-118,116,56kgMen,CleanJerk,124,True
9,AINE UDDIN Mohammad,BAN,"Mar 25, 1994",55.12,A,108,112,-115,112,56kgMen,CleanJerk,124,True
10,MALI Ganesh Chandrakant,IND,"May 14, 1993",55.84,A,112,-120,-125,112,56kgMen,CleanJerk,124,True
11,CHETIA Apurba,IND,"May 06, 1994",55.54,A,105,110,-113,110,56kgMen,CleanJerk,124,True
1,DEY Sukhen,IND,"Mar 28, 1989",55.36,A,106,132,238,,56kgMen,Total,124,True
2,TULO Manueli,FIJ,"Mar 25, 1990",55.92,A,106,130,236,,56kgMen,Total,124,True
3,VALLURI Srinavasa Rao,IND,"Oct 20, 1981",55.96,A,104,130,234,,56kgMen,Total,124,True
4,CHINCHWADE Ranjit Kalgonda,IND,"Apr 28, 1991",55.40,A,100,126,226,,56kgMen,Total,124,True
5,ZULHELMI Bin Md Pisol,MAS,"Aug 22, 1993",55.94,A,95,123,218,,56kgMen,Total,124,True
6,SAHU Susant,IND,"May 18, 1991",55.74,A,96,120,216,,56kgMen,Total,124,True
7,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.74,A,95,119,214,,56kgMen,Total,124,True
8,MOKHTAR Mohamad Anas Malik Bin,MAS,"Jul 24, 1994",55.78,A,98,116,214,,56kgMen,Total,124,True
9,AINE UDDIN Mohammad,BAN,"Mar 25, 1994",55.12,A,95,112,207,,56kgMen,Total,124,True
10,MALI Ganesh Chandrakant,IND,"May 14, 1993",55.84,A,90,112,202,,56kgMen,Total,124,True
11,CHETIA Apurba,IND,"May 06, 1994",55.54,A,88,110,198,,56kgMen,Total,124,True
1,KUMAR S. Deva,IND,"May 25, 1982",61.94,A,112,116,-118,116,62kgMen,Snatch,124,True
2,AMIRUL Hamizan Bin Ibrahim,MAS,"Dec 03, 1981",61.60,A,107,-110,110,110,62kgMen,Snatch,124,True
3,YUKAR Sibi,IND,"May 07, 1992",61.74,A,100,106,109,109,62kgMen,Snatch,124,True
4,BIN MAT LAZAT Mohd Dinie Akmal,MAS,"Aug 03, 1994",59.76,A,100,105,-107,105,62kgMen,Snatch,124,True
5,LAPUA Lapua Tuau,TUV,"Apr 15, 1991",61.42,A,95,100,105,105,62kgMen,Snatch,124,True
6,KURUMOJU Kurumoju Rameshkumar,IND,"Dec 16, 1989",61.58,A,104,-108,-108,104,62kgMen,Snatch,124,True
7,RAMELA Phehello John,RSA,"Jul 25, 1993",61.42,A,92,95,98,98,62kgMen,Snatch,124,True
8,HAUMILI Ioane,TUV,"Nov 23, 1988",61.64,A,87,92,96,96,62kgMen,Snatch,124,True
9,AHMAD Mohd Fadhli Bin,MAS,"Jan 02, 1992",60.76,A,- 93,95,-100,95,62kgMen,Snatch,124,True
10,SAHOO Achyutananda,IND,"Feb 08, 1994",61.44,A,90,- 94,- 94,90,62kgMen,Snatch,124,True
11,OWEN Joseph,WAL,"Jul 27, 1993",60.76,A,- 70,70,75,75,62kgMen,Snatch,124,True
1,YUKAR Sibi,IND,"May 07, 1992",61.74,A,136,142,150,150,62kgMen,CleanJerk,124,True
2,AMIRUL Hamizan Bin Ibrahim,MAS,"Dec 03, 1981",61.60,A,131,140,-142,140,62kgMen,CleanJerk,124,True
3,KURUMOJU Kurumoju Rameshkumar,IND,"Dec 16, 1989",61.58,A,135,-137,-137,135,62kgMen,CleanJerk,124,True
4,KUMAR S. Deva,IND,"May 25, 1982",61.94,A,132,135,-137,135,62kgMen,CleanJerk,124,True
5,LAPUA Lapua Tuau,TUV,"Apr 15, 1991",61.42,A,120,125,-130,125,62kgMen,CleanJerk,124,True
6,BIN MAT LAZAT Mohd Dinie Akmal,MAS,"Aug 03, 1994",59.76,A,-123,124,-131,124,62kgMen,CleanJerk,124,True
7,HAUMILI Ioane,TUV,"Nov 23, 1988",61.64,A,115,120,-124,120,62kgMen,CleanJerk,124,True
8,RAMELA Phehello John,RSA,"Jul 25, 1993",61.42,A,-112,112,117,117,62kgMen,CleanJerk,124,True
9,SAHOO Achyutananda,IND,"Feb 08, 1994",61.44,A,115,-120,-126,115,62kgMen,CleanJerk,124,True
10,AHMAD Mohd Fadhli Bin,MAS,"Jan 02, 1992",60.76,A,107,-112,-112,107,62kgMen,CleanJerk,124,True
---,OWEN Joseph,WAL,"Jul 27, 1993",60.76,A,---,---,---,---,62kgMen,CleanJerk,124,True
1,YUKAR Sibi,IND,"May 07, 1992",61.74,A,109,150,259,,62kgMen,Total,124,True
2,KUMAR S. Deva,IND,"May 25, 1982",61.94,A,116,135,251,,62kgMen,Total,124,True
