rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,CHADOVICH Stanislau,BLR,"Aug 24, 1992",55.50,A,113,117,-121,117,56kgMen,Snatch,127,True
2,ALGUL Ismet,TUR,"Sep 22, 1992",55.30,A,107,-111,111,111,56kgMen,Snatch,127,True
3,CROITORU Florin Ionut,ROU,"Aug 25, 1993",55.15,A,-105,106,110,110,56kgMen,Snatch,127,True
4,BICER Berat,TUR,"Jul 02, 1992",55.55,A,104,-107,107,107,56kgMen,Snatch,127,True
5,GAINUTDINOV Rais,RUS,"Jun 24, 1991",55.80,A,100,104,-108,104,56kgMen,Snatch,127,True
6,MARGARYAN Smbat,ARM,"Mar 17, 1993",55.50,A,101,-106,-106,101,56kgMen,Snatch,127,True
7,OTERO MARTINEZ Michael Steven,ESP,"Jul 29, 1990",55.30,A,93,98,-101,98,56kgMen,Snatch,127,True
---,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",56.00,A,-105,-105,-105,---,56kgMen,Snatch,127,True
1,CHADOVICH Stanislau,BLR,"Aug 24, 1992",55.50,A,135,140,-145,140,56kgMen,CleanJerk,127,True
2,GAINUTDINOV Rais,RUS,"Jun 24, 1991",55.80,A,129,-136,136,136,56kgMen,CleanJerk,127,True
3,CROITORU Florin Ionut,ROU,"Aug 25, 1993",55.15,A,126,130,132,132,56kgMen,CleanJerk,127,True
4,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",56.00,A,125,128,131,131,56kgMen,CleanJerk,127,True
5,ALGUL Ismet,TUR,"Sep 22, 1992",55.30,A,123,128,-131,128,56kgMen,CleanJerk,127,True
6,BICER Berat,TUR,"Jul 02, 1992",55.55,A,123,128,-134,128,56kgMen,CleanJerk,127,True
7,OTERO MARTINEZ Michael Steven,ESP,"Jul 29, 1990",55.30,A,122,-127,-127,122,56kgMen,CleanJerk,127,True
---,MARGARYAN Smbat,ARM,"Mar 17, 1993",55.50,A,-139,-139,-139,---,56kgMen,CleanJerk,127,True
1,CHADOVICH Stanislau,BLR,"Aug 24, 1992",55.50,A,117,140,257,,56kgMen,Total,127,True
2,CROITORU Florin Ionut,ROU,"Aug 25, 1993",55.15,A,110,132,242,,56kgMen,Total,127,True
3,GAINUTDINOV Rais,RUS,"Jun 24, 1991",55.80,A,104,136,240,,56kgMen,Total,127,True
4,ALGUL Ismet,TUR,"Sep 22, 1992",55.30,A,111,128,239,,56kgMen,Total,127,True
5,BICER Berat,TUR,"Jul 02, 1992",55.55,A,107,128,235,,56kgMen,Total,127,True
6,OTERO MARTINEZ Michael Steven,ESP,"Jul 29, 1990",55.30,A,98,122,220,,56kgMen,Total,127,True
---,MARGARYAN Smbat,ARM,"Mar 17, 1993",55.50,A,101,---,---,,56kgMen,Total,127,True
---,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",56.00,A,---,131,---,,56kgMen,Total,127,True
1,KHALIBEKOV Feliks,RUS,"Feb 03, 1990",61.70,A,120,125,126,126,62kgMen,Snatch,127,True
2,ATAK Hursit,TUR,"May 24, 1991",61.60,A,121,125,-127,125,62kgMen,Snatch,127,True
3,COBAN Tuncer,TUR,"Jan 01, 1991",61.75,A,116,-121,-121,116,62kgMen,Snatch,127,True
4,HERNANDEZ MENDOZA Acoran Juan,ESP,"Dec 30, 1990",61.60,A,115,-120,-122,115,62kgMen,Snatch,127,True
5,NICOARA Razvan,ROU,"Nov 06, 1991",61.00,A,-112,-112,113,113,62kgMen,Snatch,127,True
6,ARAKELIAN Armen,GRE,"Jul 16, 1990",61.70,A,106,-111,-111,106,62kgMen,Snatch,127,True
7,NABIYEV Rauf,AZE,"Nov 27, 1990",61.50,B,-105,105,-108,105,62kgMen,Snatch,127,True
8,CASTRO MARINO Victor,ESP,"Dec 18, 1992",61.70,B,-105,105,-110,105,62kgMen,Snatch,127,True
9,MAVROMMATIS Georgios,GRE,"May 04, 1990",61.95,B,97,102,-105,102,62kgMen,Snatch,127,True
1,ATAK Hursit,TUR,"May 24, 1991",61.60,A,153,161,-168,161,62kgMen,CleanJerk,127,True
2,KHALIBEKOV Feliks,RUS,"Feb 03, 1990",61.70,A,143,150,-155,150,62kgMen,CleanJerk,127,True
3,COBAN Tuncer,TUR,"Jan 01, 1991",61.75,A,140,143,145,145,62kgMen,CleanJerk,127,True
4,HERNANDEZ MENDOZA Acoran Juan,ESP,"Dec 30, 1990",61.60,A,137,142,-144,142,62kgMen,CleanJerk,127,True
5,NICOARA Razvan,ROU,"Nov 06, 1991",61.00,A,133,137,-142,137,62kgMen,CleanJerk,127,True
6,ARAKELIAN Armen,GRE,"Jul 16, 1990",61.70,A,130,135,-140,135,62kgMen,CleanJerk,127,True
7,MAVROMMATIS Georgios,GRE,"May 04, 1990",61.95,B,125,-130,-130,125,62kgMen,CleanJerk,127,True
8,CASTRO MARINO Victor,ESP,"Dec 18, 1992",61.70,B,123,-130,-130,123,62kgMen,CleanJerk,127,True
---,NABIYEV Rauf,AZE,"Nov 27, 1990",61.50,B,-130,-130,-130,---,62kgMen,CleanJerk,127,True
1,ATAK Hursit,TUR,"May 24, 1991",61.60,A,125,161,286,,62kgMen,Total,127,True
2,KHALIBEKOV Feliks,RUS,"Feb 03, 1990",61.70,A,126,150,276,,62kgMen,Total,127,True
3,COBAN Tuncer,TUR,"Jan 01, 1991",61.75,A,116,145,261,,62kgMen,Total,127,True
4,HERNANDEZ MENDOZA Acoran Juan,ESP,"Dec 30, 1990",61.60,A,115,142,257,,62kgMen,Total,127,True
5,NICOARA Razvan,ROU,"Nov 06, 1991",61.00,A,113,137,250,,62kgMen,Total,127,True
6,ARAKELIAN Armen,GRE,"Jul 16, 1990",61.70,A,106,135,241,,62kgMen,Total,127,True
7,CASTRO MARINO Victor,ESP,"Dec 18, 1992",61.70,B,105,123,228,,62kgMen,Total,127,True
8,MAVROMMATIS Georgios,GRE,"May 04, 1990",61.95,B,102,125,227,,62kgMen,Total,127,True
---,NABIYEV Rauf,AZE,"Nov 27, 1990",61.50,B,105,---,---,,62kgMen,Total,127,True
1,CALJA Briken,ALB,"Feb 19, 1990",68.60,A,135,-140,140,140,69kgMen,Snatch,127,True
2,GODELLI Daniel,ALB,"Jan 10, 1992",68.80,A,135,140,-146,140,69kgMen,Snatch,127,True
3,CECHIR Serghei,MDA,"Oct 15, 1990",68.55,A,127,131,135,135,69kgMen,Snatch,127,True
4,BIYBOLATOV Rustam,RUS,"Sep 22, 1990",69.00,B,125,130,135,135,69kgMen,Snatch,127,True
5,RUZGAR Suleyman,TUR,"Oct 12, 1992",68.25,A,130,-135,-135,130,69kgMen,Snatch,127,True
6,LOMTADZE Giorgi,GEO,"Nov 22, 1992",68.55,A,-130,130,-133,130,69kgMen,Snatch,127,True
7,BRANDHUBER Simon Josef,GER,"Jun 27, 1991",68.55,A,125,-130,130,130,69kgMen,Snatch,127,True
8,POGHOSYAN Zorik,ARM,"Sep 04, 1990",68.60,A,130,-135,-135,130,69kgMen,Snatch,127,True
9,CHIBURDANIDZE Jaba,GEO,"Jun 04, 1994",68.55,B,122,125,128,128,69kgMen,Snatch,127,True
10,GENC Halit,TUR,"Jul 07, 1991",68.30,A,120,-125,-125,120,69kgMen,Snatch,127,True
11,MANNELLA Pierluigi,ITA,"Jul 15, 1991",68.00,B,-110,110,114,114,69kgMen,Snatch,127,True
12,MARZULLO Domenico,ITA,"May 18, 1990",68.00,B,110,-113,-114,110,69kgMen,Snatch,127,True
13,JAVORKA Tivadar,SVK,"Jan 04, 1992",68.55,B,105,-110,110,110,69kgMen,Snatch,127,True
1,CALJA Briken,ALB,"Feb 19, 1990",68.60,A,164,170,-175,170,69kgMen,CleanJerk,127,True
2,GODELLI Daniel,ALB,"Jan 10, 1992",68.80,A,170,-175,-175,170,69kgMen,CleanJerk,127,True
3,LOMTADZE Giorgi,GEO,"Nov 22, 1992",68.55,A,157,-161,164,164,69kgMen,CleanJerk,127,True
4,POGHOSYAN Zorik,ARM,"Sep 04, 1990",68.60,A,-163,163,-167,163,69kgMen,CleanJerk,127,True
5,GENC Halit,TUR,"Jul 07, 1991",68.30,A,155,162,-164,162,69kgMen,CleanJerk,127,True
6,CECHIR Serghei,MDA,"Oct 15, 1990",68.55,A,157,161,-165,161,69kgMen,CleanJerk,127,True
7,BIYBOLATOV Rustam,RUS,"Sep 22, 1990",69.00,B,150,160,-165,160,69kgMen,CleanJerk,127,True
8,RUZGAR Suleyman,TUR,"Oct 12, 1992",68.25,A,-155,155,-160,155,69kgMen,CleanJerk,127,True
9,BRANDHUBER Simon Josef,GER,"Jun 27, 1991",68.55,A,153,-158,-158,153,69kgMen,CleanJerk,127,True
