rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,WU Jingbiao,CHN,"Born: Jan 10, 1989",B.weight: 56.00,Group: A,1: 120,2: 130,3: -133,Total: 130,56kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 2,AMIRUL Hamizan Bin Ibrahim,MAS,"Born: Dec 03, 1981",B.weight: 56.00,Group: A,1: 91,2: 100,3: 105,Total: 105,56kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 1,WU Jingbiao,CHN,"Born: Jan 10, 1989",B.weight: 56.00,Group: A,1: 140,2: 150,3: 155,Total: 155,56kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 2,AMIRUL Hamizan Bin Ibrahim,MAS,"Born: Dec 03, 1981",B.weight: 56.00,Group: A,1: 110,2: 120,3: 130,Total: 130,56kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 1,WU Jingbiao,CHN,"Born: Jan 10, 1989",B.weight: 56.00,Group: A,Snatch: 130,CI&Jerk: 155,Total: 285,,56kgMen,Total,CHINA IWF GRAND PRIX
Rank: 2,AMIRUL Hamizan Bin Ibrahim,MAS,"Born: Dec 03, 1981",B.weight: 56.00,Group: A,Snatch: 105,CI&Jerk: 130,Total: 235,,56kgMen,Total,CHINA IWF GRAND PRIX
Rank: 1,DING Jianjun,CHN,"Born: Oct 06, 1989",B.weight: 61.80,Group: A,1: 135,2: -140,3: 140,Total: 140,62kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 2,IRAWAN Eko Yuli,INA,"Born: Jul 24, 1989",B.weight: 61.95,Group: A,1: 125,2: 130,3: -136,Total: 130,62kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 3,SSEKYAAYA Charles,UGA,"Born: Apr 11, 1994",B.weight: 61.60,Group: A,1: -90,2: -90,3: 90,Total: 90,62kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 1,DING Jianjun,CHN,"Born: Oct 06, 1989",B.weight: 61.80,Group: A,1: 155,2: -160,3: 166,Total: 166,62kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 2,IRAWAN Eko Yuli,INA,"Born: Jul 24, 1989",B.weight: 61.95,Group: A,1: 155,2: 166,3: -172,Total: 166,62kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 3,SSEKYAAYA Charles,UGA,"Born: Apr 11, 1994",B.weight: 61.60,Group: A,1: 120,2: 125,3: 130,Total: 130,62kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 1,DING Jianjun,CHN,"Born: Oct 06, 1989",B.weight: 61.80,Group: A,Snatch: 140,CI&Jerk: 166,Total: 306,,62kgMen,Total,CHINA IWF GRAND PRIX
Rank: 2,IRAWAN Eko Yuli,INA,"Born: Jul 24, 1989",B.weight: 61.95,Group: A,Snatch: 130,CI&Jerk: 166,Total: 296,,62kgMen,Total,CHINA IWF GRAND PRIX
Rank: 3,SSEKYAAYA Charles,UGA,"Born: Apr 11, 1994",B.weight: 61.60,Group: A,Snatch: 90,CI&Jerk: 130,Total: 220,,62kgMen,Total,CHINA IWF GRAND PRIX
Rank: 1,LIN Qingfeng,CHN,"Born: Jan 26, 1989",B.weight: 68.00,Group: A,1: 145,2: 150,3: -153,Total: 150,69kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 2,ZHANG Jie,CHN,"Born: Aug 26, 1987",B.weight: 65.75,Group: A,1: 140,2: 145,3: -148,Total: 145,69kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 3,ABDELBAKI Mohamed Abdeltawwab I.,EGY,"Born: Jul 18, 1987",B.weight: 68.50,Group: A,1: 135,2: 140,3: -145,Total: 140,69kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 4,BEGALIEV Muhammad,UZB,"Born: Apr 21, 1992",B.weight: 67.30,Group: A,1: 126,2: -131,3: 133,Total: 133,69kgMen,Snatch,CHINA IWF GRAND PRIX
Rank: 1,LIN Qingfeng,CHN,"Born: Jan 26, 1989",B.weight: 68.00,Group: A,1: 175,2: 180,3: 185,Total: 185,69kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 2,ZHANG Jie,CHN,"Born: Aug 26, 1987",B.weight: 65.75,Group: A,1: 170,2: 175,3: ---,Total: 175,69kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 3,ABDELBAKI Mohamed Abdeltawwab I.,EGY,"Born: Jul 18, 1987",B.weight: 68.50,Group: A,1: 165,2: 170,3: -175,Total: 170,69kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 4,BEGALIEV Muhammad,UZB,"Born: Apr 21, 1992",B.weight: 67.30,Group: A,1: -160,2: 160,3: 166,Total: 166,69kgMen,CleanJerk,CHINA IWF GRAND PRIX
Rank: 1,LIN Qingfeng,CHN,"Born: Jan 26, 1989",B.weight: 68.00,Group: A,Snatch: 150,CI&Jerk: 185,Total: 335,,69kgMen,Total,CHINA IWF GRAND PRIX
Rank: 2,ZHANG Jie,CHN,"Born: Aug 26, 1987",B.weight: 65.75,Group: A,Snatch: 145,CI&Jerk: 175,Total: 320,,69kgMen,Total,CHINA IWF GRAND PRIX
Rank: 3,ABDELBAKI Mohamed Abdeltawwab I.,EGY,"Born: Jul 18, 1987",B.weight: 68.50,Group: A,Snatch: 140,CI&Jerk: 170,Total: 310,,69kgMen,Total,CHINA IWF GRAND PRIX
Rank: 4,BEGALIEV Muhammad,UZB,"Born: Apr 21, 1992",B.weight: 67.30,Group: A,Snatch: 133,CI&Jerk: 166,Total: 299,,69kgMen,Total,CHINA IWF GRAND PRIX
