rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,WU Jingbiao,CHN,"Jan 10, 1989",55.94,A,130,-135,-135,130,56kgMen,Snatch,142,True
2,ASKARI Majid,IRI,"Nov 08, 1991",55.80,A,-115,115,-120,115,56kgMen,Snatch,142,True
3,MAKAROV Ruslan,UZB,"Jan 19, 1987",55.90,A,-111,111,114,114,56kgMen,Snatch,142,True
4,PYAE Phyo,MYA,"Dec 14, 1989",55.28,A,-110,110,-114,110,56kgMen,Snatch,142,True
1,WU Jingbiao,CHN,"Jan 10, 1989",55.94,A,153,-158,158,158,56kgMen,CleanJerk,142,True
2,ASKARI Majid,IRI,"Nov 08, 1991",55.80,A,140,-148,-150,140,56kgMen,CleanJerk,142,True
3,MAKAROV Ruslan,UZB,"Jan 19, 1987",55.90,A,140,-143,-147,140,56kgMen,CleanJerk,142,True
4,PYAE Phyo,MYA,"Dec 14, 1989",55.28,A,135,-140,-145,135,56kgMen,CleanJerk,142,True
1,WU Jingbiao,CHN,"Jan 10, 1989",55.94,A,130,158,288,,56kgMen,Total,142,True
2,ASKARI Majid,IRI,"Nov 08, 1991",55.80,A,115,140,255,,56kgMen,Total,142,True
3,MAKAROV Ruslan,UZB,"Jan 19, 1987",55.90,A,114,140,254,,56kgMen,Total,142,True
4,PYAE Phyo,MYA,"Dec 14, 1989",55.28,A,110,135,245,,56kgMen,Total,142,True
1,ZHANG Jie,CHN,"Aug 26, 1987",61.92,A,140,143,147,147,62kgMen,Snatch,142,True
2,KIM Un Guk,PRK,"Oct 28, 1988",61.88,A,-140,-140,140,140,62kgMen,Snatch,142,True
3,CHA Kum Chol,PRK,"Jul 19, 1987",61.74,A,131,-140,-140,131,62kgMen,Snatch,142,True
4,KRITPHET Withawat,THA,"Jul 20, 1983",61.76,A,-120,-120,121,121,62kgMen,Snatch,142,True
5,ALPANOV Ruslan,UZB,"Jul 06, 1987",61.92,A,-117,117,121,121,62kgMen,Snatch,142,True
6,TSOY Valeriy,KAZ,"Nov 15, 1991",60.92,A,105,112,-120,112,62kgMen,Snatch,142,True
1,ZHANG Jie,CHN,"Aug 26, 1987",61.92,A,170,-180,-180,170,62kgMen,CleanJerk,142,True
2,CHA Kum Chol,PRK,"Jul 19, 1987",61.74,A,155,160,167,167,62kgMen,CleanJerk,142,True
3,KIM Un Guk,PRK,"Oct 28, 1988",61.88,A,160,165,166,166,62kgMen,CleanJerk,142,True
4,KRITPHET Withawat,THA,"Jul 20, 1983",61.76,A,156,160,165,165,62kgMen,CleanJerk,142,True
