rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,LUO Zhongnan,CHN,"Jan 01, 1979",55.82,A,115,120,-122.5,120,56kgMen,Snatch,156,True
2,WU Meijin,CHN,"Apr 25, 1980",53.44,A,-115,115,117.5,117.5,56kgMen,Snatch,156,True
3,GHAZARYAN Armen,ARM,"Jun 19, 1982",55.80,A,107.5,112.5,117.5,117.5,56kgMen,Snatch,156,True
4,SUEHIRO Yuichi,JPN,"Mar 12, 1979",55.32,A,100,105,107.5,107.5,56kgMen,Snatch,156,True
5,GULBEYI Akti,TUR,"Apr 15, 1980",55.74,A,-100,100,107.5,107.5,56kgMen,Snatch,156,True
6,SANCHEZ Cristian,ECU,"Jan 01, 1983",55.58,A,100,105,-107.5,105,56kgMen,Snatch,156,True
7,HASSAN Abdallah Eid,EGY,"Jan 01, 1979",55.24,A,97.5,102.5,-105,102.5,56kgMen,Snatch,156,True
8,YAMADA Masaharu,JPN,"May 01, 1980",55.56,A,92.5,97.5,-100,97.5,56kgMen,Snatch,156,True
9,ROMO Alejandro,MEX,"Jul 24, 1979",53.86,A,90,-95,-97.5,90,56kgMen,Snatch,156,True
1,LUO Zhongnan,CHN,"Jan 01, 1979",55.82,A,145,150,-158,150,56kgMen,CleanJerk,156,True
2,WU Meijin,CHN,"Apr 25, 1980",53.44,A,145,-150,-152.5,145,56kgMen,CleanJerk,156,True
3,GHAZARYAN Armen,ARM,"Jun 19, 1982",55.80,A,140,-150,-152.5,140,56kgMen,CleanJerk,156,True
4,YAMADA Masaharu,JPN,"May 01, 1980",55.56,A,132.5,137.5,-140,137.5,56kgMen,CleanJerk,156,True
5,GULBEYI Akti,TUR,"Apr 15, 1980",55.74,A,125,132.5,-140,132.5,56kgMen,CleanJerk,156,True
6,HASSAN Abdallah Eid,EGY,"Jan 01, 1979",55.24,A,120,125,-127.5,125,56kgMen,CleanJerk,156,True
7,SANCHEZ Cristian,ECU,"Jan 01, 1983",55.58,A,125,-132.5,-132.5,125,56kgMen,CleanJerk,156,True
8,ROMO Alejandro,MEX,"Jul 24, 1979",53.86,A,115,120,-125,120,56kgMen,CleanJerk,156,True
9,SUEHIRO Yuichi,JPN,"Mar 12, 1979",55.32,A,120,-125,-125,120,56kgMen,CleanJerk,156,True
1,LUO Zhongnan,CHN,"Jan 01, 1979",55.82,A,120,150,270,,56kgMen,Total,156,True
