rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,NAZIF Ferdi,BUL,"Born: Sep 22, 1989",B.weight: 55.80,Group: A,1: 100,2: 105,3: 107,Total: 107,56kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 2,OLARU Gabriel,ROU,"Born: Nov 23, 1988",B.weight: 55.90,Group: A,1: 95,2: 101,3: 106,Total: 106,56kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 3,TUNCER Zeki,TUR,"Born: Sep 05, 1990",B.weight: 55.60,Group: A,1: 70,2: 80,3: -88,Total: 80,56kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 1,OLARU Gabriel,ROU,"Born: Nov 23, 1988",B.weight: 55.90,Group: A,1: 122,2: 128,3: 133,Total: 133,56kgMen,CleanJerk,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 2,NAZIF Ferdi,BUL,"Born: Sep 22, 1989",B.weight: 55.80,Group: A,1: 120,2: 126,3: 131,Total: 131,56kgMen,CleanJerk,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 3,TUNCER Zeki,TUR,"Born: Sep 05, 1990",B.weight: 55.60,Group: A,1: 90,2: 102,3: -110,Total: 102,56kgMen,CleanJerk,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 1,OLARU Gabriel,ROU,"Born: Nov 23, 1988",B.weight: 55.90,Group: A,Snatch: 106,CI&Jerk: 133,Total: 239,,56kgMen,Total,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 2,NAZIF Ferdi,BUL,"Born: Sep 22, 1989",B.weight: 55.80,Group: A,Snatch: 107,CI&Jerk: 131,Total: 238,,56kgMen,Total,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 3,TUNCER Zeki,TUR,"Born: Sep 05, 1990",B.weight: 55.60,Group: A,Snatch: 80,CI&Jerk: 102,Total: 182,,56kgMen,Total,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 1,SUKHANOV Pavel,RUS,"Born: Apr 29, 1988",B.weight: 61.80,Group: A,1: 117,2: 122,3: 126,Total: 126,62kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 2,MAMOYAN Rubik,ARM,"Born: Nov 01, 1989",B.weight: 61.55,Group: A,1: -121,2: -121,3: 123,Total: 123,62kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 3,HERNANDEZ MENDOZA Acoran Juan,ESP,"Born: Dec 30, 1990",B.weight: 61.55,Group: A,1: -115,2: 115,3: 121,Total: 121,62kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 4,KHALIBEKOV Feliks,RUS,"Born: Feb 03, 1990",B.weight: 61.65,Group: A,1: 117,2: -121,3: 121,Total: 121,62kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 5,ENEV Stoyan,BUL,"Born: Jul 06, 1989",B.weight: 61.95,Group: A,1: 113,2: 118,3: 120,Total: 120,62kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 6,JUBIRCA Ion,MDA,"Born: May 26, 1990",B.weight: 61.50,Group: A,1: 118,2: -120,3: -120,Total: 118,62kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
Rank: 7,URUMOV Vladimir Marinov,BUL,"Born: Aug 28, 1990",B.weight: 61.75,Group: A,1: -118,2: 118,3: -121,Total: 118,62kgMen,Snatch,EUROPEAN U 23 CHAMPIONSHIPS
