rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,SCARANTINO Mirco,ITA,"Jan 16, 1995",49.48,A,83,-86,-86,83,50kgMen,Snatch,187,True
2,GOVDELI Furkan,TUR,"Jul 28, 1994",49.59,A,78,81,-86,81,50kgMen,Snatch,187,True
3,ABISHOV Allahyar,AZE,"Mar 30, 1995",49.67,A,76,81,-84,81,50kgMen,Snatch,187,True
4,IARKIN Viacheslav,RUS,"Nov 19, 1997",48.89,A,-80,80,-82,80,50kgMen,Snatch,187,True
5,BLIDARI Ioan Tiberiu,ROU,"Jul 07, 1994",49.64,A,75,-79,79,79,50kgMen,Snatch,187,True
6,AKSOY Omer Faruk,TUR,"Nov 07, 1995",49.96,A,72,75,78,78,50kgMen,Snatch,187,True
7,DOYCHEV Atanas,BUL,"Sep 15, 1994",49.15,A,70,75,-77,75,50kgMen,Snatch,187,True
8,KOMOROWSKI Tomasz Dawid,POL,"Mar 21, 1995",49.84,A,70,-74,74,74,50kgMen,Snatch,187,True
9,AGHAVERDIYEV Mansur,AZE,"May 21, 1996",49.69,A,67,71,-74,71,50kgMen,Snatch,187,True
10,RUBIO I CAPARROS Edgar,ESP,"Jul 07, 1996",49.57,A,-68,-68,68,68,50kgMen,Snatch,187,True
11,ORFANOS Ioannis,GRE,"Sep 17, 1997",49.40,A,-60,60,-64,60,50kgMen,Snatch,187,True
12,TALU Kalle,EST,"Mar 20, 1997",47.50,A,52,55,-57,55,50kgMen,Snatch,187,True
13,TEPETOV Konstantinos,GRE,"Jan 01, 1955",49.24,A,50,55,-57,55,50kgMen,Snatch,187,True
1,SCARANTINO Mirco,ITA,"Jan 16, 1995",49.48,A,100,103,106,106,50kgMen,CleanJerk,187,True
2,IARKIN Viacheslav,RUS,"Nov 19, 1997",48.89,A,98,101,102,102,50kgMen,CleanJerk,187,True
3,BLIDARI Ioan Tiberiu,ROU,"Jul 07, 1994",49.64,A,94,98,101,101,50kgMen,CleanJerk,187,True
4,ABISHOV Allahyar,AZE,"Mar 30, 1995",49.67,A,92,98,101,101,50kgMen,CleanJerk,187,True
5,GOVDELI Furkan,TUR,"Jul 28, 1994",49.59,A,90,95,100,100,50kgMen,CleanJerk,187,True
6,DOYCHEV Atanas,BUL,"Sep 15, 1994",49.15,A,91,96,-99,96,50kgMen,CleanJerk,187,True
7,AKSOY Omer Faruk,TUR,"Nov 07, 1995",49.96,A,87,93,96,96,50kgMen,CleanJerk,187,True
8,KOMOROWSKI Tomasz Dawid,POL,"Mar 21, 1995",49.84,A,88,93,-97,93,50kgMen,CleanJerk,187,True
9,AGHAVERDIYEV Mansur,AZE,"May 21, 1996",49.69,A,80,85,88,88,50kgMen,CleanJerk,187,True
10,RUBIO I CAPARROS Edgar,ESP,"Jul 07, 1996",49.57,A,80,83,-86,83,50kgMen,CleanJerk,187,True
11,TEPETOV Konstantinos,GRE,"Jan 01, 1955",49.24,A,70,74,-78,74,50kgMen,CleanJerk,187,True
12,TALU Kalle,EST,"Mar 20, 1997",47.50,A,70,-73,73,73,50kgMen,CleanJerk,187,True
13,ORFANOS Ioannis,GRE,"Sep 17, 1997",49.40,A,68,73,-76,73,50kgMen,CleanJerk,187,True
1,SCARANTINO Mirco,ITA,"Jan 16, 1995",49.48,A,83,106,189,,50kgMen,Total,187,True
2,IARKIN Viacheslav,RUS,"Nov 19, 1997",48.89,A,80,102,182,,50kgMen,Total,187,True
3,ABISHOV Allahyar,AZE,"Mar 30, 1995",49.67,A,81,101,182,,50kgMen,Total,187,True
4,GOVDELI Furkan,TUR,"Jul 28, 1994",49.59,A,81,100,181,,50kgMen,Total,187,True
5,BLIDARI Ioan Tiberiu,ROU,"Jul 07, 1994",49.64,A,79,101,180,,50kgMen,Total,187,True
6,AKSOY Omer Faruk,TUR,"Nov 07, 1995",49.96,A,78,96,174,,50kgMen,Total,187,True
7,DOYCHEV Atanas,BUL,"Sep 15, 1994",49.15,A,75,96,171,,50kgMen,Total,187,True
8,KOMOROWSKI Tomasz Dawid,POL,"Mar 21, 1995",49.84,A,74,93,167,,50kgMen,Total,187,True
9,AGHAVERDIYEV Mansur,AZE,"May 21, 1996",49.69,A,71,88,159,,50kgMen,Total,187,True
10,RUBIO I CAPARROS Edgar,ESP,"Jul 07, 1996",49.57,A,68,83,151,,50kgMen,Total,187,True
11,ORFANOS Ioannis,GRE,"Sep 17, 1997",49.40,A,60,73,133,,50kgMen,Total,187,True
12,TEPETOV Konstantinos,GRE,"Jan 01, 1955",49.24,A,55,74,129,,50kgMen,Total,187,True
13,TALU Kalle,EST,"Mar 20, 1997",47.50,A,55,73,128,,50kgMen,Total,187,True
1,IBRAHIMLI Pasha,AZE,"Jun 18, 1995",55.70,A,97,102,105,105,56kgMen,Snatch,187,True
2,ABDULGASHUMOV Asali,RUS,"May 05, 1994",55.96,A,95,98,-100,98,56kgMen,Snatch,187,True
3,SAHIN Muammer,TUR,"Feb 05, 1994",55.36,A,92,-96,97,97,56kgMen,Snatch,187,True
4,DI GIUSTO Michael,ITA,"Feb 16, 1995",55.58,A,92,96,-98,96,56kgMen,Snatch,187,True
5,YILMAZ Okan,TUR,"Feb 10, 1994",55.30,A,90,94,-96,94,56kgMen,Snatch,187,True
6,MULLER Adrian,GER,"Aug 09, 1995",55.90,A,84,88,91,91,56kgMen,Snatch,187,True
7,SHAMILISHVILI Ramini,GEO,"May 11, 1994",55.58,A,85,90,-92,90,56kgMen,Snatch,187,True
8,SANCHEZ LOPEZ David,ESP,"Jul 20, 1994",55.97,A,90,-95,-95,90,56kgMen,Snatch,187,True
9,CORDENONS Davide,ITA,"Apr 09, 1994",55.21,A,83,87,-90,87,56kgMen,Snatch,187,True
10,ANDREEV Bozhidar Dimitrov,BUL,"Jan 17, 1997",55.69,A,83,87,-90,87,56kgMen,Snatch,187,True
11,ALEKSIEJUS Svajunas,LTU,"Aug 29, 1997",55.24,A,75,78,-81,78,56kgMen,Snatch,187,True
12,JUHASZ Jacint,SVK,"Jun 04, 1998",55.55,A,65,70,72,72,56kgMen,Snatch,187,True
13,CHOPSONIDIS Spartakos,GRE,"Mar 17, 1998",54.47,A,65,---,---,65,56kgMen,Snatch,187,True
1,IBRAHIMLI Pasha,AZE,"Jun 18, 1995",55.70,A,120,125,128,128,56kgMen,CleanJerk,187,True
2,ABDULGASHUMOV Asali,RUS,"May 05, 1994",55.96,A,122,126,-129,126,56kgMen,CleanJerk,187,True
3,DI GIUSTO Michael,ITA,"Feb 16, 1995",55.58,A,115,118,121,121,56kgMen,CleanJerk,187,True
4,YILMAZ Okan,TUR,"Feb 10, 1994",55.30,A,-117,117,-121,117,56kgMen,CleanJerk,187,True
5,SHAMILISHVILI Ramini,GEO,"May 11, 1994",55.58,A,110,115,-119,115,56kgMen,CleanJerk,187,True
6,MULLER Adrian,GER,"Aug 09, 1995",55.90,A,104,109,114,114,56kgMen,CleanJerk,187,True
7,ANDREEV Bozhidar Dimitrov,BUL,"Jan 17, 1997",55.69,A,102,106,109,109,56kgMen,CleanJerk,187,True
8,CORDENONS Davide,ITA,"Apr 09, 1994",55.21,A,103,107,-111,107,56kgMen,CleanJerk,187,True
9,SAHIN Muammer,TUR,"Feb 05, 1994",55.36,A,102,107,-111,107,56kgMen,CleanJerk,187,True
10,ALEKSIEJUS Svajunas,LTU,"Aug 29, 1997",55.24,A,100,103,-105,103,56kgMen,CleanJerk,187,True
11,SANCHEZ LOPEZ David,ESP,"Jul 20, 1994",55.97,A,-103,103,-108,103,56kgMen,CleanJerk,187,True
12,CHOPSONIDIS Spartakos,GRE,"Mar 17, 1998",54.47,A,90,---,---,90,56kgMen,CleanJerk,187,True
13,JUHASZ Jacint,SVK,"Jun 04, 1998",55.55,A,85,90,-93,90,56kgMen,CleanJerk,187,True
1,IBRAHIMLI Pasha,AZE,"Jun 18, 1995",55.70,A,105,128,233,,56kgMen,Total,187,True
2,ABDULGASHUMOV Asali,RUS,"May 05, 1994",55.96,A,98,126,224,,56kgMen,Total,187,True
3,DI GIUSTO Michael,ITA,"Feb 16, 1995",55.58,A,96,121,217,,56kgMen,Total,187,True
4,YILMAZ Okan,TUR,"Feb 10, 1994",55.30,A,94,117,211,,56kgMen,Total,187,True
5,SHAMILISHVILI Ramini,GEO,"May 11, 1994",55.58,A,90,115,205,,56kgMen,Total,187,True
6,MULLER Adrian,GER,"Aug 09, 1995",55.90,A,91,114,205,,56kgMen,Total,187,True
7,SAHIN Muammer,TUR,"Feb 05, 1994",55.36,A,97,107,204,,56kgMen,Total,187,True
8,ANDREEV Bozhidar Dimitrov,BUL,"Jan 17, 1997",55.69,A,87,109,196,,56kgMen,Total,187,True
9,CORDENONS Davide,ITA,"Apr 09, 1994",55.21,A,87,107,194,,56kgMen,Total,187,True
10,SANCHEZ LOPEZ David,ESP,"Jul 20, 1994",55.97,A,90,103,193,,56kgMen,Total,187,True
11,ALEKSIEJUS Svajunas,LTU,"Aug 29, 1997",55.24,A,78,103,181,,56kgMen,Total,187,True
12,JUHASZ Jacint,SVK,"Jun 04, 1998",55.55,A,72,90,162,,56kgMen,Total,187,True
13,CHOPSONIDIS Spartakos,GRE,"Mar 17, 1998",54.47,A,65,90,155,,56kgMen,Total,187,True
1,BEJENARIU-CARP Florin-Catalin,ROU,"Jan 15, 1994",61.58,A,113,117,119,119,62kgMen,Snatch,187,True
2,SHAHAU Artsiom,BLR,"Apr 26, 1995",61.92,A,113,117,119,119,62kgMen,Snatch,187,True
3,MISHVELIDZE Shota,GEO,"Oct 18, 1994",60.28,A,107,111,114,114,62kgMen,Snatch,187,True
4,ALIGULIZADA Elkhan,AZE,"Feb 04, 1995",61.07,A,112,-116,-116,112,62kgMen,Snatch,187,True
5,KADIMYAN Harutyun,ARM,"Apr 30, 1994",61.51,A,100,105,110,110,62kgMen,Snatch,187,True
6,MIHAI Florin Iulian,ROU,"Jan 12, 1994",61.53,A,103,107,-111,107,62kgMen,Snatch,187,True
7,PEEV Stanimir,BUL,"Jun 19, 1994",61.08,A,95,-100,100,100,62kgMen,Snatch,187,True
8,CHOSZCZ Aleksander Artur,POL,"Nov 15, 1995",61.83,A,-100,100,-104,100,62kgMen,Snatch,187,True
9,GREBERS Ritvars,LAT,"Jan 03, 1994",61.60,A,92,96,-98,96,62kgMen,Snatch,187,True
10,NEJS Rihards,LAT,"Feb 07, 1996",61.18,A,95,-98,-98,95,62kgMen,Snatch,187,True
11,VAUTARD Brandon Robert Jean,FRA,"Sep 09, 1996",60.91,A,88,91,94,94,62kgMen,Snatch,187,True
12,CSERGA David,CZE,"Mar 17, 1994",61.40,A,90,93,-95,93,62kgMen,Snatch,187,True
13,OVERAS Jantsen Louis Jumao-As,NOR,"Sep 02, 1994",61.90,A,-85,85,89,89,62kgMen,Snatch,187,True
14,BERGLUND Eddie,SWE,"Jan 19, 1995",60.90,A,84,-90,-90,84,62kgMen,Snatch,187,True
---,COSTANZA Mattia,ITA,"Apr 20, 1994",61.74,A,-91,-91,-91,---,62kgMen,Snatch,187,True
1,ALIGULIZADA Elkhan,AZE,"Feb 04, 1995",61.07,A,137,146,-152,146,62kgMen,CleanJerk,187,True
2,BEJENARIU-CARP Florin-Catalin,ROU,"Jan 15, 1994",61.58,A,137,141,145,145,62kgMen,CleanJerk,187,True
3,SHAHAU Artsiom,BLR,"Apr 26, 1995",61.92,A,136,141,145,145,62kgMen,CleanJerk,187,True
4,MIHAI Florin Iulian,ROU,"Jan 12, 1994",61.53,A,130,-135,137,137,62kgMen,CleanJerk,187,True
5,MISHVELIDZE Shota,GEO,"Oct 18, 1994",60.28,A,126,131,135,135,62kgMen,CleanJerk,187,True
6,KADIMYAN Harutyun,ARM,"Apr 30, 1994",61.51,A,130,-136,-136,130,62kgMen,CleanJerk,187,True
7,CHOSZCZ Aleksander Artur,POL,"Nov 15, 1995",61.83,A,118,123,126,126,62kgMen,CleanJerk,187,True
8,PEEV Stanimir,BUL,"Jun 19, 1994",61.08,A,117,122,-124,122,62kgMen,CleanJerk,187,True
9,NEJS Rihards,LAT,"Feb 07, 1996",61.18,A,114,119,121,121,62kgMen,CleanJerk,187,True
10,VAUTARD Brandon Robert Jean,FRA,"Sep 09, 1996",60.91,A,112,117,120,120,62kgMen,CleanJerk,187,True
11,GREBERS Ritvars,LAT,"Jan 03, 1994",61.60,A,114,-116,-116,114,62kgMen,CleanJerk,187,True
12,OVERAS Jantsen Louis Jumao-As,NOR,"Sep 02, 1994",61.90,A,108,112,-115,112,62kgMen,CleanJerk,187,True
13,CSERGA David,CZE,"Mar 17, 1994",61.40,A,-110,-110,110,110,62kgMen,CleanJerk,187,True
14,BERGLUND Eddie,SWE,"Jan 19, 1995",60.90,A,100,-105,-105,100,62kgMen,CleanJerk,187,True
---,COSTANZA Mattia,ITA,"Apr 20, 1994",61.74,A,---,---,---,---,62kgMen,CleanJerk,187,True
1,BEJENARIU-CARP Florin-Catalin,ROU,"Jan 15, 1994",61.58,A,119,145,264,,62kgMen,Total,187,True
2,SHAHAU Artsiom,BLR,"Apr 26, 1995",61.92,A,119,145,264,,62kgMen,Total,187,True
3,ALIGULIZADA Elkhan,AZE,"Feb 04, 1995",61.07,A,112,146,258,,62kgMen,Total,187,True
4,MISHVELIDZE Shota,GEO,"Oct 18, 1994",60.28,A,114,135,249,,62kgMen,Total,187,True
5,MIHAI Florin Iulian,ROU,"Jan 12, 1994",61.53,A,107,137,244,,62kgMen,Total,187,True
6,KADIMYAN Harutyun,ARM,"Apr 30, 1994",61.51,A,110,130,240,,62kgMen,Total,187,True
7,CHOSZCZ Aleksander Artur,POL,"Nov 15, 1995",61.83,A,100,126,226,,62kgMen,Total,187,True
8,PEEV Stanimir,BUL,"Jun 19, 1994",61.08,A,100,122,222,,62kgMen,Total,187,True
9,NEJS Rihards,LAT,"Feb 07, 1996",61.18,A,95,121,216,,62kgMen,Total,187,True
10,VAUTARD Brandon Robert Jean,FRA,"Sep 09, 1996",60.91,A,94,120,214,,62kgMen,Total,187,True
11,GREBERS Ritvars,LAT,"Jan 03, 1994",61.60,A,96,114,210,,62kgMen,Total,187,True
12,CSERGA David,CZE,"Mar 17, 1994",61.40,A,93,110,203,,62kgMen,Total,187,True
13,OVERAS Jantsen Louis Jumao-As,NOR,"Sep 02, 1994",61.90,A,89,112,201,,62kgMen,Total,187,True
14,BERGLUND Eddie,SWE,"Jan 19, 1995",60.90,A,84,100,184,,62kgMen,Total,187,True
---,COSTANZA Mattia,ITA,"Apr 20, 1994",61.74,A,---,---,---,,62kgMen,Total,187,True
1,KLIM Ivan,BLR,"Jan 07, 1994",68.39,A,127,-131,131,131,69kgMen,Snatch,187,True
2,KARAPETYAN Andranik,ARM,"Dec 15, 1995",68.63,A,125,-130,130,130,69kgMen,Snatch,187,True
3,CHIBURDANIDZE Jaba,GEO,"Jun 04, 1994",68.53,A,-123,123,128,128,69kgMen,Snatch,187,True
4,PINTEA Alexandru Nicusor,ROU,"Sep 10, 1994",68.55,A,-123,-123,123,123,69kgMen,Snatch,187,True
5,OSIPOV Aleksei,RUS,"Feb 22, 1994",68.35,A,118,-121,-123,118,69kgMen,Snatch,187,True
6,TAGHIZADE Jeyhun,AZE,"Aug 13, 1995",68.42,A,110,115,-119,115,69kgMen,Snatch,187,True
7,KUKHILAVA Bachana,GEO,"May 02, 1995",67.33,A,111,-116,-116,111,69kgMen,Snatch,187,True
8,NALBANTORUC Kuddusi,TUR,"Jan 03, 1995",68.52,A,105,110,-113,110,69kgMen,Snatch,187,True
9,FACIANO Samuele,ITA,"Dec 19, 1995",68.30,A,100,105,108,108,69kgMen,Snatch,187,True
10,MIKOLAJCZYK Dominik,POL,"Jan 21, 1994",68.85,A,108,-112,-112,108,69kgMen,Snatch,187,True
11,HESSE Josef,GER,"Mar 26, 1994",68.71,A,107,-111,-111,107,69kgMen,Snatch,187,True
12,CHERTKOV Daniel,ISR,"Oct 02, 1997",68.21,A,95,100,105,105,69kgMen,Snatch,187,True
13,COLLIER Alexander Richard,GBR,"Mar 29, 1994",68.32,A,98,102,105,105,69kgMen,Snatch,187,True
14,POLYCHRONOPOULOS Stavros,GRE,"Aug 18, 1994",68.28,A,-100,-100,100,100,69kgMen,Snatch,187,True
15,SUCKOW-BREUM Kris,DEN,"Mar 02, 1995",68.72,A,90,95,98,98,69kgMen,Snatch,187,True
16,SCAGLIA Rosario,ITA,"Jul 27, 1994",68.56,A,-97,97,-100,97,69kgMen,Snatch,187,True
17,JAMOOS Ali,ISR,"Aug 17, 1994",65.32,A,90,-95,95,95,69kgMen,Snatch,187,True
18,COX Joshua,GBR,"Jan 21, 1994",67.64,A,88,93,95,95,69kgMen,Snatch,187,True
19,POLACEK Peter,SVK,"Dec 05, 1994",67.44,A,89,94,-97,94,69kgMen,Snatch,187,True
20,LEITNER Florian,AUT,"Sep 30, 1995",67.20,A,84,88,-90,88,69kgMen,Snatch,187,True
21,BODORIK Michal,SVK,"Jun 05, 1996",67.85,A,87,-92,-92,87,69kgMen,Snatch,187,True
22,FISIC Nedim,BIH,"May 05, 1995",68.89,A,-84,84,86,86,69kgMen,Snatch,187,True
---,MILITOSYAN Vardan,ARM,"Mar 07, 1995",68.26,A,-125,-125,-125,---,69kgMen,Snatch,187,True
1,PINTEA Alexandru Nicusor,ROU,"Sep 10, 1994",68.55,A,154,158,160,160,69kgMen,CleanJerk,187,True
