rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,HOANG Anh Tuan,VIE,"Feb 12, 1985",55.73,A,123,-126,126,126,56kgMen,Snatch,18,True
2,AMIRUL Hamizan Bin Ibrahim,MAS,"Dec 03, 1981",55.81,A,112,117,121,121,56kgMen,Snatch,18,True
3,CEN Biao,CHN,"Jan 05, 1985",55.67,A,-120,-120,120,120,56kgMen,Snatch,18,True
4,WU Jingbiao,CHN,"Jan 10, 1989",55.87,A,-120,120,-125,120,56kgMen,Snatch,18,True
5,SEKIKAWA Yasunobu,JPN,"Mar 21, 1980",55.70,A,105,110,-114,110,56kgMen,Snatch,18,True
6,NAPOOM Pongpisut,THA,"Dec 27, 1989",55.80,A,106,109,-111,109,56kgMen,Snatch,18,True
7,YAMADA Masaharu,JPN,"May 01, 1980",55.72,A,100,103,105,105,56kgMen,Snatch,18,True
8,MAKAROV Ruslan,UZB,"Jan 19, 1987",55.84,A,95,99,102,102,56kgMen,Snatch,18,True
9,VALLURI Srinavasa Rao,IND,"Oct 20, 1981",55.93,A,102,-107,-107,102,56kgMen,Snatch,18,True
10,AL-SHARUEE Mohammed Abdulmunem Ali,IRQ,"Mar 08, 1981",55.74,A,100,-110,-110,100,56kgMen,Snatch,18,True
11,CHIANG Tsung-Ting,TPE,"Jun 22, 1989",55.83,A,90,95,97,97,56kgMen,Snatch,18,True
12,HANDURDYYEV Omarguly,TKM,"Dec 17, 1988",56.00,A,96,-101,-101,96,56kgMen,Snatch,18,True
13,SANGOV Bakhrom,TJK,"Jan 04, 1979",55.95,A,- 85,85,90,90,56kgMen,Snatch,18,True
1,WU Jingbiao,CHN,"Jan 10, 1989",55.87,A,147,152,154,154,56kgMen,CleanJerk,18,True
2,CEN Biao,CHN,"Jan 05, 1985",55.67,A,147,151,153,153,56kgMen,CleanJerk,18,True
3,HOANG Anh Tuan,VIE,"Feb 12, 1985",55.73,A,150,153,-155,153,56kgMen,CleanJerk,18,True
4,YAMADA Masaharu,JPN,"May 01, 1980",55.72,A,140,146,148,148,56kgMen,CleanJerk,18,True
5,AMIRUL Hamizan Bin Ibrahim,MAS,"Dec 03, 1981",55.81,A,141,-148,-148,141,56kgMen,CleanJerk,18,True
6,SEKIKAWA Yasunobu,JPN,"Mar 21, 1980",55.70,A,135,140,-146,140,56kgMen,CleanJerk,18,True
7,VALLURI Srinavasa Rao,IND,"Oct 20, 1981",55.93,A,130,135,-140,135,56kgMen,CleanJerk,18,True
8,NAPOOM Pongpisut,THA,"Dec 27, 1989",55.80,A,-131,131,-137,131,56kgMen,CleanJerk,18,True
9,MAKAROV Ruslan,UZB,"Jan 19, 1987",55.84,A,122,125,130,130,56kgMen,CleanJerk,18,True
